施工場所,施設名,事業実施主体,事業内容,確定額（支払額）／事業費（円）,確定額（支払額）／都補助金額（円）,確定額（支払額）／地元負担（円）
大島町,つきいそ,大島町,"コンクリート礁4,320基",25499999,19124000,6375999
新島村,製氷貯氷冷凍冷蔵施設,新島村,設計（改修）,11124000,8343000,2781000
新島村,水産加工施設改修設計,新島村,改修,218916000,164187000,54729000
新島村,燃油等補給施設,にいじま漁協,カードリーダー等改修,44118000,3063000,1348800
新島村,畜養施設,にいじま漁協,改修,2367360,1644000,723360
神津島村,つきいそ,神津島村,コンクリート礁37基,29646000,22234000,7412000
神津島村,水産物鮮度保持施設等,神津島漁協,扉等改修,4870800,3382000,1488800
神津島村,水産物鮮度保持施設等,神津島漁協,冷蔵機器等更新,3501144,2431000,1070144
神津島村,製氷貯氷施設,神津島漁協,角氷注水槽等改修,4536000,3150000,1386000
神津島村,砕氷施設,神津島漁協,角氷用クラッシャー交換,4687200,3255000,1432200
