項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計,,,,,,,,
義務的経費（千円）,2421302,248051,1067647,763207,21255744,777678586,,,,,,,,
義務的経費構成比（％）,23.9,20.1,28.9,25.3,30.7,49.1,,,,,,,,
義務的経費／人件費（千円）,1200753,191960,652492,569270,10361769,224356265,,,,,,,,
義務的経費／人件費構成比（％）,11.8,15.6,17.6,18.9,15,14.2,,,,,,,,
義務的経費／扶助費（千円）,534479,17893,95720,99996,6789553,465652728,,,,,,,,
義務的経費／扶助費構成比（％）,5.3,1.5,2.6,3.3,9.8,29.4,,,,,,,,
義務的経費／公債費（千円）,686070,38198,319435,93941,4104422,87669593, ,, ,, ,,,
義務的経費／公債費構成比（％）,6.8,3.1,8.6,3.1,5.9,5.5,,,,,,,,
投資的経費（千円）,3902210,254852,673182,837943,14756235,173357444, ,, ,, ,,,
投資的経費構成比（％）,38.5,20.7,18.2,27.8,21.3,10.9,,,,,,,,
投資的経費／普通建設事業費（千円）,3240803,254852,673182,836024,14041467,172575323, ,, ,, ,,,
投資的経費／普通建設事業費構成比（％）,32,20.7,18.2,27.7,20.3,10.9,,,,,,,,
投資的経費／災害復旧事業費（千円）,661407,0,0,1919,714768,782121, ,, , ,, ,, 
投資的経費／災害復旧事業費構成比（％）,6.5,0,0,0.1,1,0,,,,,,,,
その他の経費（千円）,3818121,731018,1958265,145228,33191348,633490694, ,, ,, ,,,
その他の経費構成比（％）,37.6,59.2,52.9,46.9,48,40,,,,,,,,
その他の経費／物件費（千円）,2300459,361531,938806,710889,15129966,239292356, ,, ,, ,,,
その他の経費／物件費構成比（％）,22.7,29.3,25.4,23.6,21.9,15.1,,,,,,,,
その他の経費／維持補修費（千円）,94915,59278,162806,22585,972224,11228337, ,, ,, ,,,
その他の経費／維持補修費構成比（％）,0.9,4.8,4.4,0.7,1.4,0.7,,,,,,,,
その他の経費／補助費等（千円）,652762,86242,245755,263695,7676788,152469544, ,, ,, ,,,
その他の経費／補助費等構成比（％）,6.4,7,6.6,8.7,11.1,9.6,,,,,,,,
その他の経費／積立金（千円）,220753,36743,200694,143365,2618751,56053746,,,,,,,,
その他の経費／積立金構成比（％）,2.2,3,5.4,4.8,3.8,3.5,,,,,,,,
その他の経費／投資・出資金・貸付金（千円）,5576,400,22500,7074,143370,942787,,,,,,,,
その他の経費／投資・出資金・貸付金構成比（％）,0.5,0,0.6,0.2,0.2,0.1,,,,,,,,
その他の経費／繰出金（千円）,493756,186824,387704,267620,6650249,173503924,,,,,,,,
その他の経費／繰出金構成比（％）,4.9,15.1,10.5,8.9,9.6,10.9,,,,,,,,
合計（千円）,10141633,1233921,3699094,3016378,69203327,1584526724,,,,,,,,
合計構成比（％）,100,100,100,100,100,100,,,,,,,,
