項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
義務的経費（千円）,2443918,261801,1035423,781501,21718029,791955763
義務的経費構成比（％）,25.3,13.8,22.7,26.6,30.3,49.5
義務的経費／人件費（千円）,1190387,207806,653573,595445,10533885,223975823
義務的経費／人件費構成比（％）,12.3,11,14.3,20.3,14.7,14
義務的経費／扶助費（千円）,477061,16962,83243,90143,6839694,480272346
義務的経費／扶助費構成比（％）,4.9,0.9,1.8,3.1,9.5,30
義務的経費／公債費（千円）,776470,37033,298607,95913,4344450,87707594
義務的経費／公債費構成比（％）,8,2,6.5,3.3,6.1,5.5
投資的経費（千円）,2733354,362906,1690875,923198,15372293,159492108
投資的経費構成比（％）,28.3,19.2,37,31.4,21.5,10
投資的経費／普通建設事業費（千円）,2673822,362906,1690875,879242,15190252,159028360
投資的経費／普通建設事業費構成比（％）,27.7,19.2,37,30,21.2,9.9
投資的経費／災害復旧事業費（千円）,59532,0,0,43956,182041,463748
投資的経費／災害復旧事業費構成比（％）,0.6,0,0,1.5,0.3,0
その他の経費（千円）,4486129,1265863,1842422,1230856,34533924,649084062
その他の経費構成比（％）,46.4,67,40.3,41.9,48.2,40.6
その他の経費／物件費（千円）,2432671,367563,907564,642831,15200345,242920007
その他の経費／物件費構成比（％）,25.2,19.4,19.9,21.9,21.2,15.2
その他の経費／維持補修費（千円）,86175,61821,112673,25168,957149,11362687
その他の経費／維持補修費構成比（％）,0.9,3.3,2.5,0.9,1.3,0.7
その他の経費／補助費等（千円）,672740,90802,255797,267352,7727126,157287358
その他の経費／補助費等構成比（％）,7,4.8,5.6,9.1,10.8,9.8
その他の経費／積立金（千円）,816655,579489,147742,59988,4032353,65921222
その他の経費／積立金構成比（％）,8.5,30.7,3.2,2,5.6,4.1
その他の経費／投資・出資金・貸付金（千円）,24336,0,24000,8712,108885,683103
その他の経費／投資・出資金・貸付金構成比（％）,0.3,0,0.5,0.3,0.2,0
その他の経費／繰出金（千円）,453552,166188,394646,226805,6508066,170909685
その他の経費／繰出金構成比（％）,4.7,8.8,8.6,7.7,9.1,10.7
合計（千円）,9663401,1890570,4568720,2935555,71624246,1600531933
合計構成比（％）,1,1,1,1,1,1
