町村別,大島町,利島村,新島村,式根島,神津島村
消防団数／団,1,1,1,1,1
消防団数／分団,8,2,8,3,3
団員数／条例定数,414,40,200,80,210
団員数／実員,281,31,126,51,188
団員１人あたりの人口,27.6,7.8,17,9.9,9.9
消防自動車、ポンプ1台あたり／面積（km2）,4.55,0.69,2.62,1.29,1.05
消防自動車、ポンプ1台あたり／人口,387,53,240,169,104
消防ポンプ自動車等現有数／普通消防ポンプ自動車,8,0,1,0,9
消防ポンプ自動車等現有数／水槽付消防ポンプ自動車,2,0,1,0,1
消防ポンプ自動車等現有数／小型動力ポンプ,10,6,8,3,8
消防ポンプ自動車等現有数／計,20,6,10,3,18
消防団出動回数2017.1.1～2017.12.31／火災／回数,3,0,0,1,0
消防団出動回数2017.1.1～2017.12.31／火災／延人員,239,0,0,44,0
消防団出動回数2017.1.1～2017.12.31／救助／回数,0,0,0,0,0
消防団出動回数2017.1.1～2017.12.31／救助／延人員,0,0,0,0,0
消防団出動回数2017.1.1～2017.12.31／風水害等災害／回数,0,0,0,0,0
消防団出動回数2017.1.1～2017.12.31／風水害等災害／延人員,0,0,0,0,0
消防団出動回数2017.1.1～2017.12.31／演習訓練／回数,10,2,3,3,23
消防団出動回数2017.1.1～2017.12.31／演習訓練／延人員,498,40,197,79,505
消防団出動回数2017.1.1～2017.12.31／広報・指導／回数,2,0,0,0,0
消防団出動回数2017.1.1～2017.12.31／広報・指導／延人員,270,0,0,0,0
消防団出動回数2017.1.1～2017.12.31／特別警戒／回数,6,18,159,103,83
消防団出動回数2017.1.1～2017.12.31／特別警戒／延人員,327,53,610,418,525
消防団出動回数2017.1.1～2017.12.31／警棒調査／回数,0,0,0,0,1
消防団出動回数2017.1.1～2017.12.31／警棒調査／延人員,0,0,0,0,56
消防団出動回数2017.1.1～2017.12.31／捜索／回数,1,0,0,0,0
消防団出動回数2017.1.1～2017.12.31／捜索／延人員,70,0,0,0,0
消防団出動回数2017.1.1～2017.12.31／その他／回数,0,3,13,13,0
消防団出動回数2017.1.1～2017.12.31／その他／延人員,0,47,364,144,0
消防団出動回数2017.1.1～2017.12.31／合計／回数,22,23,175,120,107
消防団出動回数2017.1.1～2017.12.31／合計／延人員,1404,140,1171,685,1086
