項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
歳入総額(a)（千円）,9706514,1925301,4782465,3014259,73982887,1654627024
歳出総額(b)（千円）,9633401,1890570,4568720,2935555,71624246,1600531933
(c)歳入歳出差引（千円）(a)－(b),43113,34731,213745,78704,2358641,54095091
翌年度へ繰越すべき財源(d)（千円）,9785,4416,0,0,209753,4649518
(e)実質収支（千円）(c)－(d),33328,30315,213745,78704,2148888,49445573
単年度収支(f)（千円）,3413,15510,23726,11691,261425,6908339
積立金(g)（千円）,2598,571904,100183,34250,1748977,22577255
繰上償還金(h)（千円）,0,0,0,0,303996,501555
積立金取崩し額(i)（千円）,0,0,201000,34000,1124297,13413348
実質単年度収支(j)（千円）(f)+(g)+(h)-(i),6011,587414,-77091,11941,1190101,16573801
標準財政規模(k)（千円）,3320980,347026,1698633,1077688,29433144,857261944
実質収支比率(l)（％）,1,8.7,12.6,7.3,7.3,5.8
