税目,調定額／税額（ａ）（円）,調定額／件数（ｂ）,収入額／税額（ｃ）（円）,収入額／件数（ｄ）,収入歩合／税額c/a（％）,収入歩合／件数d/b（％）,構成比／(調定額)（％）
都民税(法人）,21097700,527,21067700,525,99.9,99.6,3.3
事業税／個人,11584300,180,11584300,180,100,100,1.8
事業税／法人,88026900,163,87849200,162,99.8,99.4,13.6
不動産取得税,11247000,129,11186600,125,99.5,96.9,1.7
ゴルフ場利用税,1102800,12,1102800,12,100,100,0.2
自動車税,4540700,125,4486500,123,98.8,98.4,0.7
狩猟税,117800,16,117800,16,100,100,0
軽油引取税,28754480,24,28754480,24,100,100,4.5
小計,166471680,1176,166149380,1167,99.8,99.2,25.8
滞納繰越分（個人都民税を除く）,1032273,18,10000,1,1,5.6,0.2
計,167503953,1194,166159380,1168,99.2,97.8,26
都民税（個人）／現年課税分,435058049,14394,418096231,13562,96.1,94.2,67.4
都民税（個人）／滞納繰越分,42882511,3421,6578986,624,15.3,18.2,6.6
合計,645444513,19009,590834597,15354,91.5,80.8,100
