区分,総数,大島町,利島村,新島村,神津島村
合計（千円）,126576,103928,302,8690,13656
扶養の種類／生活扶助（千円）,94913,78132,181,7064,9535
扶養の種類／住宅扶助（千円）,22052,19033,120,1170,1728
扶養の種類／教育扶助（千円）,112,112,-,-,-
扶養の種類／介護扶助（千円）,305,223,-,-,81
扶養の種類／医療扶助（千円）,5155,3853,-,456,846
扶養の種類／出産扶助（千円）,-,-,-,-,-
扶養の種類／生業扶助（千円）,541,541,-,-,-
扶養の種類／葬祭扶助（千円）,601,601,-,-,-
扶養の種類／勤労自立給付金（千円）,77,77,-,-,-
扶養の種類／小計（千円）,123754,102572,302,8690,12190
管外施設／生活費／保護費（千円）,1319,441,-,-,878
管外施設／事務費（千円）,1466,504,-,-,962
管外施設／小計（千円）,2785,945,-,-,1840
都単法外援助（千円）,37,37,-,-,-
