区分,会計款項目,金額（円）,構成比(%)
歳入,総計,655801252,
歳入,一般会計,653760845,100.00%
歳入,１．都税,590834597,90.40%
歳入,都民税,445752917,68.20%
歳入,事業税,99433500,15.20%
歳入,不動産取得税,11186600,1.70%
歳入,ゴルフ場利用税,1102800,0.20%
歳入,軽油引取税,28754480,4.40%
歳入,自動車税,4486500,0.70%
歳入,狩猟税,117800,0.00%
歳入,２．分担金及負担金,2271201,0.30%
歳入,土木費負担金,0,0.00%
歳入,港湾費負担金,2271201,0.30%
歳入,３．使用料及手数料,37991446,5.80%
歳入,総務使用料,2016,0.00%
歳入,環境使用料,302087,0.10%
歳入,土木使用料,3531284,0.50%
歳入,港湾使用料,32312699,4.90%
歳入,手数料,1843360,0.30%
歳入,４．財産収入,471700,0.10%
歳入,財産運用収入,471700,0.10%
歳入,５．諸収入,22191901,3.40%
歳入,延滞金及加算金,1018051,0.20%
歳入,都預金利子,0,0.00%
歳入,貸付金元利収入,0,0.00%
歳入,受託事業収入,929820,0.10%
歳入,弁償金及報償金,8570353,1.00%
歳入,雑入,11673677,1.80%
歳入,母子福祉貸付資金会計事業収入,2040407,
歳出,総計,8395787916,
歳出,一般会計,8391919466,100.00%
歳出,１．総務費,118046389,1.40%
歳出,２．徴税費,21733128,0.30%
歳出,３．スポーツ振興費,177050,0.00%
歳出,４．都市整備費,20668,0.00%
歳出,５．環境費,865469672,10.30%
歳出,６．福祉保健費,141284012,1.70%
歳出,７．産業労働費,964256915,11.50%
歳出,８．土木費,5531782467,65.90%
歳出,９．港湾費,748177165,8.90%
歳出,10．諸支出金,972000,0.00%
歳出,母子福祉貸付資金会計,3868450,100.00%
