項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
議会費（千円）,78930,19440,48646,39227,875727,11095466
議会費構成比（％）,0.8,1,1.1,1.3,1.2,0.7
総務費（千円）,1946053,886737,1425976,493095,14640317,202012331
総務費構成比（％）,20.1,46.9,31.2,16.8,20.4,12.6
民生費（千円）,1494279,156459,522066,639540,16198074,770915311
民生費構成比（％）,15.5,8.3,11.4,21.8,22.6,48.2
衛生費（千円）,1834367,245148,888316,340718,9656166,127773515
衛生費構成比（％）,19,13,19.4,11.6,13.5,8
労働費（千円）,70387,30463,58693,72146,736692,6962501
労働費構成比（％）,0.7,1.6,1.3,2.5,1,0.4
農林水産業費（千円）,512111,262826,254998,353367,4436560,7733795
農林水産業費構成比（％）,5.3,13.9,5.6,12,6.2,0.5
商工費（千円）,592001,116704,229521,214340,2670695,12297656
商工費構成比（％）,6.1,6.2,5,7.3,3.7,0.8
土木費（千円）,1154803,32026,446933,230590,8837084,142002550
土木費構成比（％）,12,1.7,9.8,7.9,12.3,8.9
消防費（千円）,270294,18706,76817,59692,2482177,55132696
消防費構成比（％）,2.8,1,1.7,2,3.5,3.4
教育費（千円）,763725,85028,318147,352971,6356326,176136695
教育費構成比（％）,7.9,4.5,7,12,8.9,11
災害復旧費（千円）,59532,0,0,43956,182041,463748
災害復旧費構成比（％）,0.6,0,0,1.5,0.3,0
公債費（千円）,776470,37033,298607,95913,4351038,87714182
公債費構成比（％）,8,2,6.5,3.3,6.1,5.5
諸支出金（千円）,110449,0,0,0,201349,291487
諸支出金構成比（％）,1.1,0,0,0,0.3,0
合計（千円）,9663401,1890570,4568720,2935555,71624246,1600531933
合計構成比（％）,100,100,100,100,100,100
