項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計,,,,,,,,
義務的経費（千円）,2329168,244685,1017291,759228,20806931,760796224,,,,,,,,
義務的経費構成比（％）,22.5,22.8,22.6,27.6,29.8,48.5,,,,,,,,
義務的経費／人件費（千円）,1178449,190711,661810,580529,10360352,227475400,,,,,,,,
義務的経費／人件費構成比（％）,11.4,17.8,14.7,21.1,14.8,14.5,,,,,,,,
義務的経費／扶助費（千円）,493721,14746,78454,86769,6399952,445901049,,,,,,,,
義務的経費／扶助費構成比（％）,4.8,1.4,1.7,3.2,9.2,28.4,,,,,,,,
義務的経費／公債費（千円）,656998,39228,277027,91930,4046627,87419775, ,, ,, ,,,
義務的経費／公債費構成比（％）,6.3,3.7,6.2,3.3,5.8,5.6,,,,,,,,
投資的経費（千円）,4139341,134662,1602920,776572,15711667,169999145, ,, ,, ,,,
投資的経費構成比（％）,40,12.5,35.6,28.3,22.5,10.8,,,,,,,,
投資的経費／普通建設事業費（千円）,3110141,134662,1602920,776572,14614870,168496574, ,, ,, ,,,
投資的経費／普通建設事業費構成比（％）,30,12.5,35.6,28.3,20.9,10.7,,,,,,,,
投資的経費／災害復旧事業費（千円）,1029200,0,0,0,1096797,1502571, ,, , ,, ,, 
投資的経費／災害復旧事業費構成比（％）,9.9,0,0,0,1.6,0.1,,,,,,,,
その他の経費（千円）,3887069,693976,1876922,1211677,33293308,636867337, ,, ,, ,,,
その他の経費構成比（％）,37.5,64.7,41.7,44.1,47.7,40.6,,,,,,,,
その他の経費／物件費（千円）,2216843,318472,882774,657209,14681114,236150225, ,, ,, ,,,
その他の経費／物件費構成比（％）,21.4,29.7,19.6,23.9,21,15.1,,,,,,,,
その他の経費／維持補修費（千円）,82011,50047,84952,25311,943126,10517061, ,, ,, ,,,
その他の経費／維持補修費構成比（％）,0.8,4.7,1.9,0.9,1.4,0.7,,,,,,,,
その他の経費／補助費等（千円）,782646,174138,236703,231925,8154659,156562680, ,, ,, ,,,
その他の経費／補助費等構成比（％）,7.6,16.2,5.3,8.4,11.7,10,,,,,,,,
その他の経費／積立金（千円）,288142,23538,130718,34604,2299341,53738681,,,,,,,,
その他の経費／積立金構成比（％）,2.8,2.2,2.9,1.3,3.3,3.4,,,,,,,,
その他の経費／投資・出資金・貸付金（千円）,49076,0,91950,4548,296434,1853959,,,,,,,,
その他の経費／投資・出資金・貸付金構成比（％）,0.5,0,2,0.2,0.4,0.1,,,,,,,,
その他の経費／繰出金（千円）,468351,127781,449825,258080,6918634,178044731,,,,,,,,
その他の経費／繰出金構成比（％）,4.5,11.9,10,9.4,9.9,11.4,,,,,,,,
合計（千円）,10355578,1073323,4497133,2747477,69811906,1567662706,,,,,,,,
合計構成比（％）,100,100,100,100,100,100,,,,,,,,
