地域,区分,名称,所在地,緯度,経度,座標系,電話
大島町,町,大島町役場,大島町元町1-1-14,34.750153,139.355511,JGD2011,04992-2-1443
大島町,都,東京都大島支庁,大島町元町字オンダシ222-1,34.757486,139.357651,JGD2011,
大島町,都,東京都大島支庁総務課,大島町元町字オンダシ222-1,34.757486,139.357651,JGD2011,04992-2-4411
大島町,都,東京都大島支庁総務課（福祉担当）,大島町元町字オンダシ222-1,34.757486,139.357651,JGD2011,04992-2-4421
大島町,都,東京都大島支庁産業課,大島町元町字オンダシ222-1,34.757486,139.357651,JGD2011,04992-2-4431
大島町,都,東京都大島支庁土木課,大島町元町字オンダシ222-1,34.757486,139.357651,JGD2011,04992-2-4441
大島町,都,東京都大島支庁港湾課,大島町元町字オンダシ222-1,34.757486,139.357651,JGD2011,04992-2-4461
大島町,都,東京都大島支庁大島港湾空港管理事務所,大島町元町字北の山270,34.782519,139.363327,JGD2011,04992-2-1400
大島町,都,東京都大島支庁大島公園事務所,大島町泉津字福重2,34.761133,139.43446,JGD2011,04992-2-9111
大島町,都,東京都教育庁大島出張所,大島町元町字オンダシ222-1,34.757485,139.35765,JGD2011,04992-2-4451
大島町,都,東京都島しょ保健所大島出張所,大島町元町字馬の背275-4,34.756842,139.358126,JGD2011,04992-2-1436
大島町,都,島しょ農林水産総合センター大島事業所（水産）,大島町波浮港18,34.684806,139.437424,JGD2011,04992-4-0381
大島町,都,島しょ農林水産総合センター大島事業所（農業）,大島町元町小清水273-1,34.758549,139.361164,JGD2011,04992-2-1123
大島町,都,東京都立大島高等学校,大島町元町字八重の水127,34.765449,139.359906,JGD2011,04992-2-1431
大島町,都,東京都立大島海洋国際高等学校,大島町差木地字下原996,34.681949,139.432619,JGD2011,04992-4-0385
大島町,都,東京都海区漁業調整委員会大島分室,大島町元町字オンダシ222-1,34.757485,139.35765,JGD2011,04992-2-4431
大島町,都,警視庁大島警察署,大島町元町1-15-6,34.752784,139.354974,JGD2011,04992-2-0110
大島町,都,東京都栽培漁業センター,大島町元町字和泉99-5,34.769048,139.352981,JGD2011,04992-2-3461
大島町,国,伊豆大島簡易裁判所,大島町元町字家の上445-10,34.749828,139.363783,JGD2011,04992-2-1165
大島町,国,伊豆大島区検察庁,大島町元町字家の上445-9,34.749811,139.363192,JGD2011,04992-2-1164
大島町,国,環境省伊豆諸島自然保護官事務所,大島町元町字家の上445-9,34.749811,139.363192,JGD2011,04992-2-7115
大島町,国,東京大学地震研究所　伊豆大島火山観測所,大島町元町字黒まま346,34.75428,139.362597,JGD2011,04992-2-3767
大島町,国,気象庁　伊豆大島火山防災連絡事務所,大島町元町1-1-14（大島町役場内）,34.750255,139.355384,JGD2011,04992-2-1166
大島町,国,東京航空地方気象台　大島航空気象観測所,大島町元町字北の山270-1（大島空港内）,34.783191,139.363547,JGD2011,04992-7-5861
大島町,国,東京航空局大島空港出張所,大島町元町字北の山270-1,34.783191,139.363547,JGD2011,04992-2-2395
利島村,村,利島村役場,利島村248,34.5293639,139.282585,JGD2011,04992-9-0011
利島村,都,警視庁大島警察署利島村駐在所,利島村315,34.529539,139.283903,JGD2011,04992-9-0009
新島村,村,新島村役場,新島村本村1-1-1,34.377094,139.257058,JGD2011,04992-5-0240
新島村,村,式根島支所,新島村式根島255-1,34.529539,139.283903,JGD2011,04992-7-0004
新島村,都,東京都大島支庁新島出張所,新島村本村6-4-24,34.373721,139.256622,JGD2011,04992-5-0281
新島村,都,新島港湾空港管理事務所,新島村字川原,34.37036,139.269356,JGD2011,04992-5-1267
新島村,都,東京都島しょ保健所大島出張所新島支所,新島村本村6-4-24,34.373721,139.256622,JGD2011,04992-5-1600
新島村,都,島しょ農林水産総合センター大島事業所新島分室,新島村本村6-4-24,34.373721,139.256622,JGD2011,04992-5-0281
新島村,都,東京都立新島高等学校,新島村本村4-10-1,34.369086,139.25827,JGD2011,04992-5-0091
新島村,都,警視庁新島警察署,新島村本村3-13-4,34.372224,139.259511,JGD2011,04992-5-0381
新島村,国,新島簡易裁判所,新島村本村3-2-2,34.376787,139.257702,JGD2011,04992-5-1210
新島村,国,新島区検察庁,大島町元町字家の上445-9,34.749811,139.363192,JGD2011,04992-2-1164
新島村,国,防衛装備庁航空装備研究所新島支所,新島村字水尻,34.363931,139.255265,JGD2011,04992-5-0385
神津島村,村,神津島村役場,神津島村904,34.205533,139.134455,JGD2011,04992-8-0011
神津島村,都,東京都大島支庁神津島出張所,神津島村1204  ,34.203272,139.134233,JGD2011,04992-8-0311
神津島村,都,神津島港湾空港管理事務所,神津島村字金長,34.190248,139.134466,JGD2011,04992-8-1311
神津島村,都,東京都島しょ保健所大島出張所神津島支所,神津島村1088,34.204734,139.136476,JGD2011,04992-8-0880
神津島村,都,東京都立神津高等学校,神津島村1620,34.202348,139.134443,JGD2011,04992-8-0706
