月,航空旅客機／新中央航空（株）／降客（人）,航空旅客機／新中央航空（株）／乗客（人）,航空旅客機／新中央航空（株）／計（人）,航空旅客機／その他／降客（人）,航空旅客機／その他／乗客（人）,航空旅客機／その他／計（人）,航空旅客機／合計（人）,航空貨物取扱数量（ｋg）／卸,航空貨物取扱数量（ｋg）／積
4,1386,1510,2896,16,14,30,2926,1201,338
5,1464,1685,3149,8,8,16,3165,1264,279
6,1211,1332,2543,25,25,50,2593,1540,298
7,1363,1536,2899,28,32,60,2959,1388,172
8,1453,1719,3172,27,29,56,3228,1329,163
9,1110,1303,2413,11,11,22,2435,1191,113
10,1278,1399,2677,10,10,20,2697,1352,303
11,1154,1368,2522,13,13,26,2548,1263,199
12,1232,1373,2605,10,10,20,2625,1637,274
1,1231,1426,2657,12,14,26,2683,1191,154
2,1118,1351,2469,9,9,18,2487,1157,114
3,1277,1584,2861,3,2,5,2866,1311,287
計,15277,17586,32863,172,177,349,33212,15824,2694
