区分,大島町,利島村,新島村,神津島村
1.事業創設年月日,S４９．７,Ｓ３５．１０,S４５．７,Ｓ３２．８
2.施設事業概要／(1)行政区域内現在人口(a)（人）,8015,315,2753,1878
2.施設事業概要／(2)計画給水人口(b)（人）,10650,350,2830,2150
2.施設事業概要／(3)現在給水人口(c)（人）,7817,315,2715,1874
2.施設事業概要／(4)普及率(c/a×100)(%),99.9,100,98.6,99.8
2.施設事業概要／(5)配水能力(m3/日),8200,300,2780,2500
2.施設事業概要／(6)年間総配水量(d)(m3),1274218,39709,384010,373027
2.施設事業概要／(7)一日最大配水量(e)(m3),6478,160,2602,1609
2.施設事業概要／(8)一人一日最大配水量(ﾘｯﾄﾙ),829,648,970,860
2.施設事業概要／(9)一人一日平均給水量(ﾘｯﾄﾙ),446,124,387,546
2.施設事業概要／(10)年間総有収水量(f)(m3),1089970,36985,357254,267877
2.施設事業概要／(11)有収率f/d×100(%),85.5,92.3,93,71.8
2.施設事業概要／(12)家庭用10トンあたり使用料金（2017.1.1現在）（円）,1690,2100,900,1080
3.職員数（人）,6,2,2,2
