町村,障害部位,1級,2級,3級,4級,5級,6級,計,新規件数
総数,視覚,6,6,2,6,3,2,25,1
総数,聴覚,4,9,1,19,0,19,52,5
総数,言語,0,1,2,0,0,0,3,0
総数,肢体不自由,39,58,62,104,22,14,299,5
総数,内部障害,126,2,8,6,0,0,142,13
総数,膀胱直腸,0,0,1,14,0,0,15,3
総数,計,175,76,76,149,25,35,536,27
大島町,視覚,4,3,1,1,3,1,13,1
大島町,聴覚,2,3,1,5,0,10,21,3
大島町,言語,0,1,1,0,0,0,2,0
大島町,肢体不自由,14,30,29,58,13,5,149,3
大島町,内部障害,83,0,4,4,0,0,91,8
大島町,膀胱直腸,0,0,1,11,0,0,12,2
大島町,計,103,37,37,79,16,16,288,17
利島村,視覚,0,1,0,1,0,0,2,0
利島村,聴覚,0,0,0,1,0,1,2,0
利島村,言語,0,0,0,0,0,0,0,0
利島村,肢体不自由,0,1,2,4,1,0,8,0
利島村,内部障害,1,0,0,0,0,0,1,0
利島村,膀胱直腸,0,0,0,0,0,0,0,0
利島村,計,1,2,2,6,1,1,13,0
新島村,視覚,2,1,1,3,0,1,8,0
新島村,聴覚,0,2,0,9,0,4,15,0
新島村,言語,0,0,1,0,0,0,1,0
新島村,肢体不自由,12,15,26,29,6,5,93,2
新島村,内部障害,28,1,2,2,0,0,33,2
新島村,膀胱直腸,0,0,0,1,0,0,1,0
新島村,計,42,19,30,44,6,10,151,4
神津島村,視覚,0,1,0,1,0,0,2,0
神津島村,聴覚,2,4,0,4,0,4,14,2
神津島村,言語,0,0,0,0,0,0,0,0
神津島村,肢体不自由,13,12,5,13,2,4,49,0
神津島村,内部障害,14,1,2,0,0,0,17,3
神津島村,膀胱直腸,0,0,0,2,0,0,2,1
神津島村,計,29,18,7,20,2,8,84,6
