項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
基準財政需要額（千円）,2803191,326836,1569583,967342,24947208,615815456
基準財政収入額（千円）,1009995,45219,337816,227100,12414951,614333423
標準財政規模(a)（千円）,3214677,352170,1727910,1071383,29722354,858865604
財政力指数,0.354,0.138,0.218,0.234,0.494,0.981
財政力指数（単年度）,0.360,0.138,0.215,0.235,0.498,0.998
実質収支比率（％）,0.9,4.2,11,6.3,6.4,5
経常収支比率（％）,88.1,78.8,79.8,80,88.3,91.1
公債費比率（％）,11.4,2.7,7.3,1.5,5.7,0.9
公債費負担比率（％）,16.9,4.7,13.5,6.4,9.9,8.3
現債高倍率(b)/(a),2.798379122,0.905193514,1.477618047,1.042591678,1.389320543,1.014492259
地方債現在高(b)（千円）,8995885,318782,2553191,1117015,41293877,871312507
積立金現在高合計（千円）,2300527,745430,2469997,1078105,35516212,331158626
積立金現在高／財政調整基金（千円）,575572,96500,608624,551100,13501014,111719610
積立金現在高／減債基金（千円）,437648,94965,191297,215730,3402354,4670672
積立金現在高／その他特目基金（千円）,1287307,553965,1670076,311275,18612844,214768344
