項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
市町村民税（千円）,448374,26467,140453,112669,5267430,357123510
市町村民税構成比（％）,47,55.6,41.1,48.6,38.7,48.7
市町村民税／個人分（千円）,395338,22962,128005,101882,4389457,308957699
市町村民税／個人分構成比（％）,41.4,48.2,37.5,43.9,32.3,42.1
市町村民税／法人分（千円）,53036,3505,12448,10787,877973,48165811
市町村民税／法人分構成比（％）,5.6,7.4,3.6,4.6,6.5,6.6
固定資産税（千円）,387684,16814,160391,93046,6507806,291237463
固定資産税構成比（％）,40.6,35.3,47,40.1,47.9,39.7
軽自動車税（千円）,44475,1702,15994,9738,283957,4055781
軽自動車税構成比（％）,4.7,3.6,4.7,4.2,2.1,0.6
市町村たばこ税（千円）,69048,2639,24277,16606,762086,22881917
市町村たばこ税構成比（％）,7.2,5.5,7.1,7.2,5.6,3.1
特別土地保有税（千円）,0,0,0,0,0,0
特別土地保有税構成比（％）,0,0,0,0,0,0
入湯税（千円）,4406,0,379,0,17658,42380
入湯税構成比（％）,0.5,0,0.1,0,0.1,0
その他（千円）,0,0,0,0,759243,57767158
その他構成比（％）,0,0,0,0,5.6,7.9
旧法による税（千円）,0,0,0,0,0,0
旧法による税構成比（％）,0,0,0,0,0,0
合計（千円）,953987,47622,341494,232059,13598180,733108209
合計構成比（％）,100,100,100,100,100,100
徴収率（％）,92.5,99.5,90.7,99.1,96.7,98.2
徴収率／現年課税分（％）,98,88.8,99.4,99.7,99,99.4
徴収率／滞納繰越分（％）,10,0,13.6,73.6,28.1,37.7
