"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","ずっと住み続けていたい[人]","当分は住んでいたい[人]","しばらく住むが将来は区外に転居したい[人]","区外に転居したいが、具体的な計画はない[人]","近いうちに区外に転居する予定である[人]","わからない[人]","無回答[人]"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","全体",,"558","279","203","45","5","13","10","3"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","男性（計）","231","115","85","18","4","5","4","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","男性 18～29歳","13","6","5","1","1","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","男性 30～39歳","38","10","14","10","1","2","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","男性 40～49歳","50","18","25","3","1","2","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","男性 50～59歳","47","23","19","2","1","0","2","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","男性 60～69歳","42","27","14","0","0","1","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","男性 70歳以上","40","30","8","2","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","男性 無回答","1","1","0","0","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","女性（計）","313","157","114","26","1","7","6","2"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","女性 18～29歳","26","5","15","4","0","1","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","女性 30～39歳","49","11","26","8","0","3","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","女性 40～49歳","78","34","35","6","0","1","2","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","女性 50～59歳","62","38","19","3","1","1","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","女性 60～69歳","56","35","14","5","0","1","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","女性 70歳以上","42","34","5","0","0","0","1","2"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","性・年代別","無回答","14","7","4","1","0","1","0","1"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","職業別","自営業主・家族従業","86","50","21","4","2","5","4","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","職業別","会社員・団体職員・公務員","243","99","107","29","2","4","2","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","職業別","アルバイト・パートタイマー","35","20","13","1","0","0","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","職業別","家事専業","55","29","19","6","0","0","0","1"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","職業別","学生","13","6","4","1","0","1","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","職業別","無職","81","55","19","2","1","2","1","1"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","職業別","その他","31","14","15","1","0","0","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","職業別","無回答","14","6","5","1","0","1","0","1"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","居住地区別","芝地区","86","40","27","7","2","6","3","1"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","居住地区別","麻布地区","87","48","34","4","0","1","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","居住地区別","赤坂地区","81","50","22","6","1","2","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","居住地区別","高輪地区","146","74","55","13","0","1","2","1"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","居住地区別","芝浦港南地区","139","56","60","14","2","2","5","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","居住地区別","無回答","19","11","5","1","0","1","0","1"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","持家（一戸建）","64","45","14","2","0","2","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","持家（マンション）","267","147","94","15","1","2","6","2"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","借家（一戸建）","9","4","5","0","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","151","48","69","22","3","7","2","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","26","17","6","2","1","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","5","6","0","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","社宅・公務員宿舎","10","2","6","2","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","4","1","0","1","0","1","1","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","その他","5","5","0","0","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","住居形態別","無回答","11","5","3","1","0","1","0","1"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","定住意向別","ずっと住み続けていたい","279","279","0","0","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","定住意向別","当分は住んでいたい","203","0","203","0","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","0","0","45","0","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","0","0","0","5","0","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","13","0","0","0","0","13","0","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","定住意向別","わからない","10","0","0","0","0","0","10","0"
"202203","定住意向","Q2. あなたは、これからも港区に住み続けたいと思いますか。（１つ選択）","定住意向別","無回答","3","0","0","0","0","0","0","3"

"第33回港区民世論調査クロス集計表・定住意向Q2","Ver202203",,,,,,,,,,,
