"年度","内訳","健診 40歳以上 基本検査受診者[人]","健診 40歳以上 詳細・港区独自検査受診者[人]","健診 40歳以上 所見のある人[人]","区民健診(30健診)30歳以上39歳以下 受診者[人]","区民健診(30健診)30歳以上39歳以下 要指導[人]","区民健診(30健診)30歳以上39歳以下 要医療[人]"
"2015",,"24053","25916","21954","1014","825","124"
"2016",,"23323","25148","21326","894","738","91"
"2017",,"23009","24749","21043","933","713","104"
"2018",,"22354","23988","20702","2616","1520","67"
"2019",,"22372","23923","20776","2609","1619","55"
"2019","特定健診","12479","12420","11267",,,
"2019","後期高齢者(長寿)医療制度の健診","8939","8938","8636",,,
"2019","基本健診","954","947","873",,,
"2019","集合契約","0","1618","0",,,

"令和2年度港区行政資料集　健康診査","Ver202003",,,,,,
