区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11394,11385,9,0.1,5638,5642,-4,-0.1,5756,5743,13,0.2
〔就業状態〕／労働力人口,7062,7144,-82,-1.1,4166,4216,-50,-1.2,2896,2928,-32,-1.1
〔就業状態〕／労働力人口／就業者数,6656,6774,-118,-1.7,3939,4012,-73,-1.8,2717,2762,-45,-1.6
〔就業状態〕／労働力人口／就業者数／自営業主数,540,573,-33,-5.8,383,401,-18,-4.5,158,173,-15,-8.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,119,117,2,1.7,25,16,9,56.3,94,102,-8,-7.8
〔就業状態〕／労働力人口／就業者数／雇用者数,5957,6044,-87,-1.4,3514,3574,-60,-1.7,2443,2470,-27,-1.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5084,5209,-125,-2.4,3179,3282,-103,-3.1,1905,1928,-23,-1.2
〔就業状態〕／労働力人口／完全失業者数,406,370,36,9.7,227,204,23,11.3,179,166,13,7.8
〔就業状態〕／非労働力人口,4323,4237,86,2,1469,1422,47,3.3,2854,2814,40,1.4
〔就業者の活動状況別内訳〕／就業者数（再掲）,6656,6774,-118,-1.7,3939,4012,-73,-1.8,2717,2762,-45,-1.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6488,6590,-102,-1.5,3863,3920,-57,-1.5,2625,2671,-46,-1.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5604,5669,-65,-1.1,3720,3764,-44,-1.2,1883,1905,-22,-1.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,717,732,-15,-2,59,60,-1,-1.7,658,672,-14,-2.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,167,190,-23,-12.1,83,95,-12,-12.6,84,95,-11,-11.6
