区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11364,11344,20,0.2,5628,5625,3,0.1,5736,5718,18,0.3
〔就業状態〕／労働力人口,7097,7047,50,0.7,4192,4187,5,0.1,2905,2860,45,1.6
〔就業状態〕／労働力人口／就業者数,6745,6771,-26,-0.4,3969,4041,-72,-1.8,2776,2729,47,1.7
〔就業状態〕／労働力人口／就業者数／自営業主数,565,558,7,1.3,402,406,-4,-1,163,152,11,7.2
〔就業状態〕／労働力人口／就業者数／家族従業者数,101,119,-18,-15.1,11,21,-10,-47.6,90,98,-8,-8.2
〔就業状態〕／労働力人口／就業者数／雇用者数,6036,6057,-21,-0.3,3529,3598,-69,-1.9,2507,2458,49,2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5261,5238,23,0.4,3258,3312,-54,-1.6,2003,1926,77,4
〔就業状態〕／労働力人口／完全失業者数,352,276,76,27.5,223,146,77,52.7,129,131,-2,-1.5
〔就業状態〕／非労働力人口,4261,4286,-25,-0.6,1431,1430,1,0.1,2830,2855,-25,-0.9
〔就業者の活動状況別内訳〕／就業者数（再掲）,6745,6771,-26,-0.4,3969,4041,-72,-1.8,2776,2729,47,1.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6558,6592,-34,-0.5,3896,3969,-73,-1.8,2662,2623,39,1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5618,5716,-98,-1.7,3746,3842,-96,-2.5,1872,1874,-2,-0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,764,697,67,9.6,58,52,6,11.5,706,645,61,9.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,176,179,-3,-1.7,93,75,18,24,83,104,-21,-20.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,187,178,9,5.1,73,72,1,1.4,114,106,8,7.5
〔就業者の主な産業別内訳〕／建設業,463,486,-23,-4.7,403,415,-12,-2.9,60,72,-12,-16.7
〔就業者の主な産業別内訳〕／製造業,749,895,-146,-16.3,555,653,-98,-15,194,242,-48,-19.8
〔就業者の主な産業別内訳〕／情報通信業,595,596,-1,-0.2,431,431,0,0,165,165,0,0
〔就業者の主な産業別内訳〕／運輸業，郵便業,404,346,58,16.8,298,281,17,6,107,65,42,64.6
〔就業者の主な産業別内訳〕／卸売業，小売業,1155,1177,-22,-1.9,623,649,-26,-4,533,528,5,0.9
〔就業者の主な産業別内訳〕／金融業，保険業,241,264,-23,-8.7,112,139,-27,-19.4,129,125,4,3.2
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,207,229,-22,-9.6,116,137,-21,-15.3,91,91,0,0
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,397,390,7,1.8,241,237,4,1.7,156,152,4,2.6
