区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11405,11385,20,0.2,5642,5640,2,0,5764,5745,19,0.3
〔就業状態〕／労働力人口,7137,7092,45,0.6,4170,4161,9,0.2,2967,2931,36,1.2
〔就業状態〕／労働力人口／就業者数,6791,6749,42,0.6,3961,3963,-2,-0.1,2831,2786,45,1.6
〔就業状態〕／労働力人口／就業者数／自営業主数,585,618,-33,-5.3,411,434,-23,-5.3,174,184,-10,-5.4
〔就業状態〕／労働力人口／就業者数／家族従業者数,135,124,11,8.9,28,16,12,75,107,109,-2,-1.8
〔就業状態〕／労働力人口／就業者数／雇用者数,6030,5980,50,0.8,3501,3497,4,0.1,2529,2483,46,1.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5201,5158,43,0.8,3198,3213,-15,-0.5,2002,1944,58,3
〔就業状態〕／労働力人口／完全失業者数,345,343,2,0.6,209,198,11,5.6,136,145,-9,-6.2
〔就業状態〕／非労働力人口,4262,4293,-31,-0.7,1467,1479,-12,-0.8,2795,2814,-19,-0.7
〔就業者の活動状況別内訳〕／就業者数（再掲）,6791,6749,42,0.6,3961,3963,-2,-0.1,2831,2786,45,1.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6634,6594,40,0.6,3893,3895,-2,-0.1,2741,2699,42,1.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5681,5627,54,1,3719,3754,-35,-0.9,1962,1873,89,4.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,759,802,-43,-5.4,73,59,14,23.7,686,743,-57,-7.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,194,164,30,18.3,101,82,19,23.2,94,82,12,14.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,157,155,2,1.3,67,68,-1,-1.5,90,87,3,3.4
〔就業者の主な産業別内訳〕／建設業,408,474,-66,-13.9,358,416,-58,-13.9,50,58,-8,-13.8
〔就業者の主な産業別内訳〕／製造業,758,778,-20,-2.6,537,576,-39,-6.8,220,202,18,8.9
〔就業者の主な産業別内訳〕／情報通信業,619,591,28,4.7,462,437,25,5.7,157,154,3,1.9
〔就業者の主な産業別内訳〕／運輸業，郵便業,386,401,-15,-3.7,277,273,4,1.5,109,129,-20,-15.5
〔就業者の主な産業別内訳〕／卸売業，小売業,1155,1103,52,4.7,602,572,30,5.2,553,530,23,4.3
