区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11388,11377,11,0.1,5634,5642,-8,-0.1,5754,5736,18,0.3
〔就業状態〕／労働力人口,7172,7177,-5,-0.1,4188,4226,-38,-0.9,2984,2951,33,1.1
〔就業状態〕／労働力人口／就業者数,6721,6832,-111,-1.6,3896,4028,-132,-3.3,2825,2803,22,0.8
〔就業状態〕／労働力人口／就業者数／自営業主数,592,598,-6,-1,401,427,-26,-6.1,192,171,21,12.3
〔就業状態〕／労働力人口／就業者数／家族従業者数,120,117,3,2.6,22,25,-3,-12,98,92,6,6.5
〔就業状態〕／労働力人口／就業者数／雇用者数,5957,6064,-107,-1.8,3448,3550,-102,-2.9,2509,2514,-5,-0.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5093,5194,-101,-1.9,3131,3237,-106,-3.3,1962,1958,4,0.2
〔就業状態〕／労働力人口／完全失業者数,451,345,106,30.7,292,197,95,48.2,159,148,11,7.4
〔就業状態〕／非労働力人口,4205,4193,12,0.3,1438,1412,26,1.8,2767,2782,-15,-0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）,6721,6832,-111,-1.6,3896,4028,-132,-3.3,2825,2803,22,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6582,6669,-87,-1.3,3833,3942,-109,-2.8,2749,2728,21,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5560,5721,-161,-2.8,3666,3783,-117,-3.1,1894,1938,-44,-2.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,807,750,57,7.6,55,59,-4,-6.8,752,691,61,8.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,215,199,16,8,112,100,12,12,103,99,4,4
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,139,162,-23,-14.2,63,87,-24,-27.6,76,76,0,0
〔就業者の主な産業別内訳〕／建設業,402,444,-42,-9.5,337,368,-31,-8.4,65,76,-11,-14.5
〔就業者の主な産業別内訳〕／製造業,764,795,-31,-3.9,542,574,-32,-5.6,222,221,1,0.5
〔就業者の主な産業別内訳〕／情報通信業,597,530,67,12.6,447,394,53,13.5,150,136,14,10.3
〔就業者の主な産業別内訳〕／運輸業，郵便業,343,326,17,5.2,286,262,24,9.2,57,64,-7,-10.9
〔就業者の主な産業別内訳〕／卸売業，小売業,1086,1173,-87,-7.4,558,628,-70,-11.1,529,545,-16,-2.9
〔就業者の主な産業別内訳〕／金融業，保険業,278,283,-5,-1.8,141,148,-7,-4.7,136,135,1,0.7
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,204,210,-6,-2.9,123,128,-5,-3.9,81,81,0,0
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,404,394,10,2.5,254,257,-3,-1.2,150,137,13,9.5
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,515,523,-8,-1.5,259,256,3,1.2,257,267,-10,-3.7
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,286,291,-5,-1.7,124,132,-8,-6.1,162,159,3,1.9
〔就業者の主な産業別内訳〕／教育，学習支援業,325,340,-15,-4.4,134,155,-21,-13.5,191,185,6,3.2
〔就業者の主な産業別内訳〕／医療，福祉,574,551,23,4.2,153,151,2,1.3,421,400,21,5.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,576,599,-23,-3.8,304,331,-27,-8.2,272,268,4,1.5
〔雇用者の主な産業別内訳〕／建設業,332,380,-48,-12.6,275,309,-34,-11,58,72,-14,-19.4
〔雇用者の主な産業別内訳〕／製造業,720,762,-42,-5.5,516,556,-40,-7.2,204,206,-2,-1
〔雇用者の主な産業別内訳〕／情報通信業,575,510,65,12.7,433,378,55,14.6,142,131,11,8.4
〔雇用者の主な産業別内訳〕／運輸業，郵便業,302,298,4,1.3,247,234,13,5.6,55,63,-8,-12.7
〔雇用者の主な産業別内訳〕／卸売業，小売業,979,1077,-98,-9.1,498,570,-72,-12.6,481,507,-26,-5.1
〔雇用者の主な産業別内訳〕／金融業，保険業,277,282,-5,-1.8,141,147,-6,-4.1,136,135,1,0.7
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,168,177,-9,-5.1,105,112,-7,-6.3,63,64,-1,-1.6
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,286,264,22,8.3,175,170,5,2.9,110,94,16,17
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,454,436,18,4.1,228,210,18,8.6,226,226,0,0
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,209,219,-10,-4.6,92,99,-7,-7.1,116,120,-4,-3.3
〔雇用者の主な産業別内訳〕／教育，学習支援業,282,308,-26,-8.4,128,149,-21,-14.1,154,159,-5,-3.1
〔雇用者の主な産業別内訳〕／医療，福祉,520,505,15,3,125,122,3,2.5,395,383,12,3.1
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,542,549,-7,-1.3,280,295,-15,-5.1,261,254,7,2.8
〔非農林業雇用者の従業者規模別内訳〕／総数,5953,6061,-108,-1.8,3446,3548,-102,-2.9,2507,2513,-6,-0.2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1756,1817,-61,-3.4,994,1035,-41,-4,761,782,-21,-2.7
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1838,1891,-53,-2.8,1039,1077,-38,-3.5,799,814,-15,-1.8
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1943,1905,38,2,1175,1188,-13,-1.1,769,717,52,7.3
〔完全失業率（年齢階級別）(%)〕／総数,6.3,4.8,1.5,,7,4.7,2.3,,5.3,5,0.3,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,17.7,7.4,10.3,,22.4,6.8,15.6,,12.9,7.9,5,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,6.1,6,0.1,,7.1,6.6,0.5,,4.8,5.2,-0.4,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,5.3,4.7,0.6,,5.2,3.7,1.5,,5.3,6.2,-0.9,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,4.4,4.1,0.3,,5.2,3.9,1.3,,3.4,4.4,-1,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,6.4,3.9,2.5,,7.2,4.4,2.8,,5.2,3.2,2,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,4.2,2.8,1.4,,4.9,3.4,1.5,,3.2,1.8,1.4,
〔労働力人口比率(%)〕／総数,63,63.1,-0.1,,74.3,74.9,-0.6,,51.9,51.4,0.5,
,,,,,,,,,,,,
東京の労働力統計データ（平成22年４～６月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成22年４～６月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
