年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成14年平均,2002,,489,915,‐,‐,‐,218,‐,‐,‐,‐,‐,401,‐
実数／男女計／平成15年平均,2003,,480,849,‐,‐,‐,216,‐,‐,‐,‐,‐,454,‐
実数／男女計／平成16年平均,2004,,491,809,‐,‐,‐,241,‐,‐,‐,‐,‐,464,‐
実数／男女計／平成17年平均,2005,,469,837,‐,‐,‐,228,‐,‐,‐,‐,‐,522,‐
実数／男女計／平成18年平均,2006,,460,836,‐,‐,‐,220,‐,‐,‐,‐,‐,515,‐
実数／男女計／平成19年平均,2007,,484,875,‐,‐,‐,245,‐,‐,‐,‐,‐,515,‐
実数／男女計／平成20年平均,2008,,494,866,538,334,1193,275,217,380,483,271,302,536,643
実数／男女計／平成21年平均,2009,,463,808,561,363,1151,268,208,387,496,275,321,554,594
実数／男女計／平成14年１～３月平均,2002,01～03,504,947,‐,‐,‐,213,‐,‐,‐,‐,‐,417,‐
実数／男女計／平成14年４～６月平均,2002,04～06,488,983,‐,‐,‐,225,‐,‐,‐,‐,‐,418,‐
実数／男女計／平成14年７～９月平均,2002,07～09,471,858,‐,‐,‐,227,‐,‐,‐,‐,‐,400,‐
実数／男女計／平成14年10～12月平均,2002,10～12,494,872,‐,‐,‐,208,‐,‐,‐,‐,‐,371,‐
実数／男女計／平成15年１～３月平均,2003,01～03,502,898,‐,‐,‐,188,‐,‐,‐,‐,‐,430,‐
実数／男女計／平成15年４～６月平均,2003,04～06,503,877,‐,‐,‐,220,‐,‐,‐,‐,‐,436,‐
実数／男女計／平成15年７～９月平均,2003,07～09,460,786,‐,‐,‐,215,‐,‐,‐,‐,‐,477,‐
実数／男女計／平成15年10～12月平均,2003,10～12,457,837,‐,‐,‐,240,‐,‐,‐,‐,‐,473,‐
実数／男女計／平成16年１～３月平均,2004,01～03,502,852,‐,‐,‐,239,‐,‐,‐,‐,‐,433,‐
実数／男女計／平成16年４～６月平均,2004,04～06,512,799,‐,‐,‐,219,‐,‐,‐,‐,‐,434,‐
実数／男女計／平成16年７～９月平均,2004,07～09,485,797,‐,‐,‐,223,‐,‐,‐,‐,‐,475,‐
実数／男女計／平成16年10～12月平均,2004,10～12,465,790,‐,‐,‐,283,‐,‐,‐,‐,‐,514,‐
実数／男女計／平成17年１～３月平均,2005,01～03,474,791,‐,‐,‐,214,‐,‐,‐,‐,‐,485,‐
実数／男女計／平成17年４～６月平均,2005,04～06,464,878,‐,‐,‐,214,‐,‐,‐,‐,‐,538,‐
実数／男女計／平成17年７～９月平均,2005,07～09,476,866,‐,‐,‐,224,‐,‐,‐,‐,‐,539,‐
実数／男女計／平成17年10～12月平均,2005,10～12,463,813,‐,‐,‐,259,‐,‐,‐,‐,‐,528,‐
実数／男女計／平成18年１～３月平均,2006,01～03,461,850,‐,‐,‐,208,‐,‐,‐,‐,‐,458,‐
実数／男女計／平成18年４～６月平均,2006,04～06,490,895,‐,‐,‐,207,‐,‐,‐,‐,‐,539,‐
実数／男女計／平成18年７～９月平均,2006,07～09,454,827,‐,‐,‐,232,‐,‐,‐,‐,‐,549,‐
実数／男女計／平成18年10～12月平均,2006,10～12,436,771,‐,‐,‐,235,‐,‐,‐,‐,‐,514,‐
実数／男女計／平成19年１～３月平均,2007,01～03,472,911,‐,‐,‐,217,‐,‐,‐,‐,‐,490,‐
実数／男女計／平成19年４～６月平均,2007,04～06,527,924,‐,‐,‐,221,‐,‐,‐,‐,‐,505,‐
実数／男女計／平成19年７～９月平均,2007,07～09,471,819,‐,‐,‐,269,‐,‐,‐,‐,‐,528,‐
実数／男女計／平成19年10～12月平均,2007,10～12,464,845,‐,‐,‐,273,‐,‐,‐,‐,‐,537,‐
実数／男女計／平成20年１～３月平均,2008,01～03,511,900,536,377,1195,282,235,373,490,230,290,480,609
実数／男女計／平成20年４～６月平均,2008,04～06,475,843,468,321,1278,291,220,367,483,261,316,505,640
実数／男女計／平成20年７～９月平均,2008,07～09,483,834,556,330,1159,286,212,335,485,295,314,580,662
実数／男女計／平成20年10～12月平均,2008,10～12,506,888,594,310,1139,241,201,445,474,297,287,576,663
実数／男女計／平成21年１～３月平均,2009,01～03,486,895,596,346,1177,264,229,390,479,239,282,508,586
実数／男女計／平成21年４～６月平均,2009,04～06,444,795,530,326,1173,283,210,394,523,291,340,551,599
実数／男女計／平成21年７～９月平均,2009,07～09,448,762,528,380,1150,276,209,352,512,294,310,594,586
実数／男女計／平成21年10～12月平均,2009,10～12,474,778,591,401,1103,251,184,413,470,279,352,562,606
実数／男女計／平成22年１～３月平均,2010,01～03,463,749,595,404,1155,241,207,397,457,229,326,577,569
実数／男女計／平成22年４～６月平均,2010,04～06,402,764,597,343,1086,278,204,404,515,286,325,574,576
実数／男女計／平成22年７～９月平均,2010,07～09,394,753,582,402,1074,296,201,362,485,277,322,607,568
実数／男／平成14年平均,2002,,413,643,‐,‐,‐,102,‐,‐,‐,‐,‐,109,‐
実数／男／平成15年平均,2003,,402,601,‐,‐,‐,118,‐,‐,‐,‐,‐,121,‐
実数／男／平成16年平均,2004,,404,578,‐,‐,‐,122,‐,‐,‐,‐,‐,118,‐
実数／男／平成17年平均,2005,,403,592,‐,‐,‐,119,‐,‐,‐,‐,‐,131,‐
実数／男／平成18年平均,2006,,391,584,‐,‐,‐,122,‐,‐,‐,‐,‐,128,‐
実数／男／平成19年平均,2007,,415,633,‐,‐,‐,136,‐,‐,‐,‐,‐,142,‐
実数／男／平成20年平均,2008,,420,633,397,276,643,151,133,241,232,126,128,143,358
実数／男／平成21年平均,2009,,395,589,414,286,617,143,126,244,237,124,143,157,313
実数／男／平成14年１～３月平均,2002,01～03,425,663,‐,‐,‐,109,‐,‐,‐,‐,‐,126,‐
実数／男／平成14年４～６月平均,2002,04～06,405,693,‐,‐,‐,111,‐,‐,‐,‐,‐,111,‐
実数／男／平成14年７～９月平均,2002,07～09,403,615,‐,‐,‐,96,‐,‐,‐,‐,‐,102,‐
実数／男／平成14年10～12月平均,2002,10～12,421,600,‐,‐,‐,91,‐,‐,‐,‐,‐,96,‐
実数／男／平成15年１～３月平均,2003,01～03,433,638,‐,‐,‐,106,‐,‐,‐,‐,‐,132,‐
実数／男／平成15年４～６月平均,2003,04～06,400,634,‐,‐,‐,136,‐,‐,‐,‐,‐,108,‐
実数／男／平成15年７～９月平均,2003,07～09,389,564,‐,‐,‐,100,‐,‐,‐,‐,‐,115,‐
実数／男／平成15年10～12月平均,2003,10～12,387,568,‐,‐,‐,132,‐,‐,‐,‐,‐,129,‐
実数／男／平成16年１～３月平均,2004,01～03,427,606,‐,‐,‐,127,‐,‐,‐,‐,‐,129,‐
実数／男／平成16年４～６月平均,2004,04～06,398,568,‐,‐,‐,112,‐,‐,‐,‐,‐,105,‐
実数／男／平成16年７～９月平均,2004,07～09,403,579,‐,‐,‐,97,‐,‐,‐,‐,‐,119,‐
実数／男／平成16年10～12月平均,2004,10～12,386,557,‐,‐,‐,152,‐,‐,‐,‐,‐,118,‐
実数／男／平成17年１～３月平均,2005,01～03,392,558,‐,‐,‐,108,‐,‐,‐,‐,‐,136,‐
実数／男／平成17年４～６月平均,2005,04～06,394,630,‐,‐,‐,126,‐,‐,‐,‐,‐,124,‐
実数／男／平成17年７～９月平均,2005,07～09,422,626,‐,‐,‐,104,‐,‐,‐,‐,‐,141,‐
実数／男／平成17年10～12月平均,2005,10～12,404,554,‐,‐,‐,137,‐,‐,‐,‐,‐,123,‐
実数／男／平成18年１～３月平均,2006,01～03,378,591,‐,‐,‐,111,‐,‐,‐,‐,‐,122,‐
実数／男／平成18年４～６月平均,2006,04～06,416,647,‐,‐,‐,122,‐,‐,‐,‐,‐,128,‐
実数／男／平成18年７～９月平均,2006,07～09,399,571,‐,‐,‐,124,‐,‐,‐,‐,‐,143,‐
実数／男／平成18年10～12月平均,2006,10～12,371,529,‐,‐,‐,131,‐,‐,‐,‐,‐,120,‐
実数／男／平成19年１～３月平均,2007,01～03,393,638,‐,‐,‐,123,‐,‐,‐,‐,‐,140,‐
実数／男／平成19年４～６月平均,2007,04～06,454,677,‐,‐,‐,128,‐,‐,‐,‐,‐,137,‐
実数／男／平成19年７～９月平均,2007,07～09,409,593,‐,‐,‐,145,‐,‐,‐,‐,‐,150,‐
実数／男／平成19年10～12月平均,2007,10～12,403,624,‐,‐,‐,150,‐,‐,‐,‐,‐,142,‐
実数／男／平成20年１～３月平均,2008,01～03,427,647,397,308,645,156,136,248,219,106,123,129,335
実数／男／平成20年４～６月平均,2008,04～06,402,617,352,265,677,165,134,249,237,122,148,119,367
実数／男／平成20年７～９月平均,2008,07～09,416,615,417,278,621,153,136,208,229,139,120,163,378
実数／男／平成20年10～12月平均,2008,10～12,434,655,422,253,629,130,126,261,243,136,122,161,350
実数／男／平成21年１～３月平均,2009,01～03,415,653,431,281,649,139,137,237,221,99,122,153,305
実数／男／平成21年４～６月平均,2009,04～06,368,574,394,262,628,148,128,257,256,132,155,151,331
実数／男／平成21年７～９月平均,2009,07～09,380,551,394,329,618,146,132,226,246,134,123,169,307
実数／男／平成21年10～12月平均,2009,10～12,416,576,437,273,572,140,106,257,225,131,173,157,308
実数／男／平成22年１～３月平均,2010,01～03,403,555,431,298,623,112,116,241,207,94,146,181,302
実数／男／平成22年４～６月平均,2010,04～06,337,542,447,286,558,141,123,254,259,124,134,153,304
実数／男／平成22年７～９月平均,2010,07～09,344,514,436,343,588,157,118,236,234,123,145,176,297
実数／女／平成14年平均,2002,,76,272,‐,‐,‐,117,‐,‐,‐,‐,‐,293,‐
実数／女／平成15年平均,2003,,78,249,‐,‐,‐,97,‐,‐,‐,‐,‐,333,‐
実数／女／平成16年平均,2004,,88,232,‐,‐,‐,119,‐,‐,‐,‐,‐,346,‐
実数／女／平成17年平均,2005,,66,245,‐,‐,‐,109,‐,‐,‐,‐,‐,392,‐
実数／女／平成18年平均,2006,,69,251,‐,‐,‐,99,‐,‐,‐,‐,‐,387,‐
実数／女／平成19年平均,2007,,69,242,‐,‐,‐,109,‐,‐,‐,‐,‐,373,‐
実数／女／平成20年平均,2008,,74,233,141,59,550,124,84,139,251,145,173,393,286
実数／女／平成21年平均,2009,,68,219,147,77,534,125,82,143,259,152,178,397,281
実数／女／平成14年１～３月平均,2002,01～03,80,283,‐,‐,‐,105,‐,‐,‐,‐,‐,291,‐
実数／女／平成14年４～６月平均,2002,04～06,82,291,‐,‐,‐,115,‐,‐,‐,‐,‐,307,‐
実数／女／平成14年７～９月平均,2002,07～09,68,242,‐,‐,‐,132,‐,‐,‐,‐,‐,298,‐
実数／女／平成14年10～12月平均,2002,10～12,73,272,‐,‐,‐,117,‐,‐,‐,‐,‐,274,‐
