区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,11388,11373,15,0.1,5635,5637,-2,0,5753,5736,17,0.3
〔就業状態〕／労働力人口,7117,7115,2,0,4179,4197,-18,-0.4,2938,2917,21,0.7
〔就業状態〕／労働力人口／就業者数,6728,6781,-53,-0.8,3941,4011,-70,-1.7,2787,2770,17,0.6
〔就業状態〕／労働力人口／就業者数／自営業主数,571,587,-16,-2.7,399,417,-18,-4.3,172,170,2,1.2
〔就業状態〕／労働力人口／就業者数／家族従業者数,119,119,0,0,21,19,2,10.5,98,100,-2,-2
〔就業状態〕／労働力人口／就業者数／雇用者数,5995,6036,-41,-0.7,3498,3555,-57,-1.6,2497,2481,16,0.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5160,5200,-40,-0.8,3192,3261,-69,-2.1,1968,1939,29,1.5
〔就業状態〕／労働力人口／完全失業者数,389,334,55,16.5,238,186,52,28,151,147,4,2.7
〔就業状態〕／非労働力人口,4263,4252,11,0.3,1451,1436,15,1,2811,2816,-5,-0.2
〔就業者の活動状態別内訳〕／就業者数（再掲）,6728,6781,-53,-0.8,3941,4011,-70,-1.7,2787,2770,17,0.6
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,6566,6611,-45,-0.7,3871,3931,-60,-1.5,2694,2680,14,0.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,5616,5683,-67,-1.2,3713,3786,-73,-1.9,1903,1897,6,0.3
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,762,745,17,2.3,61,57,4,7,700,688,12,1.7
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,188,183,5,2.7,97,88,9,10.2,91,95,-4,-4.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,163,170,-7,-4.1,70,80,-10,-12.5,93,90,3,3.3
〔就業者の主な産業別内訳〕／建設業,417,463,-46,-9.9,360,395,-35,-8.9,56,68,-12,-17.6
〔就業者の主な産業別内訳〕／製造業,756,808,-52,-6.4,537,589,-52,-8.8,219,219,0,0
〔就業者の主な産業別内訳〕／情報通信業,598,561,37,6.6,444,414,30,7.2,154,147,7,4.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,384,363,21,5.8,301,286,15,5.2,83,77,6,7.8
〔就業者の主な産業別内訳〕／卸売業，小売業,1118,1151,-33,-2.9,592,617,-25,-4.1,525,534,-9,-1.7
〔就業者の主な産業別内訳〕／金融業，保険業,265,268,-3,-1.1,130,143,-13,-9.1,134,125,9,7.2
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,203,208,-5,-2.4,123,126,-3,-2.4,80,82,-2,-2.4
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,396,387,9,2.3,250,244,6,2.5,146,143,3,2.1
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,487,496,-9,-1.8,233,237,-4,-1.7,254,259,-5,-1.9
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,265,275,-10,-3.6,118,124,-6,-4.8,147,152,-5,-3.3
〔就業者の主な産業別内訳〕／教育，学習支援業,329,321,8,2.5,147,143,4,2.8,181,178,3,1.7
〔就業者の主な産業別内訳〕／医療，福祉,583,554,29,5.2,166,157,9,5.7,416,397,19,4.8
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,582,594,-12,-2,306,313,-7,-2.2,276,281,-5,-1.8
〔雇用者の主な産業別内訳〕／建設業,349,392,-43,-11,298,328,-30,-9.1,51,63,-12,-19
〔雇用者の主な産業別内訳〕／製造業,715,766,-51,-6.7,513,566,-53,-9.4,202,200,2,1
〔雇用者の主な産業別内訳〕／情報通信業,576,539,37,6.9,428,399,29,7.3,148,141,7,5
〔雇用者の主な産業別内訳〕／運輸業，郵便業,353,337,16,4.7,272,261,11,4.2,81,75,6,8
〔雇用者の主な産業別内訳〕／卸売業，小売業,1014,1050,-36,-3.4,531,558,-27,-4.8,483,493,-10,-2
〔雇用者の主な産業別内訳〕／金融業，保険業,261,263,-2,-0.8,129,140,-11,-7.9,132,124,8,6.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,170,175,-5,-2.9,107,110,-3,-2.7,63,65,-2,-3.1
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,287,273,14,5.1,179,171,8,4.7,108,102,6,5.9
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,410,404,6,1.5,195,191,4,2.1,216,214,2,0.9
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,204,212,-8,-3.8,90,93,-3,-3.2,115,119,-4,-3.4
〔雇用者の主な産業別内訳〕／教育，学習支援業,288,285,3,1.1,137,136,1,0.7,151,150,1,0.7
〔雇用者の主な産業別内訳〕／医療，福祉,531,507,24,4.7,137,127,10,7.9,394,380,14,3.7
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,545,552,-7,-1.3,281,284,-3,-1.1,264,268,-4,-1.5
〔非農林業雇用者の従業者規模別内訳〕／総数,5987,6030,-43,-0.7,3493,3551,-58,-1.6,2495,2480,15,0.6
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1693,1778,-85,-4.8,974,1026,-52,-5.1,719,752,-33,-4.4
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1912,1885,27,1.4,1083,1073,10,0.9,829,812,17,2.1
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1958,1936,22,1.1,1195,1215,-20,-1.6,764,721,43,6
〔完全失業率（年齢階級別）(%)〕／総数,5.5,4.7,0.8,,5.7,4.4,1.3,,5.1,5,0.1,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,10.2,6.7,3.5,,13,6.6,6.4,,7.8,6.8,1,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,6.5,6.3,0.2,,7,6,1,,5.8,6.7,-0.9,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.8,4.4,0.4,,4.5,3.7,0.8,,5.4,5.6,-0.2,
