年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成14年平均,2002,,414,842,‐,‐,‐,209,‐,‐,‐,‐,‐,362,‐
実数／男女計／平成15年平均,2003,,400,775,‐,‐,‐,207,‐,‐,‐,‐,‐,407,‐
実数／男女計／平成16年平均,2004,,411,742,‐,‐,‐,230,‐,‐,‐,‐,‐,423,‐
実数／男女計／平成17年平均,2005,,385,767,‐,‐,‐,220,‐,‐,‐,‐,‐,476,‐
実数／男女計／平成18年平均,2006,,381,768,‐,‐,‐,217,‐,‐,‐,‐,‐,477,‐
実数／男女計／平成19年平均,2007,,409,807,‐,‐,‐,243,‐,‐,‐,‐,‐,472,‐
実数／男女計／平成20年平均,2008,,419,811,512,305,1094,272,190,277,403,208,272,498,598
実数／男女計／平成21年平均,2009,,392,766,539,337,1050,263,175,273,404,212,285,507,552
実数／男女計／平成14年１～３月平均,2002,01～03,438,889,‐,‐,‐,207,‐,‐,‐,‐,‐,377,‐
実数／男女計／平成14年４～６月平均,2002,04～06,421,895,‐,‐,‐,208,‐,‐,‐,‐,‐,379,‐
実数／男女計／平成14年７～９月平均,2002,07～09,378,792,‐,‐,‐,220,‐,‐,‐,‐,‐,356,‐
実数／男女計／平成14年10～12月平均,2002,10～12,418,792,‐,‐,‐,201,‐,‐,‐,‐,‐,335,‐
実数／男女計／平成15年１～３月平均,2003,01～03,419,809,‐,‐,‐,179,‐,‐,‐,‐,‐,383,‐
実数／男女計／平成15年４～６月平均,2003,04～06,423,807,‐,‐,‐,214,‐,‐,‐,‐,‐,397,‐
実数／男女計／平成15年７～９月平均,2003,07～09,380,722,‐,‐,‐,210,‐,‐,‐,‐,‐,434,‐
実数／男女計／平成15年10～12月平均,2003,10～12,379,760,‐,‐,‐,226,‐,‐,‐,‐,‐,415,‐
実数／男女計／平成16年１～３月平均,2004,01～03,412,770,‐,‐,‐,226,‐,‐,‐,‐,‐,399,‐
実数／男女計／平成16年４～６月平均,2004,04～06,444,757,‐,‐,‐,214,‐,‐,‐,‐,‐,394,‐
実数／男女計／平成16年７～９月平均,2004,07～09,411,731,‐,‐,‐,212,‐,‐,‐,‐,‐,434,‐
実数／男女計／平成16年10～12月平均,2004,10～12,379,709,‐,‐,‐,269,‐,‐,‐,‐,‐,466,‐
実数／男女計／平成17年１～３月平均,2005,01～03,383,724,‐,‐,‐,202,‐,‐,‐,‐,‐,441,‐
実数／男女計／平成17年４～６月平均,2005,04～06,386,827,‐,‐,‐,209,‐,‐,‐,‐,‐,489,‐
実数／男女計／平成17年７～９月平均,2005,07～09,389,794,‐,‐,‐,215,‐,‐,‐,‐,‐,495,‐
実数／男女計／平成17年10～12月平均,2005,10～12,382,722,‐,‐,‐,252,‐,‐,‐,‐,‐,480,‐
実数／男女計／平成18年１～３月平均,2006,01～03,374,783,‐,‐,‐,206,‐,‐,‐,‐,‐,411,‐
実数／男女計／平成18年４～６月平均,2006,04～06,417,827,‐,‐,‐,202,‐,‐,‐,‐,‐,498,‐
実数／男女計／平成18年７～９月平均,2006,07～09,377,750,‐,‐,‐,228,‐,‐,‐,‐,‐,520,‐
実数／男女計／平成18年10～12月平均,2006,10～12,355,710,‐,‐,‐,231,‐,‐,‐,‐,‐,478,‐
実数／男女計／平成19年１～３月平均,2007,01～03,399,842,‐,‐,‐,213,‐,‐,‐,‐,‐,440,‐
実数／男女計／平成19年４～６月平均,2007,04～06,439,857,‐,‐,‐,218,‐,‐,‐,‐,‐,467,‐
実数／男女計／平成19年７～９月平均,2007,07～09,405,751,‐,‐,‐,267,‐,‐,‐,‐,‐,490,‐
実数／男女計／平成19年10～12月平均,2007,10～12,395,777,‐,‐,‐,271,‐,‐,‐,‐,‐,493,‐
実数／男女計／平成20年１～３月平均,2008,01～03,417,844,520,344,1095,273,194,263,413,183,267,444,569
実数／男女計／平成20年４～６月平均,2008,04～06,401,801,452,285,1184,290,190,269,400,205,289,476,592
実数／男女計／平成20年７～９月平均,2008,07～09,419,787,524,298,1048,284,194,243,406,217,271,540,611
実数／男女計／平成20年10～12月平均,2008,10～12,442,812,552,291,1048,240,180,335,395,227,260,533,620
実数／男女計／平成21年１～３月平均,2009,01～03,410,851,577,324,1082,257,186,265,383,205,257,461,551
実数／男女計／平成21年４～６月平均,2009,04～06,380,762,510,298,1077,282,177,264,436,219,308,505,549
実数／男女計／平成21年７～９月平均,2009,07～09,378,735,506,350,1021,271,189,265,415,216,272,552,546
実数／男女計／平成21年10～12月平均,2009,10～12,398,715,565,374,1021,244,148,297,383,208,304,510,561
実数／男女計／平成22年１～３月平均,2010,01～03,392,708,566,368,1072,236,173,301,381,185,287,518,521
実数／男女計／平成22年４～６月平均,2010,04～06,332,720,575,302,979,277,168,286,454,209,282,520,542
実数／男女計／平成22年７～９月平均,2010,07～09,324,719,566,374,976,290,166,264,402,213,278,566,539
実数／男女計／平成22年10～12月平均,2010,10～12,346,711,595,366,1028,239,173,297,405,210,305,519,577
実数／男／平成14年平均,2002,,346,598,‐,‐,‐,95,‐,‐,‐,‐,‐,86,‐
実数／男／平成15年平均,2003,,334,553,‐,‐,‐,112,‐,‐,‐,‐,‐,94,‐
実数／男／平成16年平均,2004,,333,534,‐,‐,‐,115,‐,‐,‐,‐,‐,94,‐
実数／男／平成17年平均,2005,,328,547,‐,‐,‐,113,‐,‐,‐,‐,‐,102,‐
実数／男／平成18年平均,2006,,322,542,‐,‐,‐,119,‐,‐,‐,‐,‐,104,‐
実数／男／平成19年平均,2007,,348,589,‐,‐,‐,135,‐,‐,‐,‐,‐,116,‐
実数／男／平成20年平均,2008,,352,599,378,247,588,149,118,172,189,95,124,121,327
実数／男／平成21年平均,2009,,328,566,399,261,558,140,110,171,191,93,136,127,284
実数／男／平成14年１～３月平均,2002,01～03,364,630,‐,‐,‐,104,‐,‐,‐,‐,‐,101,‐
実数／男／平成14年４～６月平均,2002,04～06,347,634,‐,‐,‐,99,‐,‐,‐,‐,‐,89,‐
実数／男／平成14年７～９月平均,2002,07～09,323,578,‐,‐,‐,91,‐,‐,‐,‐,‐,78,‐
実数／男／平成14年10～12月平均,2002,10～12,352,551,‐,‐,‐,87,‐,‐,‐,‐,‐,75,‐
実数／男／平成15年１～３月平均,2003,01～03,359,578,‐,‐,‐,98,‐,‐,‐,‐,‐,101,‐
実数／男／平成15年４～６月平均,2003,04～06,347,589,‐,‐,‐,131,‐,‐,‐,‐,‐,85,‐
実数／男／平成15年７～９月平均,2003,07～09,315,526,‐,‐,‐,98,‐,‐,‐,‐,‐,94,‐
実数／男／平成15年10～12月平均,2003,10～12,315,520,‐,‐,‐,123,‐,‐,‐,‐,‐,98,‐
実数／男／平成16年１～３月平均,2004,01～03,350,552,‐,‐,‐,117,‐,‐,‐,‐,‐,108,‐
実数／男／平成16年４～６月平均,2004,04～06,337,543,‐,‐,‐,108,‐,‐,‐,‐,‐,78,‐
実数／男／平成16年７～９月平均,2004,07～09,336,534,‐,‐,‐,92,‐,‐,‐,‐,‐,96,‐
実数／男／平成16年10～12月平均,2004,10～12,309,507,‐,‐,‐,141,‐,‐,‐,‐,‐,93,‐
実数／男／平成17年１～３月平均,2005,01～03,315,516,‐,‐,‐,99,‐,‐,‐,‐,‐,105,‐
実数／男／平成17年４～６月平均,2005,04～06,324,600,‐,‐,‐,123,‐,‐,‐,‐,‐,91,‐
