市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,住所,方書,緯度,経度,電話番号,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考,郵便番号,アクセス方法,駐車場_有無,駐車場情報,料金_要否,料金(基本),料金(詳細),利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細
132284,1,東京都,あきる野市,あきる野市役所,アキルノシヤクショ,,あきる野市二宮350,,35.731028,139.28828,042-558-1111,,,,,,バリアフリートイレ有り,,,197-0814,ＪＲ五日市線「秋川駅」下車　徒歩約10分,,,,,,,,無,
132284,2,東京都,あきる野市,楓ヶ原会館,カエデガハラカイカン,,あきる野市引田512-2,,35.72385,139.268499,,,9:00,22:00,木曜日、年末年始は利用不可,学習室、保育室、休養室、集会室,,,,197-0834 ,,有,13台,要,400,1室1時間　400円または500円,無,,無,
132284,3,東京都,あきる野市,北伊奈会館,キタイナカイカン,,あきる野市伊奈412-11,,35.733068,139.253389,,,9:00,22:00,水曜日、年末年始は利用不可,会議室、和室,,,,190-0142,,有,3台,要,400,1室1時間　400円または500円,無,,無,
132284,4,東京都,あきる野市,草花台会館,クサバナダイカイカン,,あきる野市草花1327-1,,35.736278,139.313931,,,9:00,22:00,木曜日、年末年始は利用不可,学習室、保育室、休養室、集会室,,,,197-0802,,有,10台,要,400,1室1時間　400円または500円,無,,無,
132284,5,東京都,あきる野市,小宮会館,コミヤカイカン,,あきる野市乙津1997,,35.733573,139.182949,,,9:00,22:00,水曜日、年末年始は利用不可,会議室、和室,,,,190-0174,,有,5台,要,400,1室1時間　400円または500円,無,,無,
132284,6,東京都,あきる野市,玉見会館,タマミカイカン,,あきる野市小川東2-9-8,,35.719233,139.320995,,,9:00,22:00,水曜日、年末年始は利用不可,学習室、保育室、集会室,多目的トイレ有り,,,197-0822,,有,3台,要,400,1室1時間　400円または500円,無,,無,
132284,7,東京都,あきる野市,千代里会館,チヨサトカイカン,,あきる野市上代継424,,35.720812,139.27772,,,9:00,22:00,木曜日、年末年始は利用不可,会議室、学習室Ａ・Ｂ、集会室,多目的トイレ有り,,,197-0832,,有,10台,要,400,1室1時間　400円または500円,無,,無,
132284,8,東京都,あきる野市,戸倉会館,トクラカイカン,,あきる野市戸倉133-4,,35.726097,139.204617,,,9:00,22:00,水曜日、年末年始は利用不可,会議室、和室,,,,190-0173 ,,有,4台,要,400,1室1時間　400円または500円,無,,無,
132284,9,東京都,あきる野市,鳥居場会館,トリイバカイカン,,あきる野市雨間999-2,,35.719879,139.295941,,,9:00,22:00,木曜日、年末年始は利用不可,会議室、学習室、休養室、集会室,多目的トイレ有り,,,197-0825,,有,16台,要,400,1室1時間　400円または500円,無,,無,
132284,10,東京都,あきる野市,二宮地区会館,ニノミヤチクカイカン,,あきる野市二宮1151,,35.727373,139.313475,,,9:00,22:00,火曜日、年末年始は利用不可,会議室、学習室、保育室、休養室、集会室,,,,197-0814,,有,2台,要,400,1室1時間　400円または500円,無,,無,
132284,11,東京都,あきる野市,野辺地区会館,ノベチクカイカン,,あきる野市野辺126-4,,35.723102,139.313656,,,9:00,22:00,月曜日、年末年始は利用不可,調理学習室、休養室、集会室,,,,197-0823 ,,有,9台,要,400,1室1時間　400円または500円,無,,無,
