市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,備考
132284,1,東京都,あきる野市,神明保育園,シンメイホイクエン,認可公立保育所,あきる野市瀬戸岡446,,35.738094,139.288399,,,042-558-1107,70,4月1日の年齢が満1歳から,月火水木金土,7:30,18:30,,,延長保育18：30～19：00
132284,2,東京都,あきる野市,屋城保育園,ヤシロホイクエン,認可公立保育所,あきる野市二宮東1-12-9,,35.724019,139.322605,,,042-558-1106,90,4月1日の年齢が満1歳から,月火水木金土,7:30,18:30,,,延長保育18：30～19：00
132284,3,東京都,あきる野市,すぎの子保育園,スギノコホイクエン,認可公立保育所,あきる野市戸倉783,,35.731208,139.197998,,,042-595-0450,40,4月1日の年齢が満1歳から,月火水木金土,7:30,18:30,,,延長保育18：30～19：00
132284,4,東京都,あきる野市,東秋留保育園,ヒガシアキルホイクエン,認可私立保育所,あきる野市野辺1104,,35.724229,139.304785,,,042-558-1104,150,生後57日目から,月火水木金土,7:00,18:00,,有（保育課へ申請）,延長保育18：00～19：00
132284,5,東京都,あきる野市,西秋留保育園,ニシアキルホイクエン,認可私立保育所,あきる野市上代継300,,35.722898,139.277112,,,042-558-1105,100,生後57日目から,月火水木金土,7:00,18:00,,有（保育課へ申請）,延長保育18：00～19：00
132284,6,東京都,あきる野市,草花保育園,クサバナホイクエン,認可私立保育所,あきる野市草花3056,,35.739188,139.30327,,,042-558-7811,150,生後57日目から,月火水木金土,7:00,18:00,,有（保育課へ申請）,延長保育18：00～19：00
132284,7,東京都,あきる野市,よつぎ第一保育園,ヨツギダイイチホイクエン,認可私立保育所,あきる野市雨間1067-6,,35.72026,139.298144,,,042-558-7221,154,生後57日目から,月火水木金土,7:00,18:00,,有（保育課へ申請）,延長保育18：00～19：00
132284,8,東京都,あきる野市,よつぎ第二保育園,ヨツギダイニホイクエン,認可私立保育所,あきる野市上代継218-1,,35.724178,139.278059,,,042-559-0515,160,生後57日目から,月火水木金土,7:00,18:00,,有（保育課へ申請）,延長保育18：00～19：00
132284,9,東京都,あきる野市,秋川あすなろ保育園,アキガワアスナロホイクエン,認可私立保育所,あきる野市原小宮2-6-6,,35.734006,139.301604,,,042-558-8299,150,生後57日目から,月火水木金土,7:00,18:00,,有（保育課へ申請）,延長保育18：00～19：00
132284,10,東京都,あきる野市,誠和保育園,セイワホイクエン,認可私立保育所,あきる野市山田880,,35.725719,139.259691,,,042-596-3301,130,生後57日目から,月火水木金土,7:00,18:00,,有（保育課へ申請）,延長保育18：00～19：00
132284,11,東京都,あきる野市,増戸保育園,マスコホイクエン,認可私立保育所,あきる野市横沢134,,35.732374,139.241529,,,042-596-4627,210,生後57日目から,月火水木金土,7:15,18:15,,有（保育課へ申請）,延長保育18：15～19：15
132284,12,東京都,あきる野市,五日市保育園,イツカイチホイクエン,認可私立保育所,あきる野市五日市345,,35.731079,139.223733,,,042-596-0339,107,生後57日目から,月火水木金土,7:15,18:15,,有（保育課へ申請）,延長保育18：15～19：15
132284,13,東京都,あきる野市,五日市わかば保育園,イツカイチワカバホイクエン,認可私立保育所,あきる野市五日市98,,35.728829,139.224759,,,042-596-3472,110,生後57日目から,月火水木金土,7:00,18:00,,有（保育課へ申請）,延長保育18：00～19：00
132284,14,東京都,あきる野市,光明第六保育園,コウミョウダイロクホイクエン,認可私立保育所,あきる野市留原50,,35.723251,139.234511,,,042-596-1303,58,生後57日目から,月火水木金土,7:30,18:30,,有（保育課へ申請）,延長保育なし
132284,15,東京都,あきる野市,あきる野こどもの家,アキルノコドモノイエ,認可私立保育所,あきる野市秋川3-7-9,,35.733474,139.284453,,,042-550-6245,100,生後57日目から,月火水木金土,7:00,18:00,,有（保育課へ申請）,延長保育18：00～19：00
