東京都災害拠点連携病院一覧,,,,
,,,,令和６年２月２８日現在
"二次保健
医療圏",施設名,所在地,電話番号,"一般
病床数"
区中央部,東京逓信病院,千代田区富士見2-14-23,03-5214-7111,461
,社団法人 東京都教職員互助会 三楽病院,千代田区神田駿河台2-5,03-3292-3981,240
,国際医療福祉大学附属 三田病院,港区三田1-4-3,03-3451-8121,291
,東京高輪病院,港区高輪3-10-11,03-3443-9191,247
,医療法人社団 哺育会 浅草病院,台東区今戸2-26-15,03-3876-1711,136
,東京都台東区立台東病院,台東区千束3-20-5,03-3876-1001,40
区南部,公益財団法人 河野臨床医学研究所附属 第三北品川病院,品川区北品川3-3-7,03-3474-1948,114
,医療法人社団 おきの会 旗の台病院,品川区旗の台5-17-16,03-3781-1108,60
,東京品川病院,品川区東大井6-3-22,03-3764-0511,296
,社会医療法人財団 仁医会 牧田総合病院,大田区大森北1-34-6,03-3762-4671,329
,医療法人社団森と海東京　東京蒲田病院,大田区西蒲田7-10-1,03-3733-0525,124
,東京蒲田医療センター,大田区南蒲田2-19-2,03-3738-8221,230
,大田病院,大田区大森東4-4-14,03-3762-8421,189
区西南部,国家公務員 共済組合連合会 東京共済病院,目黒区中目黒2-3-8,03-3712-3151,350
,国家公務員 共済組合連合会 三宿病院,目黒区上目黒5-33-12,03-3711-5771,206
,医療法人社団 菫会 目黒病院,目黒区中央町2-12-6,03-3711-5641,60
,東邦大学医療センター 大橋病院,目黒区大橋2‐22‐36,03-3468-1251,320
,総合病院 厚生中央病院,目黒区三田1-11-7,03-3713-2141,320
,国立研究開発法人国立成育医療研究センター,世田谷区大蔵2-10-1,03-3416-0181,490
,東京都立松沢病院,世田谷区上北沢2-1-1,03-3303-7211,898
,ＪＲ東京総合病院,渋谷区代々木2-1-3,03-3320-2204,423
,医療法人温光会 内藤病院,渋谷区初台1-35-10,03-3370-2351,53
,クロス病院,渋谷区幡ケ谷2-18-20,03-3376-2361,42
区西部,医療法人社団 仁圭会 林外科病院,新宿区大京町27,03-3357-3161,42
,社会福祉法人 聖母会 聖母病院,新宿区中落合2-5-1,03-3951-1111,154
,医療法人社団 悦伝会 目白病院,新宿区下落合3-22-23,03-3953-9909,100
,医療法人社団 広恵会 春山記念病院,新宿区百人町1-24-5,03-3363-1661,99
,医療法人財団 健貢会 総合東京病院,中野区江古田3-15-2,03-3387-5421,451
,医療法人社団 徳静会 横畠病院,中野区新井1-38-6,03-3389-2531,37
,社団法人 衛生文化協会 城西病院,杉並区上荻2-42-11,03-3390-4166,50
,医療法人財団 アドベンチスト会 東京衛生アドベンチスト病院,杉並区天沼3-17-3,03-3392-6151,186
,医療法人社団山斗会 山中病院,杉並区南荻窪1-5-15,03-3335-5611,47
,社会福祉法人 浴風会 浴風会病院,杉並区高井戸西1-12-1,03-3332-6511,150
,浜田山病院,杉並区浜田山4-1-8,03-3311-1198,48
,医療法人社団君真光　寺田病院,杉並区宮前5-18-16,03-3332-1166,21
,河北総合病院,杉並区阿佐谷北1-7-3,03-3339-3602,331
,医療法人社団 静山会 清川病院,杉並区阿佐谷南2-31-12,03-3312-0151,111
,ニューハート・ワタナベ国際病院,杉並区浜田山3-19-11,03-3311-1119,44
区西北部,医療法人社団 日心会 総合病院 一心病院,豊島区北大塚1-18-7,03-3918-1215,85
,社会医療法人社団 大成会 長汐病院,豊島区池袋1-5-8,03-3984-6161,93
,医療法人社団 仁済会 豊島中央病院,豊島区上池袋2-42-21,03-3916-7211,60
,大同病院,豊島区高田3-22-8,03-3981-3213,60
