"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","感染に対する不安・焦燥感[人]","今後の生活についての不安[人]","ストレス・不眠等 の こころの不調[人]","報道に基づく疲労感[人]","外に出るのが怖い[人]","特になし[人]","その他[人]","無回答[人]"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","全体",,"558","301","178","103","189","94","81","32","14"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","男性（計）","231","107","68","34","77","34","43","15","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","男性 18～29歳","13","6","6","1","6","4","1","0","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","男性 30～39歳","38","11","12","6","12","7","9","2","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","男性 40～49歳","50","23","15","10","20","6","13","4","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","男性 50～59歳","47","26","16","11","14","7","5","5","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","男性 60～69歳","42","20","10","5","11","3","9","3","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","男性 70歳以上","40","20","8","1","14","7","6","1","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","男性 無回答","1","1","1","0","0","0","0","0","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","女性（計）","313","192","108","69","111","60","37","17","4"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","女性 18～29歳","26","15","14","9","15","5","2","0","1"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","女性 30～39歳","49","26","19","19","19","12","4","1","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","女性 40～49歳","78","48","27","17","28","15","13","7","1"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","女性 50～59歳","62","42","21","10","26","10","6","6","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","女性 60～69歳","56","39","14","5","13","8","7","2","1"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","女性 70歳以上","42","22","13","9","10","10","5","1","1"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","性・年代別","無回答","14","2","2","0","1","0","1","0","10"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","職業別","自営業主・家族従業","86","45","23","12","29","10","17","7","0"
"202203","自殺対策","Q27. 新型コロナウイルス感染症が流行する中で、これまでに感じたこころの変化を教えてください。（複数回答可）","職業別","会社員・団体職員・公務員","243","124","85","53","91","37","38","16","0"
