戸籍届出処理件数、住民異動届処理件数の推移,,,,,,,,,,,,,
,,,,,,,,,,,,,
西暦,和暦,戸籍総数(人）,出生（人）,死亡（人）,婚姻（人）,離婚（人）,転籍（人）,戸籍・その他（人）,住民基本台帳総数（人）,転入（人）,転出（人）,転居（人）,住民基本台帳　その他（人）
1961,昭和36,-,-,-,773,68,-,-,-,-,-,-,-
1962,昭和37,-,-,-,750,62,-,-,-,-,-,-,-
1963,昭和38,-,-,-,"1,086",67,-,-,-,-,-,-,-
1964,昭和39,-,-,-,"1,119",82,-,-,-,-,-,-,-
1965,昭和40,-,-,-,"1,227",89,-,-,-,-,-,-,-
1966,昭和41,-,-,-,"1,391",127,-,-,-,-,-,-,-
1967,昭和42,-,-,-,"1,594",124,-,-,-,-,-,-,-
1968,昭和43,-,-,-,"1,255",129,-,-,-,-,-,-,-
1969,昭和44,-,-,-,"1,187",117,-,-,-,-,-,-,-
1970,昭和45,-,-,-,"1,265",129,-,-,-,-,-,-,-
1971,昭和46,-,-,-,"1,617",173,-,-,-,-,-,-,-
1972,昭和47,-,-,-,"1,465",172,-,-,-,-,-,-,-
1973,昭和48,-,-,-,"2,184",172,-,-,-,-,-,-,-
1974,昭和49,-,-,-,"2,108",174,-,-,-,-,-,-,-
1975,昭和50,-,-,-,"1,009",188,-,-,-,-,-,-,-
1976,昭和51,-,-,-,"1,342",242,-,-,-,-,-,-,-
1977,昭和52,-,-,-,"1,304",245,-,-,-,-,-,-,-
1978,昭和53,"5,255","1,521",452,"1,202",262,"1,147",671,"24,485","7,398","7,094","2,842","7,151"
1979,昭和54,"5,396","1,547",448,"1,292",244,"1,240",625,"27,693","6,829","7,974","2,838","10,052"
1980,昭和55,"4,958","1,355",447,"1,227",258,983,688,"22,776","6,663","6,921","2,839","6,353"
1981,昭和56,"5,805","1,421",489,"1,264",317,"1,388",926,"22,576","6,938","6,733","2,383","6,522"
1982,昭和57,"5,254","1,328",472,"1,269",331,"1,060",794,"21,888","6,571","6,351","2,459","6,507"
1983,昭和58,"5,280","1,319",463,"1,293",358,990,857,"22,057","7,004","6,542","2,326","6,185"
1984,昭和59,"5,226","1,301",520,"1,299",334,964,808,"21,490","6,653","6,253","2,531","6,053"
1985,昭和60,"5,214","1,245",482,"1,345",328,"1,045",769,"22,873","7,431","6,423","2,669","6,350"
1986,昭和61,"5,269","1,239",513,"1,338",332,"1,035",812,"23,077","7,547","6,611","2,549","6,370"
1987,昭和62,"5,066","1,242",494,"1,346",291,952,741,"23,375","7,514","6,836","2,592","6,433"
1988,昭和63,"5,301","1,240",562,"1,398",318,"1,016",767,"22,809","7,561","6,942","2,348","5,958"
1989,平成元,"5,252","1,198",596,"1,506",311,913,728,"25,126","7,878","7,193","2,683","7,372"
1990,平成2,"5,252","1,165",581,"1,516",343,924,723,"27,023","8,038","7,435","2,553","8,997"
1991,平成3,"5,361","1,197",609,"1,566",351,822,816,"25,964","8,076","7,576","2,515","7,797"
1992,平成4,"5,697","1,191",674,"1,672",383,889,888,"26,404","8,133","7,749","2,718","7,804"
1993,平成5,"5,750","1,199",636,"1,712",411,877,915,"28,075","8,416","8,321","3,079","8,259"
1994,平成6,"5,942","1,269",654,"1,739",412,986,882,"30,812","8,602","8,153","3,118","10,939"
1995,平成7,"6,036","1,165",727,"1,781",410,"1,082",871,"28,386","8,506","8,350","3,385","8,145"
1996,平成8,"6,295","1,271",744,"1,805",459,"1,092",924,"28,566","8,786","8,152","3,763","7,865"
1997,平成9,"6,343","1,264",710,"1,794",474,"1,127",974,"28,872","8,882","8,209","3,645","8,136"
1998,平成10,"6,599","1,336",787,"1,810",510,"1,130","1,026","28,805","8,979","8,093","3,549","8,184"
1999,平成11,"6,891","1,327",863,"1,855",523,"1,273","1,050","28,846","8,934","7,744","3,770","8,398"
2000,平成12,"7,161","1,339",866,"1,977",576,"1,260","1,143","29,619","8,574","8,145","3,545","9,355"
2001,平成13,"7,709","1,408",887,"1,912",587,"1,242","1,673","30,772","9,016","8,050","3,530","10,176"
2002,平成14,"7,100","1,326",900,"1,865",566,"1,169","1,274","29,048","8,815","7,934","3,548","8,751"
2003,平成15,"7,506","1,336",902,"1,855",621,"1,455","1,337","30,575","9,463","8,161","3,737","9,214"
2004,平成16,"7,140","1,297",915,"1,826",524,"1,311","1,267","29,536","8,370","7,902","3,321","9,943"
2005,平成17,"7,183","1,364",990,"1,816",518,"1,227","1,268","31,788","8,581","7,708","3,474","12,025"
2006,平成18,"7,134","1,338","1,004","1,871",480,"1,292","1,149","29,275","8,833","7,852","3,433","9,157"
2007,平成19,"7,044","1,325",996,"1,777",548,"1,173","1,225","28,062","8,668","7,853","3,121","8,420"
2008,平成20,"7,171","1,365","1,042","1,831",517,"1,198","1,218","28,487","8,549","7,846","3,171","8,921"
2009,平成21,"7,029","1,296","1,027","1,839",531,"1,205","1,131","34,451","8,046","7,725","3,308","15,372"
2010,平成22,"7,095","1,361","1,192","1,719",531,"1,192","1,100","26,920","7,734","7,387","3,381","8,418"
2011,平成23,"6,661","1,305","1,128","1,636",468,"1,136",988,"25,571","7,395","7,342","3,160","7,674"
2012,平成24,"7,015","1,298","1,260","1,755",503,"1,091","1,108","23,912","7,913","7,236","3,358","5,405"
2013,平成25,"6,757","1,252","1,256","1,694",454,"1,112",989,"29,518","8,427","8,227","3,430","9,434"
2014,平成26,"6,751","1,296","1,201","1,652",466,"1,092","1,044","22,641","6,718","5,101","2,470","8,352"
2015,平成27,"6,790","1,318","1,307","1,687",453,"1,055",970,"33,272","8,985","7,964","3,501","12,822"
2016,平成28,"6,897","1,246","1,323","1,737",457,"1,105","1,029","38,790","9,762","8,121","3,491","17,416"
