年少、生産年齢、老年人口の推移,,,,,,,,
,,,,,,,,各年1月1日現在
西暦,人口(人）,割合 （％）,年少人口（0～14歳）人口（人）,年少人口（0～14歳）割合 （％）,生産年齢人口（15～64歳）人口（人）,生産年齢人口（15～64歳）割合 （％）,老年人口（65歳以上）人口（人）,老年人口（65歳以上）割合 （％）
1981,"143,332",100,"35,037",24.5,"98,717",68.9,"9,578",6.7
1982,"143,042",100,"34,336",24,"98,718",69,"9,988",7
1983,"143,539",100,"33,203",23.1,"99,837",69.6,"10,499",7.3
1984,"144,520",100,"32,175",22.3,"101,504",70.2,"10,841",7.5
1985,"145,941",100,"31,277",21.4,"103,444",70.9,"11,220",7.7
1986,"147,772",100,"30,464",20.6,"105,395",71.3,"11,913",8.1
1987,"150,019",100,"29,751",19.8,"107,846",71.9,"12,422",8.3
1988,"151,179",100,"28,512",18.9,"109,723",72.6,"12,944",8.6
1989,"152,098",100,"27,229",17.9,"111,449",73.3,"13,420",8.8
1990,"153,041",100,"26,104",17.1,"112,950",73.8,"13,987",9.1
1991,"153,273",100,"24,919",16.3,"113,675",74.2,"14,679",9.6
1992,"154,168",100,"24,133",15.7,"114,762",74.4,"15,273",9.9
1993,"154,884",100,"23,539",15.2,"115,395",74.5,"15,950",10.3
1994,"154,922",100,"22,795",14.7,"115,384",74.5,"16,743",10.8
1995,"155,832",100,"22,362",14.4,"115,954",74.4,"17,516",11.2
1996,"157,228",100,"22,413",14.3,"116,478",74.1,"18,337",11.7
1997,"157,903",100,"22,239",14.1,"116,401",73.7,"19,263",12.2
1998,"158,858",100,"22,069",13.9,"116,441",73.3,"20,348",12.8
1999,"160,181",100,"22,003",13.7,"116,818",72.9,"21,360",13.3
2000,"162,549",100,"22,104",13.6,"118,115",72.7,"22,330",13.7
2001,"163,421",100,"22,067",13.5,"117,853",72.1,"23,501",14.4
2002,"164,639",100,"21,983",13.4,"118,011",71.7,"24,645",15
2003,"165,410",100,"21,979",13.3,"117,606",71.1,"25,825",15.6
2004,"166,829",100,"22,074",13.2,"117,821",70.6,"26,934",16.1
2005,"168,828",100,"22,450",13.3,"118,139",70,"28,239",16.7
2006,"169,768",100,"22,430",13.2,"117,904",69.5,"29,434",17.3
2007,"171,325",100,"22,601",13.2,"117,883",68.8,"30,841",18
2008,"172,547",100,"22,608",13.1,"117,794",68.3,"32,145",18.6
2009,"173,692",100,"22,759",13.1,"117,413",67.6,"33,520",19.3
2010,"174,458",100,"22,594",13,"117,082",67.1,"34,782",19.9
2011,"174,920",100,"22,555",12.9,"116,753",66.7,"35,612",20.4
2012,"175,188",100,"22,454",12.8,"116,238",66.4,"36,496",20.8
2013,"178,407",100,"22,573",12.7,"117,525",65.9,"38,309",21.5
2014,"178,194",100,"22,456",12.6,"116,047",65.1,"39,691",22.3
2015,"179,090",100,"22,423",12.5,"115,525",64.5,"41,142",23
2016,"179,796",100,"22,352",12.4,"115,136",64,"42,308",23.5
2017,"181,554",100,"22,458",12.4,"115,874",63.8,"43,222",23.8
2018,"182,658",100,"22,479",12.3,"116,264",63.7,"43,915",24
2019,"183,822",100,"22,425",12.2,"116,817",63.5,"44,580",24.3
2020,"184,090",100,"22,154",12,"116,768",63.5,"45,168",24.5
2021,"184,577",100,"22,114",12,"116,957",63.4,"45,506",24.7
2022,"185,124",100,"21,794",11.8,"117,596",63.5,"45,734",24.7
,,,,,,,,
資料：市民生活部市民課,,,,,,,,
注1：法改正により2013年から外国人住民を含む。,,,,,,,,
注2：割合については、端数処理のため総数が内訳の合計に一致しない場合がある。,,,,,,,,
