人口動態の推移（月別）,,,,,,,,,,,,,
,,,,,,,,,,,,,
西暦,月,全体の増減数(人）,自然動態増減数（Ａ－Ｂ）（人）,出 生（Ａ）（人）,死 亡（Ｂ）（人）,社会動態増減数（Ｃ－Ｄ）（人）,転入・転出の増減数(人）,転 入（Ｃ）（人）,転 出（Ｄ）（人）,その他の増減数（Ｅ－Ｆ）（人）,その他の増 加（Ｅ）（人）,その他の減 少（Ｆ）（人）,
2018,1,-30,-54,139,193,24,-2,647,649,26,69,43,
2018,2,-34,-60,105,165,26,16,792,776,10,62,52,
2018,3,249,-50,112,162,299,271,"1,916","1,645",28,103,75,
2018,4,305,-33,106,139,338,273,"1,432","1,159",65,137,72,
2018,5,54,10,161,151,44,11,815,804,33,77,44,
2018,6,-11,16,122,106,-27,-93,682,775,66,109,43,
2018,7,280,-10,116,126,290,241,"1,029",788,49,142,93,
2018,8,-27,-21,121,142,-6,-14,793,807,8,87,79,
2018,9,38,3,115,112,35,-37,720,757,72,121,49,
2018,10,181,-10,144,154,191,117,937,820,74,119,45,
2018,11,104,-18,133,151,122,75,765,690,47,84,37,
2018,12,55,-27,102,129,82,77,794,717,5,48,43,
2019,1,-92,-69,121,190,-23,-46,635,681,23,83,60,
2019,2,12,-37,106,143,49,27,789,762,22,53,31,
2019,3,181,-54,106,160,235,172,"1,841","1,669",63,137,74,
2019,4,264,-26,108,134,290,259,"1,397","1,138",31,104,73,
2019,5,85,-11,151,162,96,102,816,714,-6,71,77,
2019,6,-47,3,112,109,-50,-99,633,732,49,104,55,
2019,7,49,-3,137,140,52,-12,825,837,64,121,57,
2019,8,-101,-13,121,134,-88,-68,774,842,-20,70,90,
2019,9,-25,-32,120,152,7,-57,707,764,64,129,65,
2019,10,57,-33,123,156,90,39,786,747,51,101,50,
2019,11,-22,-39,100,139,17,-30,681,711,47,104,57,
2019,12,-93,-44,83,127,-49,-80,708,788,31,94,63,
2020,1,-163,-91,95,186,-72,-109,600,709,37,91,54,
2020,2,-9,-74,78,152,65,-10,775,785,75,110,35,
2020,3,277,-80,97,177,357,310,"1,969","1,659",47,115,68,
2020,4,178,-53,108,161,231,166,"1,240","1,074",65,108,43,
2020,5,-48,-45,97,142,-3,-5,586,591,2,24,22,
2020,6,82,-30,119,149,112,112,748,636,0,39,39,
2020,7,90,-19,114,133,109,113,882,769,-4,32,36,
2020,8,-40,-27,100,127,-13,-9,727,736,-4,44,48,
2020,9,-18,-14,106,120,-4,7,727,720,-11,56,67,
2020,10,121,-51,112,163,172,190,907,717,-18,44,62,
2020,11,29,-76,97,173,105,115,878,763,-10,50,60,
2020,12,-12,-37,113,150,25,26,743,717,-1,68,69,
2021,1,-44,-125,77,202,81,63,681,618,18,57,39,
2021,2,-150,-82,66,148,-68,-57,722,779,-11,21,32,
2021,3,278,-22,111,133,300,335,"1,982","1,647",-35,30,65,
2021,4,319,-16,101,117,335,327,"1,357","1,030",8,42,34,
2021,5,-60,-37,112,149,-23,-12,718,730,-11,23,34,
2021,6,78,-19,118,137,97,111,805,694,-14,20,34,
2021,7,32,-32,115,147,64,65,759,694,-1,45,46,
2021,8,91,-35,109,144,126,115,799,684,11,48,37,
2021,9,-1,-31,105,136,30,36,733,697,-6,35,41,
2021,10,43,-47,99,146,90,87,807,720,3,28,25,
2021,11,-37,-92,91,183,55,54,803,749,1,35,34,
2021,12,-2,-64,95,159,62,79,766,687,-17,39,56,
,,,,,,,,,,,,,
資料：市民生活部市民課,,,,,,,,,,,,,
注：その他の増減中、増加は海外からの転入、帰化等を、また減少は海外への転出、職権消除等を指す。,,,,,,,,,,,,,
