人口動態の推移（年）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
西暦,和暦,全体の増減数(人）,自然動態の増減数（人）,自然動態の出生数（人）,自然動態の死亡数（人）,社会動態の増減数（人）,社会動態の転入・転出の増減数（人）,社会動態の転入（人）,社会動態の転出（人）,社会動態のその他の増減の増減数（人）,社会動態のその他の増減の増加（人）,社会動態のその他の増減の減少（人）,,
1967,昭和35,"1,179",938,"1,158",220,-,241,"7,247","7,006",-,-,-,,
1967,昭和36,"1,694",829,"1,006",177,-,865,"10,272","9,407",-,-,-,,
1967,昭和37,"1,518","1,042","1,235",193,-,476,"9,667","9,191",-,-,-,,
1967,昭和38,"3,431","1,216","1,397",181,-,"2,215","11,083","8,868",-,-,-,,
1967,昭和39,"4,472","1,736","1,914",178,-,"2,736","17,948","15,212",-,-,-,,
1967,昭和40,"3,369","1,946","2,289",343,-,"1,423","16,635","15,212",-,-,-,,
1967,昭和41,"4,590","1,399","1,806",407,-,"3,191","14,295","11,104",-,-,-,,
1967,昭和42,"6,815","2,098","2,472",374,-,"4,717","15,501","10,784",-,-,-,,
1968,昭和43,"3,003","2,169","2,547",378,-,834,"11,991","11,157",-,-,-,,
1969,昭和44,-110,"2,059","2,575",516,-,"-2,169","11,638","13,807",-,-,-,,
1970,昭和45,"1,388","2,091","2,651",560,-,-703,"11,483","12,186",-,-,-,,
1971,昭和46,"11,659","2,368","2,875",507,-,"9,291","22,083","12,792",-,-,-,,
1972,昭和47,"2,914","2,665","3,248",583,-,249,"13,374","13,125",-,-,-,,
1973,昭和48,"2,548","2,631","3,171",540,-83,-436,"12,985","13,421",353,526,173,,
1974,昭和49,"1,464","2,268","2,845",577,-804,"-1,130","11,451","12,581",326,453,127,,
1975,昭和50,"1,717","2,049","2,578",529,-332,-550,"11,610","12,160",218,406,188,,
1976,昭和51,431,"1,719","2,294",575,"-1,288","-1,392","11,042","12,434",104,373,269,,
1977,昭和52,"1,979","1,665","2,236",571,314,330,"11,397","11,067",-16,349,365,,
1978,昭和53,"1,815","1,449","2,096",647,366,205,"12,083","11,878",161,324,163,,
1979,昭和54,995,"1,440","2,075",635,-445,-619,"11,261","11,880",174,425,251,,
1980,昭和55,-118,"1,272","1,923",651,"-1,390","-1,283","10,081","11,364",-107,207,314,,
1981,昭和56,-290,"1,146","1,830",684,"-1,436","-1,252","10,287","11,539",-184,156,340,,
1982,昭和57,497,"1,053","1,713",660,-556,-578,"9,607","10,185",22,249,227,,
1983,昭和58,981,"1,054","1,758",704,-73,11,"10,201","10,190",-84,185,269,,
1984,昭和59,"1,421",918,"1,649",731,503,418,"10,273","9,855",85,366,281,,
1985,昭和60,"1,831",944,"1,597",653,887,911,"10,494","9,583",-24,360,384,,
1986,昭和61,"2,247",880,"1,661",781,"1,367","1,497","11,090","9,593",-130,217,347,,
1987,昭和62,"1,160",825,"1,565",740,335,319,"10,853","10,534",16,205,189,,
1988,昭和63,919,859,"1,598",739,60,38,"10,100","10,062",22,260,238,,
1989,平成元,943,679,"1,495",816,264,593,"11,062","10,469",-329,253,582,,
1990,平成2,232,572,"1,424",852,-340,6,"10,737","10,731",-346,356,702,,
1991,平成3,895,637,"1,475",838,258,213,"10,423","10,210",45,325,280,,
1992,平成4,716,623,"1,516",893,93,112,"11,024","10,912",-19,282,301,,
1993,平成5,38,485,"1,366",881,-447,-427,"10,944","11,371",-20,331,351,,
1994,平成6,910,628,"1,495",867,282,380,"11,730","11,350",-98,325,423,,
1995,平成7,"1,396",417,"1,410",993,979,"1,102","12,562","11,460",-123,306,429,,
1996,平成8,675,622,"1,566",944,53,53,"11,329","11,276",0,333,333,,
1997,平成9,955,551,"1,481",930,404,500,"11,887","11,387",-96,379,475,,
1998,平成10,"1,323",501,"1,537","1,036",822,810,"11,922","11,112",12,396,384,,
1999,平成11,"2,368",427,"1,543","1,116","1,941","1,948","12,583","10,635",-7,397,404,,
2000,平成12,872,449,"1,529","1,080",423,507,"11,363","10,856",-84,361,445,,
2001,平成13,"1,218",394,"1,540","1,146",824,832,"11,562","10,730",-8,453,461,,
2002,平成14,771,429,"1,573","1,144",342,443,"11,128","10,685",-101,445,546,,
2003,平成15,"1,419",348,"1,536","1,188","1,071","1,168","12,028","10,860",-97,454,551,,
2004,平成16,"1,999",348,"1,528","1,180","1,651","1,719","12,023","10,304",-68,552,620,,
2005,平成17,940,257,"1,491","1,234",683,791,"10,523","9,732",-108,704,812,,
2006,平成18,"1,557",294,"1,550","1,256","1,263","1,294","11,231","9,937",-31,531,562,,
2007,平成19,"1,226",259,"1,552","1,293",967,848,"10,738","9,890",119,487,368,,
2008,平成20,"1,145",288,"1,569","1,281",857,745,"10,635","9,890",112,465,353,,
2009,平成21,772,131,"1,469","1,338",641,515,"10,481","9,966",126,580,454,,
2010,平成22,457,114,"1,495","1,381",343,296,"10,013","9,717",47,519,472,,
2011,平成23,268,42,"1,480","1,438",226,79,"9,605","9,526",147,456,309,,
2012,平成24,-308,-46,"1,455","1,501",-262,-330,"9,883","10,213",68,467,399,,
2013,平成25,-213,-149,"1,458","1,607",-64,-97,"10,078","10,175",33,720,687,,
2014,平成26,896,-53,"1,424","1,477",949,767,"10,568","9,801",182,789,607,,
2015,平成27,706,-75,"1,524","1,599",781,545,"10,761","10,216",236,814,578,,
2016,平成28,"1,758",-154,"1,437","1,591","1,912","1,633","11,063","9,430",279,859,580,,
2017,平成29,"1,104",-230,"1,423","1,653","1,334",967,"11,201","10,234",367,"1,006",639,,
2018,平成30,"1,164",-254,"1,476","1,730","1,418",935,"11,322","10,387",483,"1,158",675,,
2019,平成31,268,-358,"1,388","1,746",626,207,"10,592","10,385",419,"1,171",752,,
2020,令和2,487,-597,"1,236","1,833","1,084",906,"10,782","9,876",178,781,603,,
2021,令和3,547,-602,"1,199","1,801","1,149","1,203","10,932","9,729",-54,423,477,,
,,,,,,,,,,,,,,
資料：市民生活部市民課,,,,,,,,,,,,,,
注：その他の増減中、増加は海外からの転入、帰化等を、また減少は海外への転出、職権消除等を指す。,,,,,,,,,,,,,,
