外国人住民の国籍別人口の推移,,,,,,,,,,,
,,,,,,,,,,,各年１月１日現在
西暦,和暦,総数(人）,韓国・朝鮮（人）,中国（人）,アメリカ（人）,イギリス（人）,ブラジル（人）,インド（人）,タイ（人）,フィリピン（人）,その他（人）
1961,昭和36,"1,091",717,282,62,11,-,-,-,3,16
1962,昭和37,"1,086",700,263,88,15,-,-,-,2,18
1963,昭和38,"1,055",667,254,102,22,-,-,-,1,9
1964,昭和39,"1,412",972,263,143,15,-,-,-,9,10
1965,昭和40,"1,459",990,285,149,17,-,-,-,5,13
1966,昭和41,"1,544","1,049",282,181,17,-,-,-,7,8
1967,昭和42,"1,510",977,265,247,6,-,-,-,5,10
1968,昭和43,"1,609","1,061",268,256,3,-,-,-,7,14
1969,昭和44,"1,648","1,076",267,275,4,-,-,-,11,15
1970,昭和45,"1,663","1,094",244,298,4,-,-,-,8,15
1971,昭和46,"1,602","1,102",244,226,-,-,-,-,4,26
1972,昭和47,"1,628","1,158",225,214,2,-,-,-,1,28
1973,昭和48,"1,588","1,145",162,190,2,-,-,-,6,83
1974,昭和49,"1,504",・・・,・・・,・・・,・・・,-,-,-,・・・,・・・
1975,昭和50,"1,544","1,163",125,175,1,-,-,-,11,69
1976,昭和51,"1,559",・・・,・・・,・・・,・・・,-,-,-,・・・,・・・
1977,昭和52,"1,547","1,168",147,185,3,-,-,-,4,40
1978,昭和53,"1,513","1,158",143,163,4,-,-,-,6,39
1979,昭和54,"1,471","1,170",125,122,2,-,-,-,4,48
1980,昭和55,"1,497","1,216",117,107,4,-,-,-,12,41
1981,昭和56,"1,409","1,140",107,103,7,-,-,-,11,41
1982,昭和57,"1,382","1,120",120,94,9,-,-,-,8,31
1983,昭和58,"1,339","1,064",117,103,10,-,-,-,14,31
1984,昭和59,"1,357","1,068",127,115,11,-,-,-,5,31
1985,昭和60,"1,353","1,067",131,111,10,-,-,-,9,25
1986,昭和61,"1,340","1,004",136,122,10,-,-,-,30,38
1987,昭和62,"1,345",993,149,111,10,-,-,-,39,43
1988,昭和63,"1,367",962,185,84,9,-,-,-,80,47
1989,昭和64,"1,442",916,248,78,9,-,-,-,130,61
1990,平成2,"1,636",943,290,88,10,-,-,-,137,168
1991,平成3,"1,769",937,315,94,10,-,-,-,206,207
1992,平成4,"2,129",985,356,121,10,-,-,-,341,316
1993,平成5,"2,145",941,463,101,11,-,-,-,272,357
1994,平成6,"2,231",922,518,90,12,-,-,-,273,416
1995,平成7,"2,310",946,554,108,8,-,-,-,316,378
1996,平成8,"2,265",950,568,113,11,-,-,-,241,382
1997,平成9,"2,327",916,590,121,10,-,-,-,265,425
1998,平成10,"2,411",907,636,126,9,-,-,-,279,454
1999,平成11,"2,483",910,709,103,8,-,-,-,319,434
2000,平成12,"2,590",943,783,115,8,-,-,-,319,422
2001,平成13,"2,784",946,889,128,15,-,-,-,358,448
2002,平成14,"3,001",945,"1,023",126,16,-,-,-,423,468
2003,平成15,"3,003",949,"1,101",132,17,-,-,-,335,469
2004,平成16,"3,235",935,"1,267",127,21,156,26,32,385,286
2005,平成17,"3,304",942,"1,313",125,22,149,21,35,382,315
2006,平成18,"3,253",927,"1,356",121,24,134,23,33,329,306
2007,平成19,"3,280",941,"1,427",124,21,113,32,35,310,277
2008,平成20,"3,423",987,"1,494",127,21,111,54,31,317,281
2009,平成21,"3,576",985,"1,564",131,23,134,50,32,333,324
2010,平成22,"3,685","1,000","1,666",122,16,160,51,30,330,310
2011,平成23,"3,622",982,"1,668",122,20,139,48,29,312,302
2012,平成24,"3,504",919,"1,619",124,17,124,54,40,310,297
2013,平成25,"3,294",846,"1,487",116,19,117,65,36,300,308
2014,平成26,"3,197",792,"1,497",111,17,85,59,38,295,303
2015,平成27,"3,298",792,"1,556",109,17,67,65,41,307,344
2016,平成28,"3,563",796,"1,658",133,19,68,65,45,317,462
2017,平成29,"3,859",826,"1,761",140,23,63,53,52,331,610
2018,平成30,"4,114",838,"1,879",122,29,69,57,49,380,691
2019,平成31,"4,374",858,"2,046",130,32,72,47,51,396,742
2020,令和2,"4,598",861,"2,138",139,32,76,50,42,404,856
2021,令和3,"4,650",846,"2,073",145,28,68,43,45,398,"1,004"
2022,令和4,4723,820,2081,144,27,71,38,46,379,1117
,,,,,,,,,,,
資料：市民生活部市民課,,,,,,,,,,,
注1：2012年7月8日までは外国人登録制度による国籍別外国人登録者数。,,,,,,,,,,,
注2：2012年7月9日からは住民基本台帳制度による外国人住民の国籍別人口。,,,,,,,,,,,
注3：「その他」には無国籍を含む。,,,,,,,,,,,
