"年度","区分","胃がん検診 35歳以上の人[人]","子宮頸がん検診 20歳以上の女性[人]","肺がん検診 40歳以上の人[人]","乳がん検診 30歳以上の女性[人]","乳がん検診(視触診) 30～39歳の女性[人]","乳がん検診(マンモ検査) 40歳以上の女性[人]","大腸がん検診 35歳以上の人[人]","喉頭がん検診 40歳以上の人[人]","前立腺がん検診 55歳から75歳奇数年齢男性[人]"
"2015","受診者","20254","20340","27083","22745",,,"30193","4353","2850"
"2015","要精密","1605","592","842","580",,,"2124","66","228"
"2015","がんであった人","6","9","13","17",,,"32","1","10"
"2016","受診者","19083","19646","26948",,"4291","9837","29318","4207","2741"
"2016","要精密","1349","446","867",,"229","1077","2038","42","224"
"2016","がんであった人","12","12","11",,"0","22","32","0","10"
"2017","受診者","18906","19148","27650",,"3673","8498","29324","4226","2677"
"2017","要精密","1347","390","864",,"119","937","1987","45","215"
"2017","がんであった人","8","8","13",,"0","33","32","0","12"
"2018","受診者","18920","18942","27987",,"3536","9546","29112","4456","2750"
"2018","要精密","1273","390","1038",,"111","987","2040","42","243"
"2018","がんであった人","24","10","12",,"1","44","61","0","9"
"2019","受診者","18388","18522","28190",,"3019","8966","29030","4400","2755"

"令和2年度港区行政資料集　がん検診","Ver202003",,,,,,,,,
