,,,,施設利用料（税込/円）,施設利用料（税込/円）,施設利用料（税込/円）,施設利用料（税込/円）,施設利用料（税込/円）,施設利用料（税込/円）,
,区分,,,全日,税抜価格,消費税,半日,税抜価格,消費税,備考
,,教室,301,16280,14800,1480,8140,7400,740,
,,教室,302,16500,15000,1500,8250,7500,750,
,,教室,303,4840,4400,440,2420,2200,220,
,,教室,304,5500,5000,500,2750,2500,250,
,,教室,305,4510,4100,410,2200,2000,200,
,,教室,306,5500,5000,500,2750,2500,250,
,,教室,307,4510,4100,410,2200,2000,200,
,,教室,308,5280,4800,480,2640,2400,240,
,,教室,102,4950,4500,450,2420,2200,220,
,,教室,103,4950,4500,450,2420,2200,220,
,,教室,104,4730,4300,430,2310,2100,210,
,,教室,B101,5170,4700,470,2530,2300,230,
1,,実習施設,水質分析室,9130,8300,830,4510,4100,410,
2,,実習施設,電気実習室,90090,81900,8190,44990,40900,4090,
3,,実習施設,機械実習室,40700,37000,3700,20350,18500,1850,
4,,実習施設,切管・溶接実習室,9020,8200,820,4510,4100,410,
5,,実習施設,大口径配管実習施設Ａ4レーン使用,44440,40400,4040,22220,20200,2020,
5,,実習施設,大口径配管実習施設Ａ３レーン使用,41140,37400,3740,20570,18700,1870,
5,,実習施設,大口径配管実習施設Ａ2レーン使用,37840,34400,3440,18920,17200,1720,
5,,実習施設,大口径配管実習施設Ａ1レーン使用,34650,31500,3150,17270,15700,1570,
5,,実習施設,大口径配管実習施設Ｂ4レーン使用,10120,9200,920,5060,4600,460,
5,,実習施設,大口径配管実習施設Ｂ３レーン使用,9570,8700,870,4730,4300,430,
5,,実習施設,大口径配管実習施設Ｂ2レーン使用,9020,8200,820,4510,4100,410,
5,,実習施設,大口径配管実習施設Ｂ1レーン使用,8360,7600,760,4180,3800,380,
6,,実習施設,小口径配管実習施設Ａ,4730,4300,430,2310,2100,210,
6,,実習施設,小口径配管実習施設Ｂ4レーン使用,18920,17200,1720,9460,8600,860,
6,,実習施設,小口径配管実習施設Ｂ３レーン使用,17600,16000,1600,8800,8000,800,
6,,実習施設,小口径配管実習施設Ｂ2レーン使用,16280,14800,1480,8140,7400,740,
6,,実習施設,小口径配管実習施設Ｂ1レーン使用,14960,13600,1360,7480,6800,680,
7,,実習施設,フィールド施設,下表のとおり,下表のとおり,下表のとおり,下表のとおり,下表のとおり,下表のとおり,
8,,実習施設,浄水処理実習プラント,110110,100100,10010,55000,50000,5000,
7,1,フィールド施設,漏水防止研修等実施エリア,49170,44700,4470,24530,22300,2230,
7,2,フィールド施設,舗装種別毎漏水探知実習エリア,47850,43500,4350,23870,21700,2170,
7,3A,フィールド施設,模擬漏水実習エリア,14080,12800,1280,7040,6400,640,
7,3B,フィールド施設,バルブエリア,25300,23000,2300,12650,11500,1150,
7,4,フィールド施設,給水管布設等実施エリア,14080,12800,1280,7040,6400,640,
7,5,フィールド施設,メータ取替実習エリア,10890,9900,990,5390,4900,490,
,6,フィールド施設,コンクリート擁壁モデル,2420,2200,220,1210,1100,110,
,7,フィールド施設,土留・覆工・吊受防護等モデル,10120,9200,920,5060,4600,460,
,8,フィールド施設,舗装種別カットモデル,5060,4600,460,2530,2300,230,
7,9,フィールド施設,減圧弁エリア,2640,2400,240,1320,1200,120,
7,10,フィールド施設,栓止エリア,1870,1700,170,880,800,80,
,,実習施設・フィールド施設利用時追加料金,研修終了時立会・点検,5104,4640,464,,,,
,,ロッカー利用料（個/円）,,44,40,4,22,20,2,
,,,,,,,,,,"※1～8の施設それぞれに適用（例：電気実習室と機械実習室を御利用の場合は税抜９,280円の料金が発生します）"
