Ｎｏ,区分番号,大区分名称,中区分名称,対策概要,実施年度,推計削減量(t)(一年度当たり）
1,360700,ポンプ、ファン、ブロワー、コンプレッサー等,36_電気の動力・熱等への変換の合理化に関する措置,製造次亜から購入次亜への転換,26以前,1435
2,360700,ポンプ、ファン、ブロワー、コンプレッサー等,36_電気の動力・熱等への変換の合理化に関する措置,洗浄排水ポンプのVVVF化,26以前,136
3,360700,ポンプ、ファン、ブロワー、コンプレッサー等,36_電気の動力・熱等への変換の合理化に関する措置,次亜注入方式の変更による削減,26以前,315
4,310400,一般管理事項,31_エネルギー使用量の管理,高度浄水ポンプ井の圧力渠水位高による運用,26以前,248
5,490200,その他,49_その他の削減対策,フラッシュミキサ停止による運用,26以前,124
6,310400,一般管理事項,31_エネルギー使用量の管理,場内給水ポンプ１台による運用,26以前,175
7,330200,空気調和設備・換気設備,33_加熱及び冷却並びに伝熱の合理化に関する措置,空気調和設備の定期的な保守および点検の実施,26以前,
8,380700,照明設備,38_電気の動力・熱等への変換の合理化に関する措置,誘導灯のLED化,26以前,9
9,310100,一般管理事項,31_推進体制の整備,地球温暖化対策に関する推進組織の整備,26以前,
10,330200,空気調和設備・換気設備,33_加熱及び冷却並びに伝熱の合理化に関する措置,空気調和設備の室外機にミスト噴射装置を取り付ける。,26以前,
11,490200,その他,49_その他の削減対策,北部送水サンプリングポンプ運用停止による省エネ,26以前,19
12,380700,照明設備,38_電気の動力・熱等への変換の合理化に関する措置,照明設備の効率化による省エネ,27,1
13,380700,照明設備,38_電気の動力・熱等への変換の合理化に関する措置,屋外灯(薬品統合管理所)のLED化,28,2
14,380700,照明設備,38_電気の動力・熱等への変換の合理化に関する措置,送水ポンプ所照明設備の高効率化による省エネ,29,18
15,380700,照明設備,38_電気の動力・熱等への変換の合理化に関する措置,屋外灯(2群沈澱池)のLED化,29,2
