料金区分,基本料金旧料金（円）,基本料金新料金（円）,基本料金増減額（円）,従量料金1～5m3（1m3につき）旧料金（円）,従量料金1～5m3（1m132につき）新料金（円）,従量料金1～5m3（1m133につき）増減額（円）,従量料金6～10m3（1m3につき）旧料金（円）,従量料金6～10m3（1m132につき）新料金（円）,従量料金6～10m3（1m133につき）増減額（円）,従量料金11～20m3（1m3につき）旧料金（円）,従量料金11～20m3（1m132につき）新料金（円）,従量料金11～20m3（1m133につき）増減額（円）,従量料金21～30m3（1m3につき）旧料金（円）,従量料金21～30m3（1m132につき）新料金（円）,従量料金21～30m3（1m133につき）増減額（円）,従量料金31～50m3（1m3につき）旧料金（円）,従量料金31～50m3（1m132につき）新料金（円）,従量料金31～50m3（1m133につき）増減額（円）,従量料金51～100m3（1m3につき）旧料金（円）,従量料金51～100m3（1m132につき）新料金（円）,従量料金51～100m3（1m133につき）増減額（円）,従量料金101～200m3（1m3につき）旧料金（円）,従量料金101～200m3（1m132につき）新料金（円）,従量料金101～200m3（1m133につき）増減額（円）,"従量料金201～1,000m3（1m3につき）旧料金（円）","従量料金201～1,000m3（1m132につき）新料金（円）","従量料金201～1,000m3（1m133につき）増減額（円）","従量料金1,001m3～（1m3につき）旧料金（円）","従量料金1,001m3～（1m132につき）新料金（円）","従量料金1,001m3～（1m133につき）増減額（円）",備考
一般用13mm,920,860,-60,0,0,0,0,22,22,130,128,-2,175,163,-12,215,202,-13,215,213,-2,300,298,-2,375,372,-3,415,404,-11,
一般用20mm,1230,1170,-60,0,0,0,0,22,22,130,128,-2,175,163,-12,215,202,-13,215,213,-2,300,298,-2,375,372,-3,415,404,-11,
一般用25mm,1520,1460,-60,0,0,0,0,22,22,130,128,-2,175,163,-12,215,202,-13,215,213,-2,300,298,-2,375,372,-3,415,404,-11,
一般用30mm,3420,3435,15,215,213,-2,215,213,-2,215,213,-2,215,213,-2,215,213,-2,215,213,-2,300,298,-2,375,372,-3,415,404,-11,
一般用40mm,6850,6865,15,215,213,-2,215,213,-2,215,213,-2,215,213,-2,215,213,-2,215,213,-2,300,298,-2,375,372,-3,415,404,-11,
一般用50mm,20700,20720,20,375,372,-3,375,372,-3,375,372,-3,375,372,-3,375,372,-3,375,372,-3,375,372,-3,375,372,-3,415,404,-11,
一般用75mm,45600,45623,23,375,372,-3,375,372,-3,375,372,-3,375,372,-3,375,372,-3,375,372,-3,375,372,-3,375,372,-3,415,404,-11,
一般用100mm,94500,94568,68,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,
一般用150mm,159000,159094,94,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,
一般用200mm,342000,349434,7434,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,
一般用250mm,468000,480135,12135,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,
一般用300mm～,798000,816145,18145,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,415,404,-11,
公衆浴場用一般用に同じ,,,,0,0,0,0,22,22,110,109,-1,110,109,-1,110,109,-1,110,109,-1,110,109,-1,110,109,-1,110,109,-1,
公衆浴場用40mm以上,6850,6865,,0,0,0,0,22,22,110,109,-1,110,109,-1,110,109,-1,110,109,-1,110,109,-1,110,109,-1,110,109,-1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,※水道料金は、基本料金と従量料金との合計額に100分の105を乗じて得た金額です。
