指標,実績／26年度(単位：％）,到達目標／32年度(単位：％）,指標の説明,10年後※／37年度(単位：％）
安定10年に1回程度発生する規模の渇水に対応する水源確保率,93,100,目標とする水源量のうち確保した水源量の割合,－
安定事故時の安定給水確保率,78,83,計画一日最大配水量（12時間分）に対する配水区域を持つ浄水場・給水所の配水池容量の割合,89
高品質直結給水率,70,73,給水件数に対する直結給水件数の割合,75
様々な脅威への備え配水池耐震施設率,70,89,配水池容量のうち耐震強化した配水池容量の割合,99
様々な脅威への備え配水管の耐震継手率首都中枢・救急医療機関等,77,100(H31),供給ルートの管路延長のうち耐震継手化した管路延長の割合,－
様々な脅威への備え配水管の耐震継手率大規模救出救助活動拠点等,43,100(H31),供給ルートの管路延長のうち耐震継手化した管路延長の割合,－
様々な脅威への備え配水管の耐震継手率避難所中学校,36,100(H31),供給ルートの管路延長のうち耐震継手化した管路延長の割合,－
様々な脅威への備え配水管の耐震継手率避難所小学校,38,78,供給ルートの管路延長のうち耐震継手化した管路延長の割合,100(H34)
様々な脅威への備え配水管の耐震継手率避難所大学・高等学校・公民館等,36,36,供給ルートの管路延長のうち耐震継手化した管路延長の割合,100
様々な脅威への備え配水管の耐震継手率主要な駅一日当たりの乗車人数（20万人超）,41,100(H31),供給ルートの管路延長のうち耐震継手化した管路延長の割合,－
様々な脅威への備え配水管の耐震継手率主要な駅一日当たりの乗車人数（10万人超20万人以下）,44,78,供給ルートの管路延長のうち耐震継手化した管路延長の割合,100(H34)
様々な脅威への備え配水管の耐震継手率東京2020オリンピック・パラリンピック競技会場等,60,100(H31),供給ルートの管路延長のうち耐震継手化した管路延長の割合,－
様々な脅威への備え避難所・主要な駅の給水管耐震化率,44,100(H31),避難所・主要な駅のうち耐震化した施設の割合,－
様々な脅威への備え私道内給水管耐震化率,38,59,私道内給水管整備事業の対象延長に対する耐震化延長の割合,85
様々な脅威への備え大規模停電時における給水確保率,61,97,大規模停電時における給水見込量に対する給水確保量の割合,100(H33)
様々な脅威への備え想定される浸水への対策達成率,0,100(H28),浸水対策が必要な施設のうち浸水対策が完了した施設の割合,－
