,事務委託廃止・業務移行時期,事務委託廃止・業務移行時期,事務委託廃止・業務移行時期
区分,徴収系業務,給水装置系業務,施設管理系業務
武蔵村山市,16.3.31,18.3.31,17.3.31
多摩市,16.3.31,21.3.31,21.3.31
瑞穂町,17.3.31,17.3.31,17.3.31
府中市,18.3.31,18.3.31,21.3.31
小平市,18.3.31,18.3.31,21.3.31
東大和市,18.3.31,18.3.31,19.3.31
東久留米市,18.3.31,19.3.31,20.3.31
小金井市,19.3.31,19.3.31,24.3.31
日野市,19.3.31,19.3.31,21.3.31
東村山市,19.3.31,20.3.31,21.3.31
狛江市,19.3.31,22.3.31,20.3.31
清瀬市,19.3.31,19.3.31,21.3.31
あきる野市,19.3.31,19.3.31,22.3.31
西東京市,19.3.31,20.3.31,21.3.31
日の出町,19.3.31,19.3.31,22.3.31
八王子市,20.3.31,20.3.31,24.3.31
立川市,20.3.31,20.3.31,22.3.31
町田市,20.3.31,21.3.31,24.3.31
国分寺市,20.3.31,20.3.31,22.3.31
福生市,20.3.31,20.3.31,22.3.31
青梅市,21.3.31,22.3.31,24.3.31
調布市,21.3.31,21.3.31,22.3.31
国立市,21.3.31,21.3.31,22.3.31
三鷹市,23.3.31,24.3.31,24.3.31
稲城市,23.3.31,24.3.31,24.3.31
