Ｎｏ,区分番号,大区分名称,中区分名称,対策概要,実施年度,推計削減量(t)(一年度当たり）
1,330200,空気調和設備・換気設備,33_加熱及び冷却並びに伝熱の合理化に関する措置,（村山山口貯水池管理事務所）／冷暖房温度の設定・変更(第二計画期間も継続運用),26以前,
2,330200,空気調和設備・換気設備,33_加熱及び冷却並びに伝熱の合理化に関する措置,（村山山口貯水池管理事務所）／ブラインドやカーテンの適正利用(第二計画期間も継続運用),26以前,
3,330200,空気調和設備・換気設備,33_加熱及び冷却並びに伝熱の合理化に関する措置,（村山山口貯水池管理事務所）／空気調和設備の定期的な保守及び点検の実施(第二計画期間も継続運用),26以前,
4,410700,事務用機器,41_電気の動力・熱等への変換の合理化に関する措置,（村山山口貯水池管理事務所）／不要時に事務用機器の電源を切る。(第二計画期間も継続運用),26以前,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
