ID,住所（都道府県名）,住所（市区町村名）,住所（それ以降の住所）,設置者・運営会社,緯度,経度,拠点名,カテゴリ,駐車料金,営業時間,定休日,使用可否,使用可否でその他の場合,充電器数（充電器台数合計）,充電器数（使用できない台数）,充電器数（急速充電器数）,"充電器数（普通（200V）
充電器数）","充電器数（普通（100V）
充電器数）",利用料金（急速充電器料金）,利用料金（普通充電器200V料金）,利用料金（普通充電器100V料金）,現地調査_利用制限（急速充電器）,現地調査_利用制限（普通充電器）,型式（急速充電器）,型式（普通（200V）充電器）,型式（普通（100V）充電器）,設置年数,充電規格（急速充電器）,急速充電器コネクタ数（1台あたり）,普通充電器200Vコネクタ数（1台あたり）,普通充電器100Vコネクタ数（1台あたり）,出力（急速充電器）,出力（普通（200V）充電器）,出力（普通（100V）充電器）,メーカー（急速充電器）,メーカー（普通（200V/）充電器）,メーカー（普通（100V）充電器）,周辺情報,周辺看板の有無,周知箇所（敷地外）,周知箇所（敷地入口・入口付近）,周知箇所（敷地内・敷地内誘導看板）,周知箇所（機器周辺）,駐車スペースの制限,その他の制限
374,東京都,世田谷区,千歳台3-19-22,トヨタモビリティ東京株式会社,35.65268,139.615501,トヨタモビリティ東京 成城店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,衣料用品店,あり,0,1,0,0,情報無し,情報無し
375,東京都,世田谷区,等々力2-2-2,トヨタモビリティ東京株式会社,35.604151,139.651639,トヨタモビリティ東京 尾山台店,ディーラー,無料,10:00～18:00,火曜日,可,,2,0,0,2,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,EVH１/TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,【豊田自動織機】200V/16A／【株式会社豊田自動織機・日東工業株式会社】200V/20A,設備無し,設備無し,株式会社豊田自動織機・日東工業株式会社,設備無し,コンビニエンスストア、スーパー、飲食店,なし,0,0,0,0,情報無し,情報無し
376,東京都,世田谷区,用賀2-2-2,トヨタモビリティ東京株式会社,35.625767,139.640956,トヨタモビリティ東京 世田谷用賀店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,公園、飲食店,なし,0,0,0,0,情報無し,情報無し
377,東京都,清瀬市,元町2-1-7,トヨタモビリティ東京株式会社,35.776163,139.518143,トヨタモビリティ東京 清瀬店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア,あり,0,1,0,1,情報無し,情報無し
378,東京都,西多摩郡瑞穂町,殿ケ谷811-1,トヨタ西東京カローラ株式会社,35.762708,139.359005,トヨタ西東京カローラ瑞穂店,ディーラー,無料,10:00～18:30,火曜日、第二水曜日,可,,1,0,0,1,0,設備無し,カードのプランにより異なるためカード発行元に確認,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、スーパー、飲食店,あり,0,1,0,0,情報無し,情報無し
379,東京都,西東京市,田無町5-6-16,トヨタモビリティ東京株式会社,35.732332,139.536723,トヨタモビリティ東京 田無西原町店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,スーパー、飲食店,あり,0,1,0,0,情報無し,情報無し
380,東京都,西東京市,芝久保町5-5-36,トヨタモビリティ東京株式会社,35.734623,139.527633,トヨタモビリティ東京 田無芝久保店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,ホームセンター,なし,0,0,0,0,情報無し,情報無し
381,東京都,西東京市,田無町7-19-29,トヨタモビリティ東京株式会社,35.732345,139.534643,トヨタモビリティ東京 Ｕ－Ｃａｒ西東京店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,飲食店,あり,0,1,0,0,情報無し,情報無し
382,東京都,西東京市,保谷町3-17-29,トヨタモビリティ東京株式会社,35.731788,139.552445,トヨタモビリティ東京 保谷本町店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,カードのプランにより異なるためカード発行元に確認,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,飲食店,あり,0,1,0,0,情報無し,情報無し
383,東京都,青梅市,新町4-30-8,トヨタモビリティ東京株式会社,35.785857,139.308367,トヨタモビリティ東京 青梅新町店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,飲食店、ドラッグストア,あり,0,1,0,0,情報無し,情報無し
384,東京都,青梅市,東青梅5-12-1,トヨタモビリティ東京株式会社,35.788693,139.281087,トヨタモビリティ東京 青梅東店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、飲食店,あり,0,1,0,0,情報無し,情報無し
385,東京都,青梅市,東青梅5-16-2,トヨタ西東京カローラ株式会社,35.788844,139.279306,トヨタ西東京カローラ青梅店,ディーラー,無料,10:00～18:30,火曜日、第二水曜日,可,,1,0,0,1,0,設備無し,カードのプランにより異なるためカード発行元に確認,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、飲食店,あり,0,1,0,0,情報無し,情報無し
386,東京都,青梅市,今井3-1-8,ネッツトヨタ多摩株式会社,35.795572,139.308627,ネッツトヨタ多摩藤橋店,ディーラー,無料,10:00～18:45,火曜日、一部水曜日,可,,1,0,0,1,0,設備無し,カードのプランにより異なるためカード発行元に確認,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、大型電気店、飲食店,あり,0,1,0,0,情報無し,情報無し
387,東京都,足立区,新田2-4-3,トヨタモビリティ東京株式会社,35.77296,139.739948,トヨタモビリティ東京 鹿浜橋店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア,あり,0,1,0,0,情報無し,情報無し
388,東京都,足立区,西新井6-4-8,トヨタモビリティ東京株式会社,35.778354,139.77626,トヨタモビリティ東京 西新井店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,飲食店,あり,0,1,0,0,情報無し,情報無し
389,東京都,足立区,扇2-27-33,トヨタモビリティ東京株式会社,35.766509,139.770574,トヨタモビリティ東京 扇大橋店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、公園、飲食店、衣料品店,なし,0,0,0,0,情報無し,情報無し
390,東京都,足立区,谷中2-8-6,トヨタモビリティ東京株式会社,35.777127,139.832966,トヨタモビリティ東京 足立北綾瀬店,ディーラー,無料,10:00～18:00,火曜日,可,,2,0,0,2,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D／（Panasonicは型式不明）,設備無し,5年（リース開始日28年）,なし,0,1,0,設備無し,【豊田自動織機】200V/16A／（Panasonic20A/250V/AC）,設備無し,設備無し,"株式会社豊田自動織機
（Panasonic）",設備無し,コンビニエンスストア、飲食店,あり,0,1,1,0,情報無し,情報無し
391,東京都,足立区,東六月町5-10,ネッツトヨタ東都株式会社,35.788769,139.803302,ネッツトヨタ東都ネッツタワー足立,ディーラー,無料,10:00～18:00,月曜日,可,,2,0,0,2,0,設備無し,カードのプランにより異なるためカード発行元に確認,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,【豊田自動織機】200V/16A／（Panasonic20A/250V/AC）,設備無し,設備無し,"株式会社豊田自動織機
（Panasonic）",設備無し,公園,あり,0,1,0,1,情報無し,情報無し
392,東京都,足立区,入谷7-9-14,トヨタモビリティ東京株式会社,35.803184,139.759733,トヨタモビリティ東京 足立入谷店,ディーラー,無料,10:00～18:00,火曜日,可,,2,0,0,2,0,設備無し,不明,設備無し,設備無し,現地特記事項無し,設備無し,EVH1／TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/20A【日東】／200V/50・60Hz/16A【豊田自動織機】,設備無し,設備無し,日東工業株式会社/株式会社豊田自動織機,設備無し,コンビニエンスストア、公園,あり,0,1,0,0,情報無し,情報無し
393,東京都,足立区,保木間2-1-3,トヨタモビリティ東京株式会社,35.793137,139.802713,トヨタモビリティ東京 竹の塚店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,公園、リサイクルショップ、紳士服用品店,あり,0,1,0,0,情報無し,情報無し
394,東京都,足立区,六月1-22-19,トヨタモビリティ東京株式会社,35.786818,139.802373,トヨタモビリティ東京 足立竹の塚店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,不明,設備無し,設備無し,現地特記事項無し,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,日東工業株式会社,設備無し,コンビニエンスストア、公園,あり,0,1,0,0,情報無し,情報無し
395,東京都,多摩市,永山1-2-1,トヨタモビリティ東京株式会社,35.63227,139.447698,トヨタモビリティ東京 多摩永山店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,不明,設備無し,設備無し,現地特記事項無し,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、ボーリング場、健康ランド、パチンコ店,あり,0,1,0,0,情報無し,情報無し
396,東京都,多摩市,関戸5-8-1,トヨタモビリティ東京株式会社,35.642793,139.451654,トヨタモビリティ東京 桜ヶ丘店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,飲食店、バイク用品店,あり,0,1,0,0,情報無し,情報無し
397,東京都,台東区,竜泉1-11-4,トヨタモビリティ東京株式会社,35.723131,139.786639,トヨタモビリティ東京 台東店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,公園,あり,0,1,0,0,情報無し,情報無し
398,東京都,大田区,蒲田本町2-29-8,トヨタモビリティ東京株式会社,35.556384,139.720573,トヨタモビリティ東京 蒲田本町店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,PHVDrliveSupport会員は1時間無料 他は1時間500円,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア,なし,0,0,0,0,情報無し,情報無し
399,東京都,大田区,池上8-20-1,トヨタモビリティ東京株式会社,35.567817,139.696519,トヨタモビリティ東京 池上第二京浜店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,EVC1-IC,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,日東工業株式会社,設備無し,コンビニエンスストア、スーパー、公園、ホームセンター,あり,0,1,0,0,情報無し,情報無し
400,東京都,大田区,仲六郷1-50-8,トヨタモビリティ東京株式会社,35.552323,139.717647,トヨタモビリティ東京 蒲田仲六郷南店,ディーラー,無料,10:00～18:00,火曜日,可,,2,0,0,2,0,設備無し,カードのプランにより異なるためカード発行元に確認,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,WK4322／TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,【豊田自動織機】200V/16A／（Panasonic20A/250V/AC）,設備無し,設備無し,"株式会社豊田自動織機
（Panasonic）",設備無し,コンビニエンスストア,あり,0,1,0,0,情報無し,情報無し
401,東京都,大田区,東馬込2-19-1,トヨタモビリティ東京株式会社,35.59315,139.716309,トヨタモビリティ東京 大田店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,不明,設備無し,設備無し,現地特記事項無し,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,スーパー、飲食店,あり,0,1,0,0,情報無し,情報無し
402,東京都,大田区,東嶺町32-2,トヨタモビリティ東京株式会社,35.580079,139.682859,トヨタモビリティ東京 久が原店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア,あり,0,1,0,0,情報無し,情報無し
403,東京都,大田区,北馬込1-8-3,トヨタモビリティ東京株式会社,35.600066,139.702565,トヨタモビリティ東京 馬込環七通り店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、公園,なし,0,0,0,0,情報無し,情報無し
404,東京都,中央区,勝どき2-17-10,トヨタモビリティ東京株式会社,35.657357,139.777999,トヨタモビリティ東京 中央勝どき店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,会員カードをお持ちの方はプランによる,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,5年,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア,あり,0,0,0,1,情報無し,情報無し
405,東京都,中央区,晴海1-8-1,トヨタモビリティ東京株式会社,35.658475,139.782642,トヨタモビリティ東京 中央晴海店,ディーラー,無料,平日9:30～18:00、土曜日・日曜日・祝日10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,10年以上,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、スーパー、公園,あり,0,1,0,0,情報無し,情報無し
406,東京都,中野区,新井2-47-2,トヨタモビリティ東京株式会社,35.710094,139.66103,トヨタモビリティ東京 中野新井店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、公園、飲食店,あり,0,1,0,0,情報無し,情報無し
407,東京都,中野区,中央2-49-1,トヨタモビリティ東京株式会社,35.697821,139.676056,トヨタモビリティ東京 中野坂上店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,5年（リース開始日28年）,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア,あり,0,1,0,0,情報無し,情報無し
408,東京都,町田市,金井ヶ丘2-23-21,トヨタモビリティ東京株式会社,35.572354,139.463009,トヨタモビリティ東京 町田金井店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,会員カードをお持ちの方はプランによる,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、飲食店、ガソリンスタンド,あり,0,1,0,0,情報無し,情報無し
409,東京都,町田市,小山ヶ丘2-2-10,トヨタモビリティ東京株式会社,35.602734,139.374192,トヨタモビリティ東京 多摩境店,ディーラー,無料,10:00～18:00,火曜日,可,,1,0,0,1,0,設備無し,1時間550円/ＰHV充電サポート・NCS会員は契約料金,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,スーパー、ホームセンター,なし,0,0,0,0,情報無し,情報無し
410,東京都,町田市,小山町776-4,トヨタ西東京カローラ株式会社,35.591876,139.380821,トヨタ西東京カローラ町田小山店,ディーラー,無料,10:00～18:30,火曜日、第二水曜日,可,,1,0,0,1,0,設備無し,カードのプランにより異なるためカード発行元に確認,設備無し,設備無し,最大利用時間1時間／利用時にはスタッフまで,設備無し,TI-GSEV2D,設備無し,不明,なし,0,1,0,設備無し,200V/16A,設備無し,設備無し,株式会社豊田自動織機,設備無し,コンビニエンスストア、ドラッグストア、コインランドリー、衣料用品店,あり,0,1,0,0,情報無し,情報無し
