市民スポーツ施設及び施設内AED配置場所一覧,,,,
施設名,電話番号,所在地,施設種別,AED配置場所
調布市総合体育館,042-481-6221,深大寺北町2-1-65,屋内(大体育室1室、小体育室1室、25メートルプール、トレーニング室、ランニングコース、会議室2室),地下1階プール受付
市民西調布体育館,042-481-2400,上石原2-4-1,屋内(体育室2室、ミーティングルーム1室),ロビー
市民西町野球場,080-2119-4506,西町290-3(都立武蔵野の森公園内),屋外(軟式野球場1面),最寄の配置(西町少年野球場管理事務所)
市民西町少年野球場,080-2119-4506,西町290-3(都立武蔵野の森公園内),屋外(少年野球場2面),西町少年野球場管理事務所
市民西町サッカー場,080-2119-4506,西町290-3(都立武蔵野の森公園内),屋外(人工芝サッカー場1面),サッカー場内倉庫
市民野球場,042-485-2689,染地2-43-1,屋外(軟式野球場1面),最寄りの配置(市民プール1階事務所)
市民プール,042-485-2689,染地2-43-1,屋外(50メートル8コースプール１・25メートル6コースプール１・変形プール１・幼児用プール1),市民プール1階事務所
市民多摩川テニスコート,042-485-2689,染地2-43-1,屋外(砂入り人工芝テニスコート4面),テニスコートクラブハウス
市民深大寺テニスコート,042-441-1185,深大寺北町4-4-3,屋外(砂入り人工芝テニスコート2面、クレイテニスコート1面),管理事務所
市民緑ヶ丘テニスコート,03-5384-0523,緑ヶ丘2-63-1,屋外(砂入り人工芝テニスコート3面),クラブハウスロビー
市民大町スポーツ施設,042-442-6020,菊野台3-27-40,屋外(大運動場1面、砂入り人工芝テニスコート2面)屋内(体育館1館、会議室1室),管理棟受付、体育館
調布基地跡地運動広場,042-481-4390,西町290-3ほか,屋外(野球場5面、少年野球場3面、ソフトボール場1面、サッカー場2面、少年サッカー場1面),管理棟事務所前、E2バックスクリーン、E5・E6間簡易トイレ横
多摩川児童公園内運動施設,042-486-5242,多摩川3-75先,屋外(少年野球場5面、ソフトボール場2面、サッカー場1面),管理事務所、少年野球場2面・3面間の東屋(日中のみ)
