"年度","区分","自立訓練(機能訓練) 30歳以下[人]","自立訓練(機能訓練) 31～40歳[人]","自立訓練(機能訓練) 41～50歳[人]","自立訓練(機能訓練) 51～60歳[人]","自立訓練(機能訓練) 61～70歳[人]","自立訓練(機能訓練) 71歳以上[人]","自立訓練(機能訓練) 合計[人]","機能訓練区単独 高次脳機能障害者機能訓練[人]","機能訓練区単独 障害児機能訓練[人]","機能訓練区単独 合計[人]"
"2017","合計","0","2","2","6","3","0","13","6","14","20"
"2018","合計","0","2","5","2","0","0","9","5","13","18"
"2019","合計","0","1","7","6","1","0","15","5","12","17"
"2020","合計","0","1","1","8","2","0","12","9","15","24"
"2021","障害別 脳血管疾患","0","0","1","1","3","0","5","4","0","4"
"2021","障害別 神経・筋疾患","0","0","1","0","0","0","1","0","2","2"
"2021","障害別 脳性麻痺","1","0","0","1","1","0","3","0","6","6"
"2021","障害別 その他","0","1","0","2","0","0","3","2","9","11"
"2021","身体障害者手帳 １・２級","1","1","2","2","1","0","7","1","14","15"
"2021","身体障害者手帳 ３・４級","0","0","0","3","0","0","3","1","2","3"
"2021","身体障害者手帳 ５・６級","0","0","0","0","2","0","2","0","1","1"
"2021","身体障害者手帳 手帳なし",,,,,,,,"4",,"4"

"令和4年度港区行政資料集　障害保健福祉センター機能訓練等利用状況","Ver202203",,,,,,,,,,
