大分類,中分類,小分類,施設ID,名称,緯度,経度,住所1,住所2,住所3,電話番号,FAX番号,リンク（テキスト）,リンク（URL）,備考
施設マップ,公共施設,市役所・出張所,1,多摩市役所,35.6370055,139.4463099,〒206-8666,東京都多摩市関戸6-12-1,,042-375-8111,042-371-2008,,,
施設マップ,公共施設,市役所・出張所,2,聖蹟桜ヶ丘駅出張所,35.649708,139.446936,〒206-0011,東京都多摩市関戸4-72,OPAビル内ヴィータ・コミューネ7階,042-376-8121,,,,
施設マップ,公共施設,市役所・出張所,3,多摩センター駅出張所,35.62560049,139.4250844,〒206-0033,東京都多摩市落合1-10-1,京王多摩センターSC2階,042-338-5511,,,,
施設マップ,公共施設,公民館,4,関戸公民館,35.649842,139.4468394,〒206-0011,東京都多摩市関戸4-72,ヴィータ・コミューネ　7階、8階,042-374-9711,042-339-0491,,,
施設マップ,公共施設,公民館,5,永山公民館,35.6283469,139.4484153,〒206-0025,東京都多摩市永山1-5,,042-337-6661,042-337-6003,,,
施設マップ,公共施設,図書館,6,多摩市立図書館（本館）,35.61756512,139.4252195,〒206-0033,東京都多摩市落合2-29,,042-373-7955,042-375-9459,外部リンク,http://www.library.tama.tokyo.jp/library_guide0010.html,
施設マップ,公共施設,図書館,7,東寺方図書館,35.6432837,139.4377157,〒206-0003,東京都多摩市東寺方626-7,,042-371-2242,042-371-4502,外部リンク,http://www.library.tama.tokyo.jp/library_guide0020.html,
施設マップ,公共施設,図書館,8,豊ヶ丘図書館,35.614673,139.4348817,〒206-0031,東京都多摩市豊ヶ丘5-6,,042-374-6581,042-374-8744,外部リンク,http://www.library.tama.tokyo.jp/library_guide0030.html,
施設マップ,公共施設,図書館,9,関戸図書館,35.65188307,139.4459331,〒206-0011,東京都多摩市関戸1-1-5　ザ・スクエア2階,,042-371-1004,042-371-1261,外部リンク,http://www.library.tama.tokyo.jp/library_guide0040.html,
施設マップ,公共施設,図書館,10,聖ヶ丘図書館,35.6310748,139.4581144,〒206-0022,東京都多摩市聖ヶ丘2-21-1,,042-339-7333,042-389-2944,外部リンク,http://www.library.tama.tokyo.jp/library_guide0050.html,
施設マップ,公共施設,図書館,11,永山図書館,35.62832236,139.4482361,〒206-0025,東京都多摩市永山1-5　ベルブ永山3階,,042-337-6211,042-337-6621,外部リンク,http://www.library.tama.tokyo.jp/library_guide0060.html,
施設マップ,公共施設,図書館,12,唐木田図書館,35.6154234,139.4133785,〒206-0034,東京都多摩市鶴牧6-14　からきだ菖蒲館1階,,042-338-0660,042-338-0670,外部リンク,http://www.library.tama.tokyo.jp/library_guide0070.html,
施設マップ,公共施設,図書館,13,行政資料室,35.6377596,139.4468901,〒206-0011,東京都多摩市関戸6-12-1,,042-338-6888,,外部リンク,http://www.library.tama.tokyo.jp/library_guide0130.html,
施設マップ,安心・安全,警察,14,多摩市中央警察署,35.6229967,139.420954,〒206-0034,東京都多摩市鶴牧1-26-1,,042-375-0110,,外部リンク,http://www.keishicho.metro.tokyo.jp/9/tamachuo/,
施設マップ,安心・安全,消防団・消防署,15,多摩市消防団本団,35.6377596,139.4468901,〒206-8666,東京都多摩市関戸6-12-1,,042-338-6802,042-371-2008,,,
施設マップ,安心・安全,消防団・消防署,16,多摩市消防団第1分団,35.6430287,139.4551753,〒206-0021,東京都多摩市連光寺2-27-22,,,,,,
施設マップ,安心・安全,消防団・消防署,17,多摩市消防団第2分団,35.645506,139.4516422,〒206-0011,東京都多摩市関戸5-17-14,,,,,,
施設マップ,安心・安全,消防団・消防署,18,多摩市消防団第3分団,35.63294573,139.4533077,〒206-0023,東京都多摩市馬引沢2-3-13,,,,,,
施設マップ,安心・安全,消防団・消防署,19,多摩市消防団第4分団,35.6345081,139.4648723,〒206-0021,東京都多摩市連光寺6-24-14,,,,,,
施設マップ,安心・安全,消防団・消防署,20,多摩市消防団第5分団,35.6397812,139.4342078,〒206-0001,東京都多摩市和田435,,,,,,
施設マップ,安心・安全,消防団・消防署,21,多摩市消防団第6分団,35.643392,139.438024,〒206-0003,東京都多摩市東寺方626-4,,,,,,
施設マップ,安心・安全,消防団・消防署,22,多摩市消防団第7分団,35.63178127,139.438521,〒206-0014,東京都多摩市乞田1101,,,,,,
施設マップ,安心・安全,消防団・消防署,23,多摩市消防団第8分団,35.6253409,139.4216872,〒206-0034,東京都多摩市鶴牧1-1-7,,,,,,
施設マップ,安心・安全,消防団・消防署,24,多摩市消防団第9分団,35.6507745,139.4401457,〒206-0002,東京都多摩市一ノ宮4-19-14,,,,,,
施設マップ,安心・安全,消防団・消防署,25,多摩市消防団第10分団,35.6079434,139.4345144,〒206-0032,東京都多摩市南野2-4-7,,,,,,
施設マップ,安心・安全,消防団・消防署,26,東京消防庁多摩消防署,35.6325242,139.4483874,〒206-0024,東京都多摩市諏訪1-69,,,,,,
施設マップ,安心・安全,消防団・消防署,27,東京消防庁多摩消防署多摩センター出張所,35.6221239,139.4181495,〒206-0034,東京都多摩市鶴牧1-27-1,,,,,,
施設マップ,安心・安全,避難所,28,多摩第一小学校,35.65055166,139.45685,〒206-0011,東京都多摩市関戸3-2-23,,042-375-7020,042-337-7621,,,
施設マップ,安心・安全,避難所,29,多摩第二小学校,35.64464124,139.4327387,〒206-0001,東京都多摩市和田75,,042-375-7051,042-337-7622,外部リンク,http://schit.net/tama/estamadaini/,
施設マップ,安心・安全,避難所,30,多摩第三小学校,35.6314239,139.4365635,〒206-0014,東京都多摩市乞田712,,042-375-7036,042-337-7623,外部リンク,http://schit.net/tama/estamadaisan/,
