"年月[西暦]","調査項目","設問","選択肢","件数[件]","(全体)[%]","(除不)[%]"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","訪問介護（ホームヘルプサービス）","52","39.4","51.5"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","訪問入浴介護","3","2.3","3.0"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","訪問看護","30","22.7","29.7"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","訪問リハビリテーション","10","7.6","9.9"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","居宅療養管理指導","6","4.5","5.9"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","福祉用具貸与","5","3.8","5.0"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","特定福祉用具販売","4","3.0","4.0"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","通所介護（デイサービス）","30","22.7","29.7"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","通所リハビリテーション（デイケア）","8","6.1","7.9"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","短期入所生活介護（ショートステイ）","12","9.1","11.9"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","短期入所療養介護（ショートステイ）","8","6.1","7.9"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","定期巡回・随時対応型訪問介護看護","2","1.5","2.0"
"202003","事業所について","Q2-5. 貴事業所を運営する法人等の概要をご記入ください。（５．事業所を運営する法人等が港区内または隣接区で実施する介護･医療サービス（あてはまるものすべてに○））","夜間対応型訪問介護","2","1.5","2.0"
