"年度[西暦]","区分","調定額[円]","収納額[円]","不納欠損額[円]","未収額[円]","収納率[%]"
"2018","現年分","3302523000","3246448000","0","56075000","98.30"
"2018","特別徴収","684477000","684477000","0","0","100.00"
"2018","普通徴収","2618046000","2561971000","0","56075000","97.86"
"2018","滞納繰越分","85434000","31468000","23780000","30186000","36.83"
"2019","現年分","3454208000","3391177000","0","63030000","98.18"
"2019","特別徴収","713086000","713086000","0","0","100.00"
"2019","普通徴収","2741122000","2678091000","0","63030000","97.7"
"2019","滞納繰越分","86344000","27780000","23120000","35448000","32.17"
"2020","現年分","3541623000","3491178000","0","50445000","98.58"
"2020","特別徴収","739097000","739097000","0","0","100.00"
"2020","普通徴収","2802526000","2752081000","0","50445000","98.20"
"2020","滞納繰越分","97525000","35208000","26892000","35426000","36.10"
"2021","現年分","3560391000","3500385000","0","60006000","98.31"
"2021","特別徴収","742738000","742738000","0","0","100.00"
"2021","普通徴収","2817653000","2757647000","0","60006000","97.87"
"2021","滞納繰越分","85933000","22033000","26644000","37256000","25.64"
"2022","現年分","3993394000","3926646000","6701000","60048000","98.33"
"2022","特別徴収","788575000","788575000","0","0","100.00"
"2022","普通徴収","3204819000","3138070000","6701000","60048000","97.92"
"2022","滞納繰越分","96855000","35094000","38579000","23182000","36.23"

"令和5年度港区行政資料集　後期高齢者医療保険料調定収納状況","Ver202303",,,,,
