"施設名","郵便番号","所在地","経度","緯度","座標系","電話番号"
"千代田区児童・家庭支援センター","101-0048","千代田区神田司町２－１６　神田さくら館６階",139.768394,35.693178,"JGD2011","03-3256-8150"
"中央区立子ども家庭支援センター","104-0054","中央区勝どき１－４－１　３階",139.777208,35.660368,"JGD2011","03-3534-2255"
"港区子ども家庭支援センター","108-8315","港区三田１－４－１０　みなと保健所２階",139.742558,35.654031,"JGD2011","03-6400-0090"
"新宿区立子ども総合センター","160-0022","新宿区新宿７－３－２９",139.712681,35.701003,"JGD2011","03-3232-0675"
"文京区子ども家庭支援センター","112-8555","文京区春日１－１６－２１　シビックセンター５階",139.75243,35.707951,"JGD2011","03-5803-1109"
"台東区日本堤子ども家庭支援センター","111-0021","台東区日本堤２－２５－８",139.797423,35.728119,"JGD2011","03-5824-2571"
"墨田区子育て支援総合センター","131-0046","墨田区京島１－３５－９－１０３　マーク・ゼロワン曳舟タワー棟１階",139.819675,35.716722,"JGD2011","03-5630-6351"
"江東区南砂子ども家庭支援センター","136-0076","江東区南砂３－１４－１－１０１",139.831742,35.668776,"JGD2011","03-5617-7772"
"品川区子育て支援センター","142-0051","品川区平塚２－１２－２　品川区立家庭あんしんセンター内",139.71282,35.617063,"JGD2011","03-5749-1032"
"目黒区子ども家庭支援センター","153-8573","目黒区上目黒２－１９－１５　目黒区総合庁舎２階",139.69859,35.641262,"JGD2011","03-3715-2641"
"大田区子ども家庭支援センター","143-0016","大田区大森北４－１６－５",139.727157,35.58337,"JGD2011","03-5753-7830"
"世田谷区子ども家庭支援センター　せたがや子ども家庭支援センター","154-8504","世田谷区世田谷４－２２－３３　世田谷区役所第３庁舎",139.652191,35.646513,"JGD2011","03-5432-2848"
"渋谷区子ども家庭支援センター","150-0002","渋谷区渋谷１－１８－２１",139.703662,35.662012,"JGD2011","0120-135-415"
"中野区子ども家庭支援センター","164-8501","中野区中野４－８－１　中野区役所３階",139.66381,35.707287,"JGD2011","03-3228-7867"
"杉並子ども家庭支援センター","166-0004","杉並区阿佐谷南１－１４－８",139.63711,35.699774,"JGD2011","03-5929-1901"
"豊島区東部子ども家庭支援センター","170-0012","豊島区上池袋２－３５－２２",139.718254,35.736855,"JGD2011","03-5980-5275"
"北区子ども家庭支援センター","114-0002","北区王子６－７－３　旧清至中学校別棟",139.740387,35.762653,"JGD2011","03-3912-1894"
"荒川区子ども家庭支援センター","116-0002","荒川区荒川５－１２－１０",139.778208,35.739549,"JGD2011","03-3805-5523"
"板橋区子ども家庭支援センター","173-0015","板橋区栄町３６－１　板橋区立グリーンホール７階",139.705202,35.750925,"JGD2011","03-3579-2656"
"練馬区子ども家庭支援センター（練馬庁舎）","176-8501","練馬区豊玉北６－１２－１　練馬区役所東庁舎４階",139.651671,35.735573,"JGD2011","03-3993-8155"
"足立区こども支援センターげんき","121-0816","足立区梅島３－２８－８",139.792602,35.775666,"JGD2011","03-3852-3535"
"葛飾区子ども総合センター","125-0062","葛飾区青戸４－１５－１４　健康プラザかつしか２階",139.850589,35.751567,"JGD2011","03-3602-1386"
"江戸川区子ども家庭支援センター","132-0011","江戸川区瑞江２－９－１５",139.895996,35.694852,"JGD2011","03-6231-8120"
"八王子市子ども家庭支援センター","192-0082","八王子市東町５－６　クリエイトホール地下１階",139.339958,35.658484,"JGD2011","042-656-8225"
"立川市子ども家庭支援センター","190-0022","立川市錦町３－２－２６",139.419698,35.694258,"JGD2011","042-528-6871"
"武蔵野市子ども家庭支援センター","180-8777","武蔵野市緑町２－２－２８　武蔵野市役所３階",139.565937,35.717836,"JGD2011","0422-55-9002"
"三鷹市子ども家庭支援センターのびのびひろば","181-0013","三鷹市下連雀３－３０－１２　三鷹市中央通りタウンプラザ３階",139.561272,35.698111,"JGD2011","0422-40-5925"
"青梅市子ども家庭支援センター","198-8701","青梅市東青梅１－１１－１　青梅市役所３階",139.275796,35.787865,"JGD2011","0428-24-2126"
"府中市子ども家庭支援センター","183-0023","府中市宮町１－５０　くるる３階",139.480597,35.671884,"JGD2011","042-354-8701"
"昭島市子ども家庭支援センター","196-8511","昭島市田中町１－１７－１　昭島市役所３階",139.353609,35.705755,"JGD2011","042-543-9046"
"調布市子ども家庭支援センターすこやか","182-0022","調布市国領町３－１－３８　ココスクエア２階",139.558644,35.649608,"JGD2011","042-481-7731"
"町田市子ども家庭支援センター","194-8520","町田市森野２－２－２２　町田市役所２階",139.438587,35.546633,"JGD2011","042-724-4419"
"小金井市子ども家庭支援センター","184-0015","小金井市貫井北町５－１８－１８　保健センター１階",139.490125,35.701717,"JGD2011","042-321-3146"
"小平市子ども家庭支援センター","187-0031","小平市小川東町４－２－１　小平元気村おがわ東２階",139.474067,35.740151,"JGD2011","042-348-2102"
"日野市子ども家庭支援センター","191-0031","日野市高幡１００９－４　京王アンフィール高幡３階",139.414194,35.661017,"JGD2011","042-599-6670"
"東村山市子ども家庭支援センター","189-8501","東村山市本町１－２－３　いきいきプラザ３階",139.468483,35.754624,"JGD2011","042-390-2271"
"国分寺市子ども家庭支援センター","185-0034","国分寺市光町３－１３－２０",139.442757,35.707698,"JGD2011","042-572-8138"
"国立市子ども家庭支援センター","186-0003","国立市富士見台３－２１－１",139.435872,35.685859,"JGD2011","042-573-0965"
"福生市子ども家庭支援センター","197-0005","福生市北田園２－５－７　子ども応援館１階",139.322652,35.734162,"JGD2011","042-539-2555"
"狛江市子ども家庭支援センター","201-0013","狛江市元和泉２－３５－１　あいとぴあセンター３階",139.567413,35.6334,"JGD2011","03-5438-6605"
