"施設名称","郵便番号","所在地","経度","緯度","座標系","電話番号"
"千代田区","102-8688","千代田区九段南１－２－１",139.753634,35.694002,"JGD2011","03-3264-2111"
"中央区","104-8404","中央区築地１－１－１",139.772002,35.670586,"JGD2011","03-3543-0211"
"港区芝地区総合支所","105-8511","港区芝公園１－５－２５",139.751596,35.658015,"JGD2011","03-3578-3111"
"港区麻布地区総合支所","106-8515","港区六本木５－１６－４５",139.734967,35.660697,"JGD2011","03-3583-4151"
"港区赤坂地区総合支所","107-8516","港区赤坂４－１８－１３",139.731633,35.674748,"JGD2011","03-5413-7011"
"港区高輪地区総合支所","108-8581","港区高輪１－１６－２５",139.734104,35.641949,"JGD2011","03-5421-7611"
"港区芝浦港南地区総合支所","105-8516","港区芝浦１－１６－１",139.751424,35.646635,"JGD2011","03-3456-4151"
"新宿区","160-8484","新宿区歌舞伎町１－４－１",139.703463,35.69389,"JGD2011","03-3209-1111"
"文京区","112-8555","文京区春日１－１６－２１",139.75243,35.707951,"JGD2011","03-3812-7111"
"台東区","110-8615","台東区東上野４－５－６",139.779984,35.712607,"JGD2011","03-5246-1111"
"墨田区","130-8640","墨田区吾妻橋１－２３－２０",139.801496,35.710724,"JGD2011","03-5608-1111"
"江東区（保護第一課）","135-8383","江東区東陽４－１１－２８",139.817271,35.672773,"JGD2011","03-3645-3101"
"江東区（保護第二課）","136-0072","江東区大島４－５－１",139.826864,35.689093,"JGD2011","03-3637-2701"
"品川区","140-8715","品川区広町２－１－３６",139.730241,35.608836,"JGD2011","03-3777-1111"
"目黒区","153-8573","目黒区上目黒２－１９－１５",139.69859,35.641262,"JGD2011","03-3715-1111"
"大田区（大森生活福祉課）","143-0015","大田区大森西１－１２－１",139.722935,35.578193,"JGD2011","03-5764-0665"
"大田区（蒲田生活福祉課）","144-0053","大田区蒲田本町２－１－１",139.718422,35.558534,"JGD2011","03-5713-1706"
"大田区（調布生活福祉課）","145-0067","大田区雪谷大塚町４－６",139.680594,35.593151,"JGD2011","03-3726-0791"
"大田区（糀谷・羽田生活福祉課）","144-0033","大田区東糀谷１－２１－１５",139.739657,35.557413,"JGD2011","03-3741-6521"
"世田谷区世田谷総合支所","154-8504","世田谷区世田谷４－２２－３３",139.652191,35.646513,"JGD2011","03-5432-1111"
"世田谷区北沢総合支所","155-8666","世田谷区北沢２－８－１８　北沢タウンホール内",139.669775,35.662238,"JGD2011","03-6804-7409"
"世田谷区玉川総合支所（二子玉川庁舎）","158-0094","世田谷区玉川１－２０－２１",139.632878,35.609887,"JGD2011","03-3702-1730"
"世田谷区砧総合支所","157-8501","世田谷区成城６－２－１",139.600582,35.641293,"JGD2011","03-3482-1343"
"世田谷区烏山総合支所","157-8555","世田谷区南烏山６－２２－１４",139.598031,35.669776,"JGD2011","03-3326-6111"
"渋谷区","150-8010","渋谷区宇田川町１－１",139.697189,35.663475,"JGD2011","03-3463-1211"
"中野区","164-8501","中野区中野４－８－１",139.66381,35.707287,"JGD2011","03-3389-1111"
"杉並区（高円寺事務所）","166-0003","杉並区高円寺南２－２４－１８",139.649165,35.700627,"JGD2011","03-5306-2611"
"杉並区（荻窪事務所）","167-0032","杉並区天沼３－１９－１６　ウェルファーム杉並複合施設棟２階 ",139.620908,35.71038,"JGD2011","03-3398-9104"
"杉並区（高井戸事務所）","168-0072","杉並区高井戸東３－２６－１０",139.616243,35.685763,"JGD2011","03-3332-7221"
"豊島区","170-0013","豊島区東池袋１－３９－２",139.714344,35.732564,"JGD2011","03-3981-1826"
"豊島区（西部生活福祉課）","171-0043","豊島区要町１－５－１",139.695873,35.733096,"JGD2011","03-5917-5760"
"北区","114-8508","北区王子本町１－１５－２２",139.733983,35.753178,"JGD2011","03-3908-1111"
"荒川区","116-8501","荒川区荒川２－２－３",139.783373,35.736083,"JGD2011","03-3802-3111"
"板橋区板橋","173-0015","板橋区栄町３６－１",139.705202,35.750925,"JGD2011","03-3579-2322"
"板橋区赤塚","175-0092","板橋区赤塚６－３８－１",139.644887,35.77877,"JGD2011","03-3938-5126"
"板橋区志村","174-0046","板橋区蓮根２－２８－１",139.675164,35.785267,"JGD2011","03-3968-2331"
"練馬区練馬総合","176-8501","練馬区豊玉北６－１２－１",139.651671,35.735573,"JGD2011","03-3993-1111"
"練馬区石神井総合","177-8509","練馬区石神井町３－３０－２６",139.602753,35.743137,"JGD2011","03-5393-2801"
"練馬区光が丘総合","179-0072","練馬区光が丘２－９－６",139.629589,35.759486,"JGD2011","03-5997-7713"
"練馬区大泉総合","178-8601","練馬区東大泉１－２９－１",139.585771,35.75023,"JGD2011","03-5905-5262"
"足立区（中部第一福祉課）","121-8512","足立区中央本町４－５－２",139.805931,35.776744,"JGD2011","03-3880-5875"
"足立区（中部第二福祉課）","121-8512","足立区中央本町４－５－２",139.805931,35.776744,"JGD2011","03-3880-5419"
"足立区（千住福祉課）","120-0036","足立区千住仲町１９－３",139.801617,35.746346,"JGD2011","03-3888-3141"
"足立区（東部福祉課）","120-0004","足立区東綾瀬１－２６－２",139.831202,35.765879,"JGD2011","03-3605-7105"
"足立区（西部福祉課）","123-0864","足立区鹿浜８－２７－１５",139.764951,35.789938,"JGD2011","03-3897-5011"
"足立区（北部福祉課）","121-8555","足立区竹の塚２－２５－１７",139.79467,35.792617,"JGD2011","03-3883-6800"
"葛飾区（西生活課）","124-8555","葛飾区立石５－１３－１",139.847407,35.742985,"JGD2011","03-3695-1111"
"葛飾区（東生活課）","125-0042","葛飾区金町１－６－２４",139.865796,35.761975,"JGD2011","03-3607-2152"
"江戸川区（生活援護第一課）","132-0021","江戸川区中央１－３－１７",139.868446,35.705892,"JGD2011","03-3652-1151"
"江戸川区（生活援護第二課）","133-0052","江戸川区東小岩６－９－１４",139.888095,35.733879,"JGD2011","03-3657-7855"
"江戸川区（生活援護第三課）","134-0084","江戸川区東葛西７－１２－６",139.875819,35.658671,"JGD2011","03-5659-6610"
"八王子市","192-8501","八王子市元本郷町３－２４－１",139.316075,35.666569,"JGD2011","042-626-3111"
"立川市","190-8666","立川市泉町１１５６－９",139.407832,35.714002,"JGD2011","042-523-2111"
"武蔵野市","180-8777","武蔵野市緑町２－２－２８",139.565937,35.717836,"JGD2011","0422-51-5131"
"三鷹市","181-8555","三鷹市野崎１－１－１",139.559598,35.683512,"JGD2011","0422-45-1151"
"青梅市","198-8701","青梅市東青梅１－１１－１",139.275796,35.787865,"JGD2011","0428-22-1111"
"西多摩","198-0036","青梅市河辺町６－４－１",139.289598,35.78,"JGD2011","0428-22-1165"
"府中市","183-8703","府中市宮西町２－２４",139.477278,35.66907,"JGD2011","042-364-4111"
"昭島市","196-8511","昭島市田中町１－１７－１",139.353609,35.705755,"JGD2011","042-544-5111"
"調布市","182-8511","調布市小島町２－３５－１",139.540682,35.650627,"JGD2011","042-481-7111"
"町田市","194-8520","町田市森野２－２－２２",139.438587,35.546633,"JGD2011","042-722-3111"
"小金井市","184-8504","小金井市本町６－６－３",139.502988,35.699479,"JGD2011","042-383-1111"
"小平市","187-8701","小平市小川町２－１３３３",139.477909,35.728408,"JGD2011","042-341-1211"
"日野市","191-8686","日野市神明１－１２－１",139.395512,35.670504,"JGD2011","042-585-1111"
"東村山市","189-8501","東村山市本町１－２－３",139.468483,35.754624,"JGD2011","042-393-5111"
"国分寺市","185-8501","国分寺市戸倉１－６－１",139.462608,35.711021,"JGD2011","042-325-0111"
"国立市","186-8501","国立市富士見台２－４７－１",139.441366,35.683912,"JGD2011","042-576-2111"
"福生市","197-8501","福生市本町５",139.326868,35.738483,"JGD2011","042-551-1511"
"狛江市","201-8585","狛江市和泉本町１－１－５",139.578734,35.634913,"JGD2011","03-3430-1111"
"東大和市","207-8585","東大和市中央３－９３０",139.427037,35.744713,"JGD2011","042-563-2111"
"清瀬市","204-8511","清瀬市中里５－８４２",139.526353,35.786052,"JGD2011","042-492-5111"
"東久留米市","203-8555","東久留米市本町３－３－１",139.529672,35.757992,"JGD2011","0424-70-7777"
"武蔵村山市（生活援護第一グループ）","208-8501","武蔵村山市本町１－１－１",139.387421,35.754905,"JGD2011","042-565-1111"
"武蔵村山市（生活援護第二グループ）","208-0012","武蔵村山市緑が丘１４６０番地　１１０４号棟１階",139.407886,35.743477,"JGD2011","042-590-2230"
"多摩市","206-8666","多摩市関戸６－１２－１",139.44689,35.637759,"JGD2011","042-375-8111"
"稲城市","206-8601","稲城市東長沼２１１１",139.504269,35.637959,"JGD2011","042-378-2111"
"羽村市","205-8601","羽村市緑ケ丘５－２－１",139.310547,35.767746,"JGD2011","042-555-1111"
"あきる野市","197-0814","あきる野市二宮３５０",139.293499,35.729203,"JGD2011","042-558-1111"
"西東京市（保谷庁舎）","202-8555","西東京市中町１－５－１",139.558951,35.741595,"JGD2011","042-464-1311"
"西東京市（田無庁舎）","188-8666","西東京市南町５－６－１３",139.53801,35.726341,"JGD2011","042-464-1311"
"大島支庁","100-0101","大島町元町字オンダシ２２２－１",139.35765,34.757485,"JGD2011","04992-2-4421"
"三宅支庁","100-1102","三宅村伊豆６４２",139.517317,34.118667,"JGD2011","04994-2-1311"
"八丈支庁","100-1492","八丈町大賀郷２４６６－２",139.788937,33.109829,"JGD2011","04996-2-1112"
"小笠原支庁","100-2101","小笠原村父島字西町",142.191206,27.095637,"JGD2011","04998-2-2121"
