"設置","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号","定員"
"社福法人","ひまわりホーム","160-0023","新宿区西新宿４－２１－１９",139.683782,35.687954,"JGD2011","03-3375-6461",10
"社福法人","あじさいホーム","169-0051","新宿区西早稲田１－１１－１０",139.722617,35.711098,"JGD2011","03-5285-2638",10
"社福法人","諏訪ハウス","169-0075","新宿区高田馬場１－１５－６",139.706405,35.709909,"JGD2011","03-3200-6332",8
"区市町村","フロム千束","111-0031","台東区千束３－２８－１３",139.793627,35.723086,"JGD2011","03-5603-0087",11
"他の法人","サンライズレジデンス","130-0005","墨田区東駒形３－２－４",139.803527,35.705658,"JGD2011","03-5819-3877",6
"区市町村","目黒区東が丘障害福祉施設（東が丘あじさいホーム）","152-0021","目黒区東が丘１－２１－１５",139.667838,35.627444,"JGD2011","03-3410-6030",7
"社福法人","コーポ友愛","157-0073","世田谷区砧３－９－１１",139.613573,35.635753,"JGD2011","03-3416-3164",20
"他の法人","ダルクホーム","116-0014","荒川区東日暮里３－１０－６",139.781986,35.728475,"JGD2011","03-3807-9978",9
"社福法人","さくら","193-0801","八王子市川口町１５４３－１",139.29724,35.683503,"JGD2011","042-654-4043",20
"社福法人","湯舟福祉ホーム","195-0064","町田市小野路町１７３３",139.449525,35.594818,"JGD2011","042-737-7676",21
"社福法人","コーポサンライズ","190-0182","西多摩郡日の出町大字平井２１８－１",139.277464,35.736948,"JGD2011","042-597-4111",14
"他の法人","いこいの家","-","-","-","-","-","-",7
"他の法人","ナイトケアホームロイス","-","-","-","-","-","-",10
