"施設名","郵便番号","所在地","経度","緯度","座標系","電話番号"
"西多摩保健所","198-0042","青梅市東青梅１－１６７－１５",139.27172,35.78756,"JGD2011","0428-22-6141"
"南多摩保健所","206-0025","多摩市永山２－１－５",139.447437,35.627949,"JGD2011","042-371-7661"
"多摩立川保健所","190-0021","立川市羽衣町２－６３　東京都立川保健衛生仮庁舎内",139.430225,35.691736,"JGD2011","042-524-5171"
"多摩府中保健所","183-0022","府中市宮西町１－２６－１　東京都府中合同庁舎内",139.477294,35.671117,"JGD2011","042-362-2334"
"多摩小平保健所","187-0002","小平市花小金井１－３１－２４　東京都花小金井庁舎内",139.516688,35.730062,"JGD2011","042-450-3111"
"島しょ保健所","163-8001","新宿区西新宿２－８－１　都庁第一本庁舎２７階北側",139.691647,35.689185,"JGD2011","03-5320-4342"
"島しょ保健所大島出張所","100-0101","大島町元町字馬の背２７５－４",139.358125,34.756841,"JGD2011","04992-2-1436"
"島しょ保健所大島出張所新島支所","100-0402","新島村本村６－４－２４",139.252905,34.372699,"JGD2011","04992-5-1600"
"島しょ保健所大島出張所神津島支所","100-0601","神津島村１０８８",139.136305,34.204652,"JGD2011","04992-8-0880"
"島しょ保健所三宅出張所","100-1102","三宅村伊豆１００４",139.503896,34.117639,"JGD2011","04994-2-0181"
"島しょ保健所八丈出張所","100-1511","八丈町三根１９５０－２",139.79377,33.112379,"JGD2011","04996-2-1291"
"島しょ保健所小笠原出張所","100-2101","小笠原村父島字清瀬",142.194743,27.100335,"JGD2011","04998-2-2951"
