"設置","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号","定員"
"社福法人","あそか病院","135-0002","江東区住吉１－１８－１",139.811861,35.689859,"JGD2011","03-3632-0290","-"
"社福法人","児玉経堂病院","156-0052","世田谷区経堂２－５－２１",139.635398,35.652473,"JGD2011","03-3420-1028","-"
"社福法人","有隣病院","156-0055","世田谷区船橋２－１５－３８",139.619191,35.651023,"JGD2011","03-3482-3611","-"
"社福法人","中野江古田病院","165-0022","中野区江古田４－１９－９",139.663204,35.727382,"JGD2011","03-3387-7321","-"
"社福法人","江戸川病院","133-0052","江戸川区東小岩２－２４－１８",139.892892,35.728607,"JGD2011","03-3673-1221","-"
"社福法人","昭島病院","196-0022","昭島市中神町１２６０",139.382215,35.709385,"JGD2011","042-546-3111","-"
"社福法人","多摩済生病院","187-0041","小平市美園町３－１１－１",139.489257,35.740607,"JGD2011","042-341-1611","-"
"社福法人","清瀬リハビリテーション病院","204-0023","清瀬市竹丘３－３－３３",139.502652,35.767971,"JGD2011","042-493-6111","-"
"社福法人","ベトレヘムの園病院","204-0024","清瀬市梅園３－１４－７２",139.501658,35.772012,"JGD2011","042-491-2525","-"
"社福法人","桜ケ丘記念病院","206-0021","多摩市連光寺１－１－１",139.457608,35.647819,"JGD2011","042-375-6311","-"
