№,施設名,種別    ,住所,電話,備考 
1,千代田区立障害者福祉センターえみふる,身福セ　地活　生介　指特相,千代田区神田駿河台2-5,03-3291-0600,高次脳機能障害の方の事業は、利用者の特性に合わせたプログラムを作成し、訓練を行います。
2,中央区立福祉センター,地活,中央区明石町12-1,03-3545-9311　　　,地域活動支援センター（機能訓練フォローアップ事業）では18～65歳未満の区民を対象に理学・作業療法、言語療法をグループで行っています。利用に際しては、身体障害者手帳が必要です。
3,アトリエ・ガラパゴスデイサービス,通介,中央区東日本橋3-2-4八光ビル６階,03-3666-2002,40歳から60歳代の失語症の方を対象としたデイサービス。一日の定員10人に、毎日、言語聴覚士４人で個別言語訓練を提供。その他、パソコン＆スマホ練習、絵画指導
4,一般社団法人障害者就労支援協会コンフィデンス日本橋,就移　その他※  ,中央区日本橋室町1-5-15昇賢ビル４階,03-6225-2505,知的障害・精神障害・身体障害・発達障害・高次脳機能障害等、様々な方が利用。職場定着率96％。個別プログラムで自身のペースで利用できます。保護者、関係機関の方と連携し、人生に寄り添いながらチームでサポート体制を組んでおります。※就労定着支援事業
5,港区立障害保健福祉センター,地活　機能訓　指特相,港区芝1-8-23,03-5439-2511,自立訓練（機能訓練）は身体障害者手帳所持、65歳未満対象。社会参加に向け訓練実施。高次脳機能障害（失語症含む。）と診断された方対象にグループ指導実施（週１回）。相談、訓練、活動参加を総合的に支援
6,港区立精神障害者支援センター(愛称：あいはーと・みなと）,地活　就継Ｂ　指特相　その他※  ,港区高輪1-4-8,03-5449-6455,地域活動支援センターの対象は港区民です。利用される方々が、ゆっくり過ごされる場所です。送迎は行っておりません。高次脳機能障害の方のみを対象とした事業は行っておりません。※区の独自事業としての生活体験プログラム
7,新宿区立障害者福祉センター,身福セ　機能訓　生介　就継Ｂ　指特相,新宿区戸山1-22-2,03-3232-3711,新宿区民が対象。個別の機能訓練・言語訓練は応相談。高次脳機能障害の方を対象にしたグループ訓練（竹とんぼ）を毎週金曜日に実施。他に全障害を対象にした講座、講習会等あり
8,公益財団法人新宿区勤労者・仕事支援センターわーくすここ・からエール,就移     ,新宿区新宿7-3-29,03-3208-1609,区内在住の方で、身体障害・知的障害・精神障害・発達障害等の障害及び難病をお持ちの方を対象としております。
9,公益財団法人新宿区勤労者・仕事支援センターわーくすここ・からスマイル,就継Ｂ,新宿区新宿7-3-29,03-3208-2278,区内在住の方で、身体障害・知的障害・精神障害・発達障害等の障害及び難病をお持ちの方を対象としております。
10,特定非営利活動法人ＶＩＶＩＤフレッシュスタート目白,就継Ｂ,新宿区下落合4-20-16ソレイユ目白103,03-6908-3663,リユースショップ運営をしています。定員20名　高次脳機能障がいを含む中途障がいの方を中心に、軽度知的障がい、精神障がいの方も在籍しています。
11,社会福祉法人武蔵野会リアン文京,地活　生介　就継Ａ　就継Ｂ　指特相,文京区小日向2-16-15,03-5940-2822,文京区の福祉拠点として多くの福祉サービス事業を運営しています。
12,台東区松が谷福祉会館,地活　生介　指特相,台東区松が谷1-4-12,03-3842-2672,区内在住の65歳未満の脳卒中等、中途障害者の機能訓練等を実施。いずれも高次脳機能障害のみの方を対象とした事業は実施していない。
13,社会福祉法人墨田区社会福祉事業団すみだ福祉保健センター,身福セ　通介　老機能　その他※  ,墨田区向島3-36-7,03-5608-3738　　      　,区内在住の方対象。18歳以上の身体障害者等、介護保険の方の機能訓練を実施。PT、OT、STによる個別リハビリの他、高次脳機能障害や失語症の方を対象としたグループ訓練を行っています。※介護保険対象外の利用者については区独自の「機能訓練事業」として実施しています。
14,特定非営利活動法人とらいあんぐる隅田作業所,就継Ｂ,墨田区八広3-1-5ライフスペース90101,03-3616-3465,軽作業以外にも揚げ餅作製に力を入れています。アットホームな雰囲気で通いやすいです。「自力通所」「介助不要」「車いす不可」が対象になります。
15,江東区障害者福祉センター,地活　生介　就継Ｂ　指特相,江東区扇橋3-7-2,03-3699-0316,区内在住の身体障害・知的障害・精神障害・発達障害及び難病等政令で定める障害者（児）
16,社会福祉法人のびのび福祉会のびのび共同作業所大河,生介　就継Ｂ,江東区南砂3-5-14ＯＫＢLＤＧⅡ4・5階,03-5634-8558,近隣の事業所から作業を受託して行っています。高次脳機能障害の方は12名在籍しています。絵画やストレッチの趣味の活動、PTによる個別のリハビリ、保健師による保健相談を提供しています。
17,社会福祉法人のびのび福祉会自立センターあけぼの,生介　就継Ｂ,江東区塩浜2-5-20塩浜福祉プラザ３階,03-3648-1245,中途障害・高次脳機能障害の方が主体の作業所です。下請け作業等の社会参加を通して生きがいと自立を支援しています。塩浜事業部では理学療法士による個別リハビリ、枝川事業部では就労支援を行っています。
