"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","いつも実行している[人]","時々実行している[人]","あまり実行していない[人]","全く実行していない[人]","無回答[人]"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","全体",,"568","177","268","91","11","21"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","男性（計）","234","70","106","47","7","4"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","男性 18～29歳","13","2","7","4","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","男性 30～39歳","38","11","13","10","4","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","男性 40～49歳","50","11","26","12","1","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","男性 50～59歳","47","18","20","8","0","1"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","男性 60～69歳","42","12","21","6","1","2"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","男性 70歳以上","43","16","18","7","1","1"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","男性 無回答","1","0","1","0","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","女性（計）","320","106","160","43","4","7"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","女性 18～29歳","26","4","16","5","1","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","女性 30～39歳","49","3","39","6","0","1"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","女性 40～49歳","79","24","41","12","1","1"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","女性 50～59歳","65","29","29","6","1","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","女性 60～69歳","59","30","19","6","0","4"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","女性 70歳以上","42","16","16","8","1","1"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","女性 無回答","0","0","0","0","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","性・年代別","無回答","14","1","2","1","0","10"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","職業別","自営業主・家族従業","89","33","34","15","4","3"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","職業別","会社員・団体職員・公務員","247","72","128","42","5","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","職業別","アルバイト・パートタイマー","37","10","17","7","1","2"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","職業別","家事専業","55","21","24","9","0","1"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","職業別","学生","13","3","7","3","0","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","職業別","無職","81","29","35","13","0","4"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","職業別","その他","32","9","20","2","1","0"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","職業別","無回答","14","0","3","0","0","11"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","居住地区別","芝地区","89","23","45","19","0","2"
"202203","地球温暖化対策","Q18. あなたが日常生活の中でどのくらい省エネルギーを意識した行動を実行しているかについて、１～４のうち当てはまるものを選択してください 。（○は１つ）","居住地区別","麻布地区","87","34","41","10","2","0"
