"科目","金額[百万円]"
"年度","2018"
"期間（自）","20180401"
"期間（至）","20190331"
"経常費用","156328"
"経常費用 業務費用","79163"
"経常費用 業務費用 人件費","19859"
"経常費用 業務費用 人件費 職員給与費","16418"
"経常費用 業務費用 人件費 賞与等引当金繰入額","984"
"経常費用 業務費用 人件費 退職手当引当金繰入額","939"
"経常費用 業務費用 人件費 その他","1517"
"経常費用 業務費用 物件費等","56380"
"経常費用 業務費用 物件費等 物件費","43664"
"経常費用 業務費用 物件費等 維持補修費","2575"
"経常費用 業務費用 物件費等 減価償却費","10140"
"経常費用 業務費用 物件費等 その他","-"
"経常費用 業務費用 その他の業務費用","2924"
"経常費用 業務費用 その他の業務費用 支払利息","21"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","591"
"経常費用 業務費用 その他の業務費用 その他","2312"
"経常費用 移転費用","77165"
"経常費用 移転費用 補助金等","55265"
"経常費用 移転費用 社会保障給付","21630"
"経常費用 移転費用 他会計への繰出金","0"
"経常費用 移転費用 その他","270"
"経常収益","10927"
"経常収益 使用料及び手数料","7678"
"経常収益 その他","3249"
"純経常行政コスト","-145400"
"臨時損失","1"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","1"
"臨時損失 投資損失引当金繰入額","-"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","-"
"臨時利益","0"
"臨時利益 資産売却益","0"
"臨時利益 その他","-"
"純行政コスト","-145401"

"全体会計財務書類（行政コスト計算書）(平成30年4月1日から平成31年3月31日)","Ver201903"
