区分１,区分２,順位ｎ,１救急医療（％）,２がん医療（％）,３小児医療（％）,４脳血管疾患医療（％）,５精神科医療（認知症を含む）（％）,６心臓病医療（％）,７災害時医療（％）
全体,,2304,49.6,48.9,27.2,25.7,19.6,18.4,12.7
性別×年齢別,男性・計,1212,46.2,53.3,24.4,29.1,17.3,23.2,12.3
性別×年齢別,男性１９歳以下,32,40.6,50.0,12.5,6.3,21.9,18.8,25.0
性別×年齢別,男性２０～２９歳,153,42.5,52.3,27.5,17.0,19.6,17.0,15.0
性別×年齢別,男性３０～３９歳,197,47.2,49.2,36.5,18.8,20.8,10.2,12.2
性別×年齢別,男性４０～４９歳,236,41.1,54.2,28.0,27.5,14.8,24.6,15.7
性別×年齢別,男性５０～５９歳,252,46.4,57.1,24.2,31.3,19.8,25.4,9.9
性別×年齢別,男性６０～６４歳,132,47.0,61.4,13.6,38.6,9.1,31.1,12.1
性別×年齢別,男性６５歳以上,210,53.8,47.6,15.7,44.3,16.7,31.4,7.6
性別×年齢別,女性・計,1092,53.4,44.0,30.2,21.9,22.1,13.2,13.1
性別×年齢別,女性１９歳以下,53,41.5,47.2,32.1,9.4,22.6,15.1,18.9
性別×年齢別,女性２０～２９歳,174,48.3,36.8,37.4,8.0,25.3,4.6,12.6
性別×年齢別,女性３０～３９歳,215,53.5,36.3,43.7,12.6,18.1,7.0,13.0
性別×年齢別,女性４０～４９歳,251,51.4,45.8,31.5,21.9,20.7,13.1,13.9
性別×年齢別,女性５０～５９歳,227,63.4,51.5,18.1,28.6,23.3,17.2,10.6
性別×年齢別,女性６０～６４歳,99,57.6,51.5,19.2,38.4,21.2,18.2,16.2
性別×年齢別,女性６５歳以上,73,43.8,41.1,20.5,47.9,27.4,31.5,11.0
居住地別（二次保健医療圏別）,区部,1568,48.8,48.0,26.6,25.6,18.8,18.0,12.8
居住地別（二次保健医療圏別）,区中央部,126,46.8,57.1,23.8,28.6,9.5,22.2,11.9
居住地別（二次保健医療圏別）,区南部,186,50.5,46.8,24.2,22.6,23.1,17.7,14.0
居住地別（二次保健医療圏別）,区西南部,246,45.5,48.4,21.5,28.0,18.7,14.6,11.0
居住地別（二次保健医療圏別）,区西部,232,48.7,49.6,29.7,24.6,18.1,19.0,12.5
居住地別（二次保健医療圏別）,区西北部,326,50.3,46.6,23.9,23.0,20.6,16.6,13.2
居住地別（二次保健医療圏別）,区東北部,215,49.3,42.3,35.3,27.9,16.3,25.1,13.0
居住地別（二次保健医療圏別）,区東部,237,49.4,49.4,27.8,26.6,21.1,13.9,13.5
居住地別（二次保健医療圏別）,多摩地域,731,51.6,50.9,28.5,26.0,21.2,19.4,12.6
居住地別（二次保健医療圏別）,西多摩,66,48.5,48.5,28.8,27.3,22.7,19.7,21.2
居住地別（二次保健医療圏別）,南多摩,249,48.6,55.0,30.5,28.9,17.3,18.1,11.2
居住地別（二次保健医療圏別）,北多摩西部,108,58.3,47.2,25.0,24.1,21.3,17.6,17.6
居住地別（二次保健医療圏別）,北多摩南部,178,53.4,49.4,27.0,23.6,27.0,19.7,7.9
居住地別（二次保健医療圏別）,北多摩北部,130,50.8,49.2,29.2,24.6,20.0,23.1,13.1
家族構成別,島しょ,5,20.0,20.0,20.0,-,20.0,20.0,-
家族構成別,単身,484,47.9,46.5,17.1,23.1,22.3,16.1,16.9
家族構成別,夫婦のみ,531,49.3,49.7,20.5,34.5,19.4,22.8,9.0
家族構成別,親子（親族の同居を含む）,1115,50.7,49.3,34.2,23.3,18.4,17.9,12.2
家族構成別,３世代（親族の同居を含む）,118,45.8,50.8,34.7,22.9,17.8,17.8,16.1
家族構成別,兄弟姉妹など親族世帯のみ,33,54.5,42.4,12.1,24.2,30.3,6.1,9.1
家族構成別,その他,23,52.2,56.5,34.8,8.7,17.4,13.0,17.4
