区分１,区分２,順位ｎ,１医師による紹介（％）,２自宅や職場・学校に近いこと（％）,３信頼できる医師がいること（％）,４専門性の高い医療を提供できること（％）,５様々な症状に対応できる医療を提供していること（％）,６家族・友人・知人からのすすめ（％）,７交通機関の便がよいこと（％）,８経済的負担が少ないこと（％）
全体,,710,38.7,26.6,16.9,16.5,15.6,13.4,13.2,11.0
性別×年齢別,男性・計,391,40.9,26.1,19.9,15.9,15.1,12.5,14.6,10.2
性別×年齢別,男性１９歳以下,4,25.0,25.0,25.0,25.0,50.0,-,-,-
性別×年齢別,男性２０～２９歳,25,24.0,28.0,44.0,12.0,12.0,12.0,28.0,4.0
性別×年齢別,男性３０～３９歳,47,40.4,25.5,14.9,12.8,19.1,12.8,10.6,6.4
性別×年齢別,男性４０～４９歳,84,39.3,21.4,17.9,15.5,15.5,25.0,14.3,9.5
性別×年齢別,男性５０～５９歳,104,37.5,37.5,17.3,15.4,15.4,5.8,15.4,9.6
性別×年齢別,男性６０～６４歳,43,53.5,23.3,16.3,7.0,7.0,14.0,9.3,18.6
性別×年齢別,男性６５歳以上,84,46.4,17.9,22.6,23.8,15.5,8.3,15.5,11.9
性別×年齢別,女性・計,319,36.1,27.3,13.2,17.2,16.3,14.4,11.6,11.9
性別×年齢別,女性１９歳以下,4,25.0,25.0,-,25.0,25.0,25.0,-,-
性別×年齢別,女性２０～２９歳,26,30.8,11.5,23.1,15.4,23.1,23.1,15.4,15.4
性別×年齢別,女性３０～３９歳,61,34.4,23.0,16.4,11.5,14.8,16.4,6.6,13.1
性別×年齢別,女性４０～４９歳,75,45.3,29.3,9.3,9.3,9.3,9.3,5.3,6.7
性別×年齢別,女性５０～５９歳,86,36.0,29.1,12.8,19.8,12.8,18.6,10.5,14.0
性別×年齢別,女性６０～６４歳,38,26.3,34.2,13.2,31.6,28.9,10.5,18.4,15.8
性別×年齢別,女性６５歳以上,29,34.5,31.0,10.3,24.1,24.1,6.9,31.0,10.3
居住地別（二次保健医療圏別）,区部,469,37.7,26.2,15.1,15.4,13.4,13.2,13.4,11.7
居住地別（二次保健医療圏別）,区中央部,51,41.2,37.3,17.6,13.7,11.8,9.8,7.8,13.7
居住地別（二次保健医療圏別）,区南部,60,25.0,30.0,16.7,11.7,15.0,18.3,15.0,10.0
居住地別（二次保健医療圏別）,区西南部,66,30.3,33.3,18.2,10.6,18.2,9.1,19.7,13.6
居住地別（二次保健医療圏別）,区西部,37,29.7,27.0,16.2,13.5,10.8,24.3,10.8,13.5
居住地別（二次保健医療圏別）,区西北部,97,48.5,19.6,10.3,17.5,13.4,15.5,15.5,14.4
居住地別（二次保健医療圏別）,区東北部,62,46.8,19.4,21.0,14.5,14.5,14.5,8.1,8.1
居住地別（二次保健医療圏別）,区東部,96,35.4,24.0,11.5,20.8,10.4,7.3,13.5,9.4
居住地別（二次保健医療圏別）,多摩地域,240,40.4,27.5,20.4,18.8,20.0,13.8,12.9,9.2
居住地別（二次保健医療圏別）,西多摩,17,52.9,11.8,23.5,17.6,23.5,11.8,-,11.8
居住地別（二次保健医療圏別）,南多摩,62,33.9,16.1,24.2,24.2,16.1,14.5,11.3,11.3
居住地別（二次保健医療圏別）,北多摩西部,46,45.7,43.5,8.7,17.4,21.7,15.2,13.0,8.7
居住地別（二次保健医療圏別）,北多摩南部,70,47.1,25.7,20.0,15.7,20.0,14.3,14.3,8.6
居住地別（二次保健医療圏別）,北多摩北部,45,28.9,35.6,26.7,17.8,22.2,11.1,17.8,6.7
家族構成別,島しょ,1,100.0,-,-,-,-,-,-,100.0
家族構成別,単身,100,33.0,24.0,19.0,17.0,17.0,15.0,19.0,6.0
家族構成別,夫婦のみ,164,35.4,26.8,15.9,14.6,14.6,11.0,14.6,10.4
家族構成別,親子（親族の同居を含む）,387,41.3,27.4,16.5,17.3,15.8,14.0,10.6,11.6
家族構成別,３世代（親族の同居を含む）,46,47.8,26.1,17.4,10.9,10.9,15.2,19.6,13.0
家族構成別,兄弟姉妹など親族世帯のみ,9,11.1,33.3,22.2,22.2,22.2,11.1,-,22.2
家族構成別,その他,4,25.0,-,25.0,50.0,50.0,-,25.0,50.0
