区分１,区分２,全体,がん医療（％）,脳血管疾患医療（％）,心臓病医療（％）,救急医療（％）,災害時医療（％）,島しょ医療（％）,周産期医療（％）,小児医療（％）,感染症医療（％）,精神科医療（認知症を含む）（％）,難病医療（％）,障害者医療（％）,リハビリテーション医療（％）,その他（％）
性・年代別,全体,2092,51.9,22.8,21.0,42.0,10.1,1.7,7.8,22.5,8.4,15.9,13.7,6.3,10.3,1.5
性・年代別,男性計,841,53.6,23.9,23.9,40.5,11.1,2.1,3.3,15.6,9.9,15.8,13.0,6.9,10.7,1.7
性・年代別,男性１９歳以下,9,88.9,22.2,33.3,44.4,11.1,0.0,0.0,22.2,0.0,22.2,11.1,11.1,0.0,0.0
性・年代別,男性２０－２９歳,37,29.7,13.5,8.1,43.2,21.6,2.7,5.4,27.0,8.1,21.6,18.9,16.2,10.8,0.0
性・年代別,男性３０－３９歳,100,54.0,20.0,14.0,41.0,14.0,3.0,5.0,28.0,16.0,20.0,21.0,7.0,9.0,4.0
性・年代別,男性４０－４９歳,111,55.9,15.3,16.2,49.5,17.1,3.6,7.2,28.8,8.1,19.8,10.8,11.7,9.0,0.0
性・年代別,男性５０－５９歳,120,55.8,23.3,21.7,45.0,10.8,2.5,1.7,14.2,10.0,23.3,14.2,8.3,10.8,1.7
性・年代別,男性６０－６４歳,87,56.3,33.3,31.0,36.8,11.5,1.1,3.4,12.6,11.5,19.5,8.0,4.6,13.8,0.0
性・年代別,男性６５－６９歳,115,57.4,20.9,27.8,37.4,7.8,0.9,1.7,10.4,10.4,8.7,17.4,4.3,12.2,0.0
性・年代別,男性７０－７４歳,112,56.3,31.3,33.0,37.5,6.3,1.8,2.7,9.8,9.8,10.7,14.3,3.6,10.7,1.8
性・年代別,男性７５歳以上,150,47.3,28.0,27.3,38.0,8.0,2.0,2.7,5.3,6.7,8.0,6.0,4.7,10.0,4.0
性・年代別,女性計,1251,50.8,22.0,19.1,43.0,9.4,1.4,10.8,27.1,7.4,15.9,14.2,5.8,10.1,1.4
性・年代別,女性１９歳以下,17,47.1,11.8,0.0,52.9,17.6,5.9,11.8,47.1,11.8,11.8,23.5,5.9,5.9,0.0
性・年代別,女性２０－２９歳,75,37.3,14.7,10.7,37.3,12.0,2.7,26.7,40.0,5.3,25.3,10.7,13.3,5.3,1.3
性・年代別,女性３０－３９歳,258,43.4,15.5,11.2,41.1,14.0,1.2,24.4,51.9,5.8,15.1,12.0,5.8,5.4,1.2
性・年代別,女性４０－４９歳,246,49.6,15.9,14.6,50.0,9.8,1.2,12.2,37.0,6.1,19.1,20.3,9.3,10.6,1.6
性・年代別,女性５０－５９歳,171,56.1,19.9,19.3,52.6,7.6,1.8,8.2,15.8,11.7,22.8,16.4,5.3,10.5,0.6
性・年代別,女性６０－６４歳,113,63.7,29.2,22.1,43.4,3.5,1.8,2.7,19.5,8.0,9.7,13.3,4.4,16.8,0.9
性・年代別,女性６５－６９歳,96,54.2,33.3,24.0,42.7,7.3,0.0,0.0,10.4,8.3,10.4,12.5,3.1,10.4,2.1
性・年代別,女性７０－７４歳,128,50.8,30.5,27.3,32.8,8.6,2.3,0.8,6.3,5.5,8.6,15.6,3.1,14.8,3.1
性・年代別,女性７５歳以上,147,54.4,29.9,34.0,32.0,7.5,0.7,0.7,6.1,8.2,15.6,6.1,2.7,10.9,1.4
