区分１,区分２,全体,がん医療（％）,脳血管疾患医療（％）,心臓病医療（％）,救急医療（％）,災害時医療（％）,島しょ医療（％）,周産期医療（％）,小児医療（％）,感染症医療（％）,精神科医療（認知症を含む）（％）,難病医療（％）,障害者医療（％）,リハビリテーション医療（％）,その他（％）
居住地,全体,2092,51.9,22.8,21.0,42.0,10.1,1.7,7.8,22.5,8.4,15.9,13.7,6.3,10.3,1.5
居住地,都内,1779,52.2,23.3,21.6,43.0,10.4,1.9,8.1,22.0,8.0,15.2,13.3,6.4,10.3,1.5
居住地,区部,1183,52.8,23.3,21.1,43.4,9.9,1.6,6.6,16.6,8.0,15.0,12.3,5.7,10.3,1.5
居住地,区中央部,189,57.7,27.0,26.5,45.0,13.2,1.6,6.9,14.3,6.9,11.1,13.8,2.6,12.2,0.5
居住地,区南部,31,54.8,19.4,29.0,45.2,9.7,0.0,3.2,22.6,3.2,22.6,9.7,9.7,6.5,3.2
居住地,区西南部,156,43.6,25.0,14.1,41.7,13.5,3.2,5.1,12.2,9.0,21.8,9.6,9.6,12.2,2.6
居住地,区西部,72,41.7,15.3,16.7,47.2,9.7,1.4,4.2,12.5,11.1,33.3,15.3,6.9,11.1,1.4
居住地,区西北部,303,56.8,29.4,26.1,45.2,5.9,1.3,7.9,19.5,7.6,12.9,13.5,5.6,9.9,1.7
居住地,区東北部,124,66.9,25.8,22.6,44.4,9.7,1.6,4.8,12.9,7.3,13.7,10.5,7.3,9.7,1.6
居住地,区東部,308,47.4,15.6,16.2,39.9,10.1,1.3,7.5,19.2,8.8,11.4,11.7,4.2,9.1,1.3
居住地,多摩地域,593,50.8,23.3,22.8,42.5,11.5,2.0,11.1,33.1,7.9,15.7,15.3,7.6,10.3,1.5
居住地,西多摩,17,41.2,17.6,17.6,58.8,5.9,0.0,23.5,41.2,0.0,11.8,11.8,0.0,11.8,5.9
居住地,南多摩,110,53.6,26.4,20.9,37.3,4.5,1.8,11.8,30.0,6.4,12.7,20.0,10.9,11.8,0.9
居住地,北多摩西部,182,53.3,28.0,28.6,41.2,11.5,2.2,9.3,28.6,8.2,17.0,13.2,6.0,9.3,1.6
居住地,北多摩南部,204,51.0,21.1,24.0,41.2,12.3,1.0,9.8,34.3,9.3,15.7,15.7,9.8,12.3,2.0
居住地,北多摩北部,80,40.0,13.8,10.0,52.5,20.0,2.5,15.0,42.5,7.5,16.3,13.8,1.3,5.0,0.0
居住地,島しょ,3,66.7,33.3,0.0,0.0,0.0,66.7,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0
居住地,都外,224,53.1,21.0,17.9,35.3,8.9,2.2,7.6,28.6,12.9,19.6,18.3,4.0,10.7,1.3
居住地,埼玉県,116,50.0,23.3,18.1,38.8,6.9,2.6,7.8,33.6,13.8,19.0,20.7,5.2,9.5,0.9
居住地,千葉県,51,52.9,13.7,13.7,27.5,13.7,2.0,9.8,21.6,21.6,11.8,11.8,2.0,9.8,3.9
居住地,神奈川県,39,61.5,20.5,20.5,43.6,10.3,0.0,7.7,25.6,2.6,30.8,17.9,2.6,10.3,0.0
居住地,その他,18,55.6,27.8,22.2,16.7,5.6,5.6,0.0,22.2,5.6,22.2,22.2,5.6,22.2,0.0
居住地,無回答,89,21.3,5.6,11.2,11.2,1.1,22.5,4.5,18.0,12.4,22.5,13.5,3.4,2.2,0.0
家族形態別,全体,2092,51.9,22.8,21.0,42.0,10.1,1.7,7.8,22.5,8.4,15.9,13.7,6.3,10.3,1.5
家族形態別,単身,309,48.5,22.7,22.3,34.6,10.4,1.9,4.2,12.0,11.7,17.2,14.9,7.8,10.4,3.2
家族形態別,夫婦のみ,562,54.6,25.6,23.0,40.9,7.5,1.4,6.2,15.7,8.7,11.9,15.5,4.1,11.2,1.4
家族形態別,親子（親族の同居を含む）,1040,51.8,20.9,19.4,46.1,11.1,1.8,10.0,29.3,7.3,17.3,13.0,6.8,9.8,0.8
家族形態別,３世代（親族の同居を含む）,113,48.7,29.2,27.4,31.0,10.6,1.8,7.1,22.1,3.5,13.3,8.8,7.1,8.8,1.8
家族形態別,兄弟姉妹など親族世帯のみ,31,58.1,16.1,6.5,38.7,16.1,3.2,6.5,19.4,16.1,25.8,9.7,6.5,22.6,3.2
家族形態別,その他,37,45.9,18.9,18.9,43.2,13.5,0.0,2.7,24.3,13.5,24.3,16.2,8.1,5.4,8.1
