区分１,区分２,順位ｎ,８感染症医療（％）,９難病医療（％）,１０周産期医療（％）,１１リハビリテーション医療（％）,１２障害者医療（％）,１３島しょ医療（％）,１４その他医療（％）
全体,,2304,11.9,10.4,10.1,9.6,4.4,2.6,1.3
性別×年齢別,男性・計,1212,10.0,10.9,7.3,9.8,4.6,2.5,1.1
性別×年齢別,男性１９歳以下,32,9.4,12.5,3.1,-,6.3,3.1,6.3
性別×年齢別,男性２０～２９歳,153,7.2,5.9,7.8,9.2,4.6,3.9,0.7
性別×年齢別,男性３０～３９歳,197,9.1,8.1,13.2,6.6,5.6,2.5,-
性別×年齢別,男性４０～４９歳,236,9.7,8.9,6.4,8.9,5.1,0.4,1.3
性別×年齢別,男性５０～５９歳,252,8.7,12.3,6.7,9.1,3.6,4.0,0.8
性別×年齢別,男性６０～６４歳,132,8.3,11.4,5.3,13.6,7.6,1.5,1.5
性別×年齢別,男性６５歳以上,210,15.7,17.1,5.2,14.3,2.4,2.4,1.4
性別×年齢別,女性・計,1092,14.0,9.9,13.2,9.4,4.1,2.7,1.5
性別×年齢別,女性１９歳以下,53,15.1,5.7,5.7,3.8,7.5,7.5,5.7
性別×年齢別,女性２０～２９歳,174,17.8,6.9,21.3,8.0,4.6,4.6,0.6
性別×年齢別,女性３０～３９歳,215,12.6,8.8,24.2,7.0,6.0,2.8,0.5
性別×年齢別,女性４０～４９歳,251,12.4,11.6,6.4,9.6,4.4,2.0,2.4
性別×年齢別,女性５０～５９歳,227,15.9,11.5,9.3,12.3,2.2,1.3,1.3
性別×年齢別,女性６０～６４歳,99,12.1,9.1,7.1,10.1,4.0,3.0,2.0
性別×年齢別,女性６５歳以上,73,11.0,13.7,11.0,13.7,-,-,-
居住地別（二次保健医療圏別）,区部,1568,12.4,9.9,10.3,9.3,4.3,2.6,1.3
居住地別（二次保健医療圏別）,区中央部,126,11.9,11.1,9.5,8.7,4.0,1.6,1.6
居住地別（二次保健医療圏別）,区南部,186,8.1,11.3,10.2,7.5,3.2,3.8,1.6
居住地別（二次保健医療圏別）,区西南部,246,16.7,9.8,10.6,11.8,2.8,1.6,0.8
居住地別（二次保健医療圏別）,区西部,232,9.5,9.1,12.9,9.5,4.3,2.6,1.7
居住地別（二次保健医療圏別）,区西北部,326,14.7,12.0,9.5,9.5,5.5,2.1,1.8
居住地別（二次保健医療圏別）,区東北部,215,12.1,7.4,7.0,9.8,6.0,1.9,0.5
居住地別（二次保健医療圏別）,区東部,237,11.8,8.9,11.8,7.6,3.4,4.2,0.8
居住地別（二次保健医療圏別）,多摩地域,731,10.8,11.5,9.7,10.1,4.7,2.2,1.2
居住地別（二次保健医療圏別）,西多摩,66,10.6,13.6,6.1,7.6,4.5,-,6.1
居住地別（二次保健医療圏別）,南多摩,249,9.6,13.3,9.2,12.0,5.2,2.8,0.4
居住地別（二次保健医療圏別）,北多摩西部,108,10.2,8.3,13.0,7.4,2.8,1.9,0.9
居住地別（二次保健医療圏別）,北多摩南部,178,14.0,10.1,9.6,10.1,3.9,2.2,1.7
居住地別（二次保健医療圏別）,北多摩北部,130,9.2,11.5,10.0,10.0,6.2,2.3,-
家族構成別,島しょ,5,-,-,20.0,40.0,-,60.0,-
家族構成別,単身,484,12.4,11.0,8.9,11.0,5.0,3.3,1.7
家族構成別,夫婦のみ,531,14.1,10.7,10.5,10.5,3.0,2.3,1.1
家族構成別,親子（親族の同居を含む）,1115,10.5,10.0,10.8,8.8,5.0,2.6,1.2
家族構成別,３世代（親族の同居を含む）,118,11.9,11.9,8.5,8.5,3.4,1.7,-
家族構成別,兄弟姉妹など親族世帯のみ,33,15.2,12.1,3.0,15.2,3.0,-,-
家族構成別,その他,23,13.0,4.3,13.0,-,-,-,8.7
