区分１,区分２,全体,信頼できる医師がいること（％）,医師による紹介（％）,家族・友人・知人からのすすめ（％）,インターネットや雑誌等の評判（％）,自宅や職場・学校に近いこと（％）,交通機関の便がよいこと（％）,以前に来たことがあること（％）,専門性の高い医療を提供できること（％）,様々な症状に対応できる医療を提供していること（％）,生存率や、合併症発生率などの治療成績が良いこと（％）,医師や看護師が親切であること（％）,待ち時間が短いこと（％）,病室などがきれいであること（％）,経済的負担が少ないこと（％）,連携している医療機関・福祉施設が充実していること（％）,その他（％）
性・年代別,全体,2092,24.0,47.1,13.8,3.2,22.6,17.1,13.9,27.5,22.1,1.9,9.8,1.6,4.2,10.7,5.0,3.6
性・年代別,男性計,841,26.4,46.8,12.6,3.8,20.3,18.9,13.2,26.6,21.6,2.0,11.2,1.8,4.3,11.1,5.8,3.4
性・年代別,男性１９歳以下,9,0.0,55.6,11.1,0.0,33.3,11.1,11.1,44.4,33.3,0.0,0.0,0.0,0.0,11.1,11.1,0.0
性・年代別,男性２０－２９歳,37,21.6,48.6,18.9,10.8,27.0,13.5,21.6,13.5,27.0,0.0,2.7,0.0,2.7,5.4,8.1,2.7
性・年代別,男性３０－３９歳,100,19.0,47.0,9.0,5.0,24.0,19.0,10.0,31.0,19.0,1.0,5.0,1.0,5.0,13.0,11.0,11.0
性・年代別,男性４０－４９歳,111,33.3,50.5,15.3,3.6,24.3,19.8,9.9,31.5,15.3,0.9,9.0,2.7,3.6,10.8,4.5,5.4
性・年代別,男性５０－５９歳,120,25.8,43.3,11.7,4.2,20.8,19.2,16.7,25.8,23.3,0.8,10.8,0.8,1.7,11.7,5.0,3.3
性・年代別,男性６０－６４歳,87,24.1,50.6,13.8,2.3,24.1,17.2,12.6,26.4,19.5,3.4,10.3,2.3,4.6,14.9,5.7,3.4
性・年代別,男性６５－６９歳,115,29.6,44.3,14.8,6.1,7.8,27.0,16.5,21.7,26.1,1.7,14.8,2.6,6.1,10.4,6.1,0.9
性・年代別,男性７０－７４歳,112,21.4,50.9,9.8,3.6,17.9,14.3,10.7,27.7,22.3,6.3,16.1,1.8,3.6,8.9,8.0,1.8
性・年代別,男性７５歳以上,150,32.0,41.3,12.0,0.7,22.0,18.0,12.0,26.0,21.3,1.3,15.3,2.0,6.0,10.7,1.3,1.3
性・年代別,女性計,1251,22.5,47.2,14.6,2.8,24.1,15.8,14.3,28.1,22.4,1.8,8.8,1.4,4.2,10.5,4.4,3.8
性・年代別,女性１９歳以下,17,41.2,52.9,11.8,0.0,17.6,5.9,11.8,35.3,29.4,0.0,5.9,0.0,5.9,5.9,0.0,17.6
性・年代別,女性２０－２９歳,75,17.3,52.0,16.0,4.0,25.3,14.7,10.7,20.0,20.0,2.7,8.0,2.7,4.0,10.7,5.3,10.7
性・年代別,女性３０－３９歳,258,17.4,50.8,14.3,3.5,24.8,10.1,10.9,30.6,24.0,1.2,8.9,2.3,5.0,8.5,5.8,4.7
性・年代別,女性４０－４９歳,246,18.3,53.3,13.4,4.9,31.3,14.6,13.0,28.5,19.9,0.4,5.7,1.2,2.0,7.3,1.2,4.1
性・年代別,女性５０－５９歳,171,24.6,47.4,18.7,4.1,32.7,19.3,19.3,29.8,22.2,2.3,4.7,1.2,4.1,12.3,4.1,3.5
性・年代別,女性６０－６４歳,113,26.5,54.0,13.3,0.0,20.4,14.2,20.4,24.8,22.1,2.7,8.8,0.9,3.5,11.5,6.2,1.8
性・年代別,女性６５－６９歳,96,24.0,47.9,12.5,0.0,18.8,18.8,21.9,29.2,20.8,1.0,12.5,1.0,5.2,19.8,5.2,2.1
性・年代別,女性７０－７４歳,128,30.5,33.6,14.1,0.8,11.7,14.8,9.4,25.0,27.3,4.7,8.6,0.0,3.9,12.5,5.5,0.8
性・年代別,女性７５歳以上,147,25.2,35.4,15.0,2.0,17.7,25.9,14.3,28.6,21.8,1.4,15.6,2.0,6.1,8.8,4.8,1.4
