区分１,区分２,全体,信頼できる医師がいること（％）,医師による紹介（％）,家族・友人・知人からのすすめ（％）,インターネットや雑誌等の評判（％）,自宅や職場・学校に近いこと（％）,交通機関の便がよいこと（％）,以前に来たことがあること（％）,専門性の高い医療を提供できること（％）,様々な症状に対応できる医療を提供していること（％）,生存率や、合併症発生率などの治療成績が良いこと（％）,医師や看護師が親切であること（％）,待ち時間が短いこと（％）,病室などがきれいであること（％）,経済的負担が少ないこと（％）,連携している医療機関・福祉施設が充実していること（％）,その他（％）
性・年代別,全体,2092,61.6,24.8,14.0,5.1,29.4,21.7,9.9,34.3,27.9,4.8,22.1,6.0,5.0,11.9,7.6,1.1
性・年代別,男性計,841,55.2,28.4,14.0,4.5,30.3,21.8,13.9,34.4,25.0,5.0,21.5,5.9,4.6,11.2,7.1,1.5
性・年代別,男性１９歳以下,9,66.7,22.2,0.0,11.1,66.7,22.2,44.4,22.2,0.0,0.0,22.2,0.0,11.1,0.0,11.1,0.0
性・年代別,男性２０－２９歳,37,51.4,18.9,27.0,10.8,27.0,21.6,5.4,27.0,24.3,5.4,35.1,5.4,2.7,13.5,10.8,0.0
性・年代別,男性３０－３９歳,100,56.0,22.0,16.0,9.0,39.0,20.0,17.0,32.0,23.0,4.0,19.0,8.0,4.0,11.0,7.0,3.0
性・年代別,男性４０－４９歳,111,59.5,23.4,13.5,4.5,36.9,17.1,10.8,34.2,30.6,5.4,22.5,8.1,4.5,9.0,4.5,0.9
性・年代別,男性５０－５９歳,120,57.5,25.8,10.0,6.7,31.7,20.0,10.0,37.5,26.7,5.0,20.8,5.0,8.3,11.7,10.0,0.8
性・年代別,男性６０－６４歳,87,49.4,35.6,14.9,3.4,27.6,21.8,16.1,34.5,25.3,6.9,20.7,4.6,2.3,13.8,6.9,0.0
性・年代別,男性６５－６９歳,115,49.6,24.3,13.9,1.7,27.8,29.6,13.0,38.3,20.0,6.1,23.5,7.8,4.3,13.9,7.0,0.9
性・年代別,男性７０－７４歳,112,49.1,33.0,17.9,2.7,24.1,22.3,15.2,34.8,27.7,5.4,17.9,5.4,3.6,11.6,4.5,3.6
性・年代別,男性７５歳以上,150,62.0,36.7,10.7,2.0,25.3,21.3,16.0,32.7,24.0,3.3,21.3,4.0,4.7,8.7,8.0,2.0
性・年代別,女性計,1251,65.9,22.3,13.9,5.4,28.9,21.7,7.2,34.2,29.8,4.6,22.5,6.0,5.2,12.4,7.8,0.7
性・年代別,女性１９歳以下,17,70.6,11.8,23.5,17.6,35.3,11.8,0.0,29.4,29.4,5.9,29.4,0.0,11.8,0.0,5.9,0.0
性・年代別,女性２０－２９歳,75,53.3,16.0,13.3,17.3,40.0,17.3,9.3,24.0,26.7,5.3,24.0,8.0,8.0,13.3,8.0,0.0
性・年代別,女性３０－３９歳,258,61.2,16.7,21.7,7.8,35.7,17.4,5.0,32.9,30.2,4.3,26.0,6.2,6.6,9.7,7.0,1.6
性・年代別,女性４０－４９歳,246,64.6,19.1,16.3,5.3,32.9,19.5,6.9,40.2,36.2,6.1,20.3,5.3,4.5,9.8,3.7,0.8
性・年代別,女性５０－５９歳,171,69.0,18.7,12.9,0.6,30.4,19.9,5.3,35.7,31.0,7.0,21.6,5.3,6.4,20.5,8.8,0.6
性・年代別,女性６０－６４歳,113,65.5,27.4,8.8,5.3,23.9,24.8,7.1,39.8,27.4,2.7,20.4,5.3,1.8,15.0,8.8,0.9
性・年代別,女性６５－６９歳,96,67.7,30.2,9.4,3.1,15.6,32.3,6.3,33.3,27.1,2.1,29.2,8.3,7.3,11.5,7.3,0.0
性・年代別,女性７０－７４歳,128,67.2,31.3,7.8,3.9,20.3,21.9,10.9,31.3,30.5,4.7,18.0,6.3,4.7,12.5,12.5,0.0
性・年代別,女性７５歳以上,147,76.2,29.3,8.8,2.7,21.8,28.6,10.9,29.3,21.8,2.7,20.4,6.1,2.0,11.6,10.9,0.7
