区分１,区分２,順位ｎ,９以前に来たことがある（％）,１０医師や看護師が親切であること（％）,１１インターネットや雑誌等の評判（％）,１２連携している医療機関・福祉施設が充実していること（％）,１３待ち時間が短いこと（％）,１４病室などがきれいであること（％）,１５生存率や、合併症発生率などの治療成績が良いこと（％）,その他（救急搬送された等）（％）
全体,,710,7.9,3.5,2.8,2.8,2.7,2.0,1.0,8.5
性別×年齢別,男性・計,391,8.7,2.8,2.3,3.3,2.3,1.5,1.0,7.9
性別×年齢別,男性１９歳以下,4,-,-,-,-,-,-,-,-
性別×年齢別,男性２０～２９歳,25,8.0,-,16.0,-,-,4.0,-,4.0
性別×年齢別,男性３０～３９歳,47,4.3,4.3,4.3,2.1,2.1,-,2.1,8.5
性別×年齢別,男性４０～４９歳,84,4.8,-,2.4,1.2,1.2,-,-,8.3
性別×年齢別,男性５０～５９歳,104,11.5,4.8,1.0,-,4.8,1.9,2.9,7.7
性別×年齢別,男性６０～６４歳,43,11.6,2.3,-,9.3,-,-,-,2.3
性別×年齢別,男性６５歳以上,84,10.7,3.6,-,8.3,2.4,3.6,-,11.9
性別×年齢別,女性・計,319,6.9,4.4,3.4,2.2,3.1,2.5,0.9,9.1
性別×年齢別,女性１９歳以下,4,-,-,-,-,-,-,-,25.0
性別×年齢別,女性２０～２９歳,26,-,-,15.4,-,11.5,11.5,7.7,-
性別×年齢別,女性３０～３９歳,61,4.9,4.9,-,3.3,-,1.6,-,8.2
性別×年齢別,女性４０～４９歳,75,6.7,4.0,1.3,1.3,1.3,4.0,-,16.0
性別×年齢別,女性５０～５９歳,86,3.5,7.0,5.8,2.3,5.8,-,-,7.0
性別×年齢別,女性６０～６４歳,38,18.4,2.6,2.6,2.6,2.6,-,-,2.6
性別×年齢別,女性６５歳以上,29,13.8,3.4,-,3.4,-,3.4,3.4,13.8
居住地別（二次保健医療圏別）,区部,469,8.3,2.8,2.8,2.6,3.2,1.9,0.6,9.6
居住地別（二次保健医療圏別）,区中央部,51,13.7,2.0,3.9,2.0,-,2.0,-,7.8
居住地別（二次保健医療圏別）,区南部,60,3.3,5.0,3.3,-,5.0,3.3,-,11.7
居住地別（二次保健医療圏別）,区西南部,66,16.7,4.5,1.5,-,4.5,1.5,-,6.1
居住地別（二次保健医療圏別）,区西部,37,2.7,2.7,5.4,2.7,2.7,-,2.7,8.1
居住地別（二次保健医療圏別）,区西北部,97,6.2,-,3.1,2.1,2.1,2.1,1.0,9.3
居住地別（二次保健医療圏別）,区東北部,62,6.5,3.2,1.6,6.5,4.8,1.6,-,6.5
居住地別（二次保健医療圏別）,区東部,96,8.3,3.1,2.1,4.2,3.1,2.1,1.0,14.6
居住地別（二次保健医療圏別）,多摩地域,240,7.1,5.0,2.9,3.3,1.7,2.1,1.7,6.3
居住地別（二次保健医療圏別）,西多摩,17,5.9,5.9,11.8,-,-,-,5.9,5.9
居住地別（二次保健医療圏別）,南多摩,62,1.6,9.7,3.2,8.1,1.6,1.6,1.6,9.7
居住地別（二次保健医療圏別）,北多摩西部,46,15.2,2.2,2.2,2.2,-,-,-,6.5
居住地別（二次保健医療圏別）,北多摩南部,70,8.6,2.9,1.4,1.4,4.3,4.3,1.4,4.3
居住地別（二次保健医療圏別）,北多摩北部,45,4.4,4.4,2.2,2.2,-,2.2,2.2,4.4
家族構成別,島しょ,1,-,-,-,-,-,-,-,-
家族構成別,単身,100,8.0,2.0,6.0,4.0,3.0,2.0,1.0,7.0
家族構成別,夫婦のみ,164,7.9,4.3,1.2,4.9,3.0,4.3,0.6,9.8
家族構成別,親子（親族の同居を含む）,387,7.8,2.8,3.1,1.3,2.3,1.0,1.3,9.3
家族構成別,３世代（親族の同居を含む）,46,8.7,8.7,-,4.3,4.3,2.2,-,2.2
家族構成別,兄弟姉妹など親族世帯のみ,9,11.1,11.1,-,11.1,-,-,-,-
家族構成別,その他,4,-,-,-,-,-,-,-,-
