区分１,区分２,全体,信頼できる医師がいること（％）,医師による紹介（％）,家族・友人・知人からのすすめ（％）,インターネットや雑誌等の評判（％）,自宅や職場・学校に近いこと（％）,交通機関の便がよいこと（％）,以前に来たことがあること（％）,専門性の高い医療を提供できること（％）,様々な症状に対応できる医療を提供していること（％）,生存率や、合併症発生率などの治療成績が良いこと（％）,医師や看護師が親切であること（％）,待ち時間が短いこと（％）,病室などがきれいであること（％）,経済的負担が少ないこと（％）,連携している医療機関・福祉施設が充実していること（％）,その他（％）
居住地,全体,2092,24.0,47.1,13.8,3.2,22.6,17.1,13.9,27.5,22.1,1.9,9.8,1.6,4.2,10.7,5.0,3.6
居住地,都内,1779,22.5,47.0,14.4,3.0,24.2,17.7,14.6,26.9,22.4,1.6,9.7,1.6,4.4,11.1,5.4,3.4
居住地,区部,1183,25.2,42.1,13.1,3.7,26.8,18.5,15.5,25.1,21.0,1.9,11.0,1.9,4.1,13.8,5.2,3.4
居住地,区中央部,189,21.2,40.7,11.1,4.2,36.5,16.9,16.4,20.1,19.0,0.5,12.2,1.6,2.1,16.4,3.7,3.7
居住地,区南部,31,35.5,41.9,9.7,0.0,9.7,12.9,25.8,19.4,41.9,0.0,9.7,3.2,0.0,16.1,9.7,3.2
居住地,区西南部,156,30.1,30.1,19.9,3.8,26.9,10.3,11.5,26.9,18.6,1.3,11.5,2.6,2.6,10.3,5.1,6.4
居住地,区西部,72,29.2,38.9,13.9,8.3,16.7,13.9,16.7,15.3,19.4,1.4,11.1,1.4,1.4,11.1,6.9,4.2
居住地,区西北部,303,28.7,46.5,10.9,4.0,28.7,15.2,14.2,29.4,19.5,3.6,9.2,1.7,5.9,13.2,5.0,1.7
居住地,区東北部,124,23.4,46.0,16.9,4.0,18.5,35.5,12.9,31.5,18.5,0.0,8.9,1.6,5.6,14.5,4.0,0.0
居住地,区東部,308,20.5,43.8,11.7,2.3,26.3,21.8,17.9,23.4,24.4,2.6,12.7,1.9,4.5,14.6,6.2,4.5
居住地,多摩地域,593,17.0,56.8,17.0,1.5,19.2,16.2,12.8,30.4,25.0,0.8,7.3,1.2,5.2,5.7,5.7,3.4
居住地,西多摩,17,11.8,64.7,5.9,0.0,5.9,0.0,23.5,41.2,5.9,5.9,5.9,0.0,5.9,0.0,17.6,11.8
居住地,南多摩,110,15.5,58.2,23.6,1.8,6.4,10.0,10.9,36.4,27.3,1.8,7.3,1.8,5.5,6.4,8.2,3.6
居住地,北多摩西部,182,15.9,52.2,19.8,0.5,28.0,25.8,13.2,21.4,23.6,0.5,6.0,1.1,6.6,5.5,3.3,2.2
居住地,北多摩南部,204,20.6,57.8,15.2,1.5,24.0,14.7,13.7,30.9,23.0,0.5,7.4,1.0,4.4,5.9,4.4,3.4
居住地,北多摩北部,80,12.5,60.0,8.8,3.8,7.5,10.0,10.0,37.5,32.5,0.0,10.0,1.3,3.8,6.3,8.8,3.8
居住地,島しょ,3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
居住地,都外,224,37.5,49.1,12.9,5.8,11.6,15.2,8.9,34.8,20.1,3.6,8.5,1.3,2.7,8.5,2.7,5.8
居住地,埼玉県,116,35.3,56.9,10.3,7.8,12.1,17.2,8.6,36.2,19.8,3.4,6.0,0.9,3.4,5.2,4.3,6.0
居住地,千葉県,51,31.4,41.2,15.7,2.0,11.8,19.6,11.8,31.4,15.7,5.9,11.8,3.9,0.0,13.7,0.0,2.0
居住地,神奈川県,39,46.2,43.6,10.3,5.1,10.3,2.6,7.7,35.9,25.6,2.6,12.8,0.0,5.1,7.7,0.0,10.3
居住地,その他,18,50.0,33.3,27.8,5.6,11.1,16.7,5.6,33.3,22.2,0.0,5.6,0.0,0.0,16.7,5.6,5.6
居住地,無回答,89,22.5,44.9,4.5,1.1,18.0,9.0,12.4,22.5,22.5,3.4,13.5,1.1,3.4,9.0,2.2,3.4
家族形態,全体,2092,24.0,47.1,13.8,3.2,22.6,17.1,13.9,27.5,22.1,1.9,9.8,1.6,4.2,10.7,5.0,3.6
家族形態,単身,309,29.8,40.5,11.3,5.8,21.4,17.2,12.3,22.7,19.1,1.0,12.0,2.6,4.9,8.4,5.5,2.9
家族形態,夫婦のみ,562,24.0,43.4,13.5,3.4,22.1,19.0,13.0,28.3,23.1,2.7,9.4,1.6,4.8,13.0,5.7,2.1
家族形態,親子,1040,22.9,50.4,14.3,2.5,22.9,16.8,14.2,29.1,23.2,1.6,7.9,1.3,3.6,10.6,4.4,4.6
家族形態,３世代,113,16.8,55.8,17.7,2.7,27.4,13.3,17.7,26.5,16.8,1.8,15.9,0.0,5.3,7.1,3.5,3.5
家族形態,兄弟姉妹など親族世帯のみ,31,35.5,35.5,19.4,0.0,16.1,9.7,19.4,25.8,25.8,3.2,29.0,3.2,6.5,12.9,3.2,3.2
家族形態,その他,37,21.6,48.6,8.1,2.7,24.3,10.8,13.5,13.5,13.5,2.7,13.5,2.7,2.7,8.1,10.8,5.4
